				UPD: 08:43 AM

EV (AVG)	Game	Player	IN	FD	AVG	bet365	DK	MGM	CZ	Kambi	PN	BV
-11.9	OAK @ HOU	Jeremy Pena		165	184/-257	200/-245	185/-255					
-11.9	STL @ BAL	Alec Burleson		165	196/-288	220/-280	205/-285					
-12.0	STL @ BAL	Paul Goldschmidt		165	193/-281	215/-270	200/-280					
-12.0	CLE @ SF	Lamonte Wade		175	209/-308	230/-300	220/-310					
-12.0	ARI @ NYM	Evan Longoria		170	193/-281	215/-270	200/-275					
-12.0	TB @ MIN	Carlos Correa		190	200/-285	220/-280	205/-290					
-12.0	KC @ CHW	Bobby Witt		165	182/-260	205/-250	185/-260					
-12.1	KC @ CHW	Yoan Moncada		195	205/-270	215/-270	200/-280					
-12.1	ARI @ NYM	Emmanuel Rivera		170	228/-354	260/-340	250/-370					
-12.2	ARI @ NYM	Ketel Marte		170	186/-268	210/-260	190/-265					
-12.2	WSH @ PIT	Jared Triolo		175	189/-265	205/-250	190/-260					
-12.2	LAA @ SEA	Eduardo Escobar		210	275/-415	310/-400	300/-450					
-12.3	CLE @ SF	Steven Kwan		210	196/-259	205/-250	190/-260					
-12.3	TB @ MIN	Royce Lewis		175	205/-304	225/-290	215/-300					
-12.3	TEX @ TOR	Robbie Grossman		165	183/-250	205/-250	180/-250					
-12.3	CLE @ SF	Mike Yastrzemski		175	199/-288	220/-280	205/-290					
-12.3	TEX @ TOR	George Springer		150	178/-255	200/-245	180/-250					
-12.3	OAK @ HOU	Aledmys Diaz		200	219/-322	240/-320	230/-330					
-12.4	WSH @ PIT	Travis Blankenhorn		175	190/-265	205/-250	190/-260					
-12.4	OAK @ HOU	Brent Rooker		180	195/-271	210/-260	195/-270					
-12.5	ARI @ NYM	Mark Vientos		160	178/-245	195/-240	175/-245					
-12.5	STL @ BAL	Lars Nootbaar		170	214/-318	230/-300	225/-320					
-12.5	TEX @ TOR	Josh Smith		230	247/-350	265/-350	255/-370					
-12.5	OAK @ HOU	Jordan Diaz		200	222/-321	235/-310	230/-330					
-12.5	NYY @ BOS	Estevan Florial		175	215/-339	240/-320	235/-330					
-12.5	TB @ MIN	Alex Kirilloff		200	246/-372	265/-350	265/-390					
-12.6	NYY @ BOS	Trevor Story		155	179/-256	205/-250	180/-250					
-12.6	TEX @ TOR	Mitch Garver		165	155/-203	155/-185	145/-200					
-12.6	ARI @ NYM	Jeff Mcneil		160	170/-232	170/-210	165/-225					
-12.6	SD @ LAD	Freddie Freeman		110	146/-213	165/-200	145/-195					
-12.6	WSH @ PIT	Bryan Reynolds		145	165/-237	180/-225	165/-225					
-12.6	CLE @ SF	Brandon Crawford		200	239/-358	265/-350	255/-370					
-12.8	TEX @ TOR	Nathaniel Lowe		175	180/-245	190/-235	175/-240					
-12.8	KC @ CHW	Mj Melendez		155	148/-189	150/-180	135/-185					
-12.9	ARI @ NYM	Ronny Mauricio		180	184/-253	195/-240	180/-245					
-12.9	TEX @ TOR	Marcus Semien		175	172/-232	170/-210	165/-220					
-12.9	CLE @ SF	Kole Calhoun		200	179/-236	175/-220	170/-230					
-12.9	SD @ LAD	Ha Seong Kim		200	224/-322	240/-320	230/-330					
-12.9	CHC @ COL	Elehuris Montero		150	167/-260		175/-240					
-12.9	CLE @ SF	Andres Gimenez		200	186/-251	190/-235	180/-250					
-13.0	ARI @ NYM	Seby Zavala		210	270/-406	310/-400	290/-425					
-13.0	LAA @ SEA	Randal Grichuk		260	254/-358	265/-350	260/-380					
-13.0	NYY @ BOS	Masataka Yoshida		135	154/-218	170/-210	150/-205		{'0.5': '196/-284'}	{'0.5': '188/-265'}		
-13.0	WSH @ PIT	Lane Thomas		155	189/-271	210/-260	190/-265					
-13.1	KC @ CHW	Korey Lee		240	257/-367	270/-360	265/-390					
-13.1	WSH @ PIT	Ildemaro Vargas		210	218/-308	230/-300	220/-310					
-13.2	OAK @ HOU	Martin Maldonado		210	280/-441	320/-425	310/-475					
-13.2	TB @ MIN	Luke Raley		220	235/-346	250/-330	245/-350					
-13.2	LAA @ SEA	Eugenio Suarez		180	184/-255	200/-245	180/-250					
-13.2	WSH @ PIT	Cj Abrams		185	185/-254	190/-235	180/-250					
-13.3	TEX @ TOR	Leody Taveras		200	194/-257	200/-245	185/-255					
-13.3	WSH @ PIT	Alika Williams		190	215/-323	230/-300	225/-320					
-13.3	TEX @ TOR	Alejandro Kirk		185	196/-277	210/-260	195/-275					
-13.5	NYY @ BOS	Jake Bauers		175	190/-273	205/-250	190/-265					
-13.5	KC @ CHW	Drew Waters		210	217/-312	230/-300	220/-310					
-13.6	SD @ LAD	Xander Bogaerts		165	181/-250	205/-250	175/-235					
-13.6	ATL @ PHI	Trea Turner		150	184/-269	195/-240	185/-255					
-13.7	TEX @ TOR	Jonah Heim		190	187/-256	195/-240	180/-250					
-13.7	TB @ MIN	Donovan Solano		200	228/-346	250/-330	240/-350					
-13.8	KC @ CHW	Tim Anderson		210	250/-380	290/-380	265/-390					
-13.8	STL @ BAL	Masyn Winn		230	233/-342	240/-320	240/-350					
-13.8	SD @ LAD	Jason Heyward		150	202/-308	230/-300	210/-295					
-13.9	LAA @ SEA	Ty France		170	225/-351	250/-330	240/-350					
-13.9	ARI @ NYM	Tommy Pham		165	172/-239	175/-220	165/-225					
-13.9	KC @ CHW	Nick Pratto		270	300/-450	330/-450	320/-500					
-13.9	OAK @ HOU	Kevin Smith		250	258/-373	280/-370	265/-390					
-14.0	NYY @ BOS	Oswaldo Cabrera		175	207/-304	225/-290	210/-295					
-14.0	CLE @ SF	Gabriel Arias		220	192/-253	195/-240	180/-250					
-14.1	TEX @ TOR	Daulton Varsho		190	195/-273	205/-250	190/-265					
-14.2	TEX @ TOR	Cavan Biggio		195	226/-342	240/-320	235/-340					
-14.4	WSH @ PIT	Luis Garcia		210	212/-270	215/-270	195/-275					
-14.5	LAA @ SEA	Brandon Drury		210	228/-342	240/-320	235/-340					
-14.6	TB @ MIN	Jose Siri		200	205/-289	215/-270	200/-275					
-14.6	ATL @ PHI	Bryson Stott		165	199/-284	210/-260	195/-275					
-14.7	LAA @ SEA	Jp Crawford		200	240/-387		260/-380					
-15.0	TB @ MIN	Rene Pinto		200	277/-462	330/-450	310/-475					
-15.2	OAK @ HOU	Ryan Noda		220	262/-392	290/-380	270/-400					
-15.2	KC @ CHW	Maikel Garcia		240	262/-381	280/-370	265/-390					
-15.2	ATL @ PHI	Jake Cave		200	237/-373		250/-370					
-15.3	TB @ MIN	Brandon Lowe		195	224/-342	240/-320	230/-330					
-15.6	TB @ MIN	Taylor Walls		210	278/-424	320/-425	290/-425					
-15.6	TEX @ TOR	Kevin Kiermaier		260	256/-358	265/-350	250/-360					
-15.6	SD @ LAD	James Outman		165	226/-354	260/-340	235/-340					
-15.6	TEX @ TOR	Evan Carter		240	255/-370	260/-340	255/-370					
-15.7	CLE @ SF	Bo Naylor		240	225/-311	225/-290	215/-300					
-15.8	TB @ MIN	Ryan Jeffers		270	290/-415	310/-400	290/-425					
-15.8	SD @ LAD	Luis Campusano		170	188/-259	205/-250	175/-245					
-16.0	SD @ LAD	Miguel Rojas		170	215/-335	250/-330	220/-320					
-16.1	KC @ CHW	Nick Loftin		210	245/-373	265/-350	250/-370					
-16.1	LAA @ SEA	Mike Moustakas		230	250/-368	260/-340	250/-360					
-16.2	ARI @ NYM	Brandon Nimmo		210	231/-343	250/-330	230/-330					
-16.3	TB @ MIN	Edouard Julien		230	311/-508	360/-500	340/-525					
-16.4	ARI @ NYM	Omar Narvaez		210	262/-403	260/-340	270/-400					
-16.9	OAK @ HOU	Zack Gelof		210	233/-347	240/-320	230/-330					
-17.1	OAK @ HOU	Shea Langeliers		230	235/-347	240/-320	230/-330					
-17.1	ARI @ NYM	Jordan Lawlar		210	237/-356	240/-320	235/-340					
-17.3	ATL @ PHI	Bryce Harper		135	169/-243	170/-210	155/-215					
-17.3	ATL @ PHI	Brandon Marsh		220	228/-333		220/-310					
-17.4	TB @ MIN	Willi Castro		200	269/-418	300/-390	275/-400					
-17.6	ATL @ PHI	Kyle Schwarber		130	194/-290	195/-240	185/-255					
-17.6	OAK @ HOU	Esteury Ruiz		300	310/-458	330/-450	310/-475					
-17.9	ATL @ PHI	Nick Castellanos		155	167/-250		155/-210					
-19.0	TB @ MIN	Andrew Stevenson		220	323/-550	390/-550	350/-550					
-19.6	SD @ LAD	Trent Grisham		220	240/-354	260/-340	225/-320					
-19.8	LAA @ SEA	Kyren Paris		280	330/-532	360/-500	340/-550					
-21.5	LAA @ SEA	Jordyn Adams		320	368/-608	425/-600	380/-600					
-21.9	OAK @ HOU	Nick Allen		280	325/-516	360/-500	320/-500					
-21.9	LAA @ SEA	Brett Phillips		300	381/-647	425/-600	400/-700					
