			UPD: 08:11 PM

EV (AVG)	EV (365)	Team	Player	IN	FD	AVG	bet365	DK	MGM	CZ	PB	BR	PN	BS
-24.1	-21.1	MIN	Max Kepler	*	520	417/-648	425/-600	400/-650	375/-650	320	425/-700	430/-670	383	381
-27.1	-21.3	NYM	Jeff Mcneil	*	800	789/-1907	925/-1600	750/-2000	700/-2500	850	900/-1748	700/-1430		747
-26.6	-21.3	CHW	Eloy Jimenez		500	518/-979	550/-850	550/-1000	475/-1100	450	550/-1000	500/-910		499
-25.5	-21.6	LAA	Mike Moustakas		560	465/-772	475/-700	450/-800	400/-800	370	475/-800	510/-835	421	426
-25.6	-21.8	SEA	Brian Okeefe		540	572/-1125	625/-1000	600/-1200	525/-1200	525	-	-	-	-
-25.6	-22.0	MIN	Matt Wallner	*	430	358/-547	360/-500	350/-550	333/-600	260	-	375/-560	335	320
-28.5	-22.4	TEX	Marcus Semien		500	478/-878	500/-750	500/-900	475/-1000	390	500/-899	420/-670		449
-25.0	-22.7	PHI	Nick Castellanos	*	470	501/-933	550/-850	500/-1000	475/-1000	440	500/-899	510/-835		499
-30.0	-23.5	TB	Yandy Diaz		600	513/-936	525/-800	500/-1000	475/-1100	410	500/-899	540/-910		449
-26.1	-23.5	DET	Spencer Torkelson	*	420	377/-596	390/-550	390/-650	360/-650	280	350/-550	380/-590	367	361
-25.8	-23.5	COL	Charlie Blackmon	*	560	488/-872	525/-800	475/-900	450/-900	410	500/-899	460/-715		449
-24.4	-24.1	COL	Nolan Jones	*	360	385/-637	425/-600	360/-575	360/-650	305	450/-750	350/-500	393	381
-20.3	-24.1	CHC	Ian Happ		420	430/-745	500/-750	400/-650	425/-800	380	475/-800	360/-530	435	426
-30.0	-24.2	TOR	Daulton Varsho	*	560	535/-979	550/-850	550/-1000	500/-1100	430	550/-1000	-		499
-25.9	-24.9	PHI	Trea Turner	*	540	480/-783	500/-750	450/-800	-	375	475/-800	510/-835	438	449
-29.4	-25.0	CHW	Yoan Moncada		560	574/-1143	625/-1000	600/-1200	525/-1200	500	650/-1199	510/-910		549
-30.1	-25.0	CHC	Yan Gomes		560	607/-1283	675/-1100	650/-1400	550/-1400	550	-	-		599
-26.0	-25.0	ATL	Ronald Acuna	*	400	468/-867	525/-800	475/-800	450/-1000	400	500/-899	480/-770		449
-26.8	-25.0	KC	Nelson Velazquez	*	340	522/-1054	600/-950	550/-1100	525/-1200	475	550/-1000	540/-910		549
-23.1	-25.0	CHC	Jeimer Candelario		400	525/-974	600/-950	550/-1000	-	475	-	-		549
-30.1	-25.0	COL	Elias Diaz	*	560	578/-1157	625/-1000	600/-1200	550/-1400	500	600/-1099	510/-835		599
-33.1	-25.0	TOR	Davis Schneider	*	750	621/-1198	625/-1000	600/-1400	575/-1400	500	600/-1099	600/-1115		599
-31.0	-25.0	TOR	Bo Bichette	*	630	615/-1303	675/-1100	650/-1600	625/-1600	550	600/-1099	525/-910		599
-25.8	-25.3	STL	Nolan Arenado	*	350	315/-468	330/-450	300/-475	280/-450	220	330/-500	310/-435	317	300
-24.9	-25.3	HOU	Mauricio Dubon		680	694/-1493	825/-1400	700/-1600	600/-1600	700	750/-1399	600/-1250		700
-34.6	-25.5	SD	Ha Seong Kim		560	769/-2078	925/-1600	800/-2500	700/-2500	800	1000/-2000	650/-1430		747
-29.5	-25.6	LAA	Logan Ohoppe		600	575/-1054	600/-950	550/-1100	475/-1000	470	650/-1199	600/-1250		549
-33.3	-25.7	CIN	Spencer Steer	*	560	537/-1021	550/-850	550/-1100	525/-1200	420	550/-1000	525/-910		499
-33.5	-25.7	ARI	Jace Peterson	*	830	881/-2236	1025/-1800	800/-2500	750/-3000	900	1000/-2000	-	-	-
-28.1	-25.7	KC	Bobby Witt	*	520	506/-933	550/-850	500/-1000	475/-1000	420	500/-899	500/-835		499
-24.8	-25.9	ATL	Marcell Ozuna	*	470	458/-766	500/-750	450/-800	-	370	450/-750	475/-770	438	426
-30.9	-26.4	TB	Josh Lowe		520	549/-1018	575/-900	550/-1000	500/-1100	440	600/-1099	600/-1115		499
-28.8	-26.5	MIN	Carlos Correa	*	520	496/-867	525/-800	500/-900	475/-1000	390	475/-800	525/-910		449
-26.4	-27.1	STL	Willson Contreras	*	420	391/-616	425/-600	370/-600	350/-650	290	-	410/-670	381	381
-28.8	-27.1	STL	Paul Goldschmidt	*	420	397/-648	425/-600	390/-650	360/-650	290	425/-700	390/-590	381	381
-28.9	-27.4	TB	Brandon Lowe		450	460/-809	500/-750	475/-800	450/-900	360	475/-800	460/-770	441	426
-36.1	-27.6	TEX	Ezequiel Duran		600	600/-1235	625/-1000	600/-1400	575/-1400	480	-	600/-1115	-	-
-28.9	-27.8	PHI	Bryce Harper	*	460	526/-964	575/-900	500/-1000	-	430	550/-1000	575/-1000		499
-35.6	-27.9	TEX	Robbie Grossman		870	692/-1370	700/-1150	700/-1600	625/-1600	550	700/-1250	600/-1250		652
-30.0	-27.9	KC	Edward Olivares	*	430	619/-1346	725/-1200	650/-1400	600/-1600	575	700/-1250	575/-1115		652
-30.4	-28.1	ATL	Michael Harris	*	630	596/-1148	650/-1050	550/-1100	550/-1400	500	600/-1099	-		599
-40.8	-28.1	CIN	Elly De La Cruz	*	680	668/-1394	650/-1050	650/-1600	600/-1600	500	800/-1499	700/-1430		599
-27.6	-28.1	LAA	Brandon Drury		680	601/-1148	675/-1100	600/-1200	500/-1100	525	650/-1199	500/-910		599
-32.1	-28.1	CHW	Andrew Vaughn		520	588/-1200	650/-1050	600/-1200	550/-1400	500	650/-1199	550/-1000		599
-32.4	-28.2	KC	Drew Waters	*	800	602/-1118	625/-1000	550/-1200	525/-1200	475	600/-1099	510/-835	-	-
-31.6	-28.7	CHC	Seiya Suzuki		440	493/-958	550/-850	500/-1000	450/-1000	400	550/-1000	460/-770		499
-35.0	-28.7	TB	Randy Arozarena		540	534/-1001	550/-850	550/-1000	500/-1100	400	600/-1099	500/-910		499
-34.3	-29.2	TB	Luke Raley		540	569/-1018	575/-900	550/-1100	500/-1100	420	550/-1000	700/-1430	-	-
-29.6	-29.5	ARI	Alek Thomas	*	870	817/-1973	1025/-1800	800/-2000	725/-2500	850	900/-1748	650/-1430		747
-30.3	-29.7	SD	Jurickson Profar		630	763/-1753	925/-1600	750/-1800	675/-2000	750	850/-1664	750/-1667	-	-
