			UPD: 08 AM

EV (AVG)	EV (365)	Team	Player	FD	AVG	bet365	DK	MGM	CZ	PB	BR	PN	BS	Kambi
0.2	2.0	MIN	Max Kepler	430	450/-750	475/-700	450/-750	400/-750	430	475/-800	475/-770	-	-	475/-770
0.2	2.1	LAA	Hunter Renfroe	400	425/-700	450/-650	425/-700	400/-750	420	425/-700	390/-590	-	-	390/-590
0.1	0	PIT	Bryan Reynolds	630	558/-1133		550/-1100	525/-1200	350	600/-1099	-	-	-	
-0.1	2.1	PHI	Jt Realmuto	400	431/-700	450/-650	425/-700	400/-700	400	450/-750	425/-670	-	-	425/-670
-0.1	0.6	ARI	Christian Walker	420	443/-737	475/-700	450/-750	400/-750	440	450/-750	500/-835	-	-	480/-770
-0.3	0.6	SF	Blake Sabol	360	400/-633	425/-600	400/-650	375/-650	460	-	400/-625	-	-	410/-625
-0.3	0	DET	Andy Ibanez	680	591/-1233		650/-1400	525/-1200	480	600/-1099	-	-	-	575/-1115
-0.6	3.5	TB	Christian Bethancourt	630	587/-1124	625/-1000	600/-1200	525/-1200	575	600/-1099	-	-	-	
-0.8	3.0	TEX	Ezequiel Duran	500	493/-899	525/-800	500/-900	450/-1000	500	500/-899	-	-	-	
-0.8	0	KC	Bobby Witt	560	508/-1033		500/-1000	475/-1100	430	550/-1000	575/-1000	-	-	575/-1000
-1.0	-0.6	SD	Juan Soto	320	366/-575	390/-550	360/-575	340/-600	295	375/-575	390/-590	-	-	390/-590
-2.5	0.6	SF	Michael Conforto	360	406/-662	425/-600	390/-650	360/-650	460	450/-750	450/-715	-	-	450/-715
-2.6	-1.4	SF	Jd Davis	285	342/-531	360/-500	340/-525	320/-550	375	350/-550	370/-560	-	-	375/-560
-3.0	0	SEA	Julio Rodriguez	340	383/-641		390/-650	360/-650	340	400/-625	390/-625	-	-	390/-625
-3.2	-0.7	LAA	Zach Neto	470	493/-874	525/-800	500/-900	450/-900	490	500/-899	450/-715	-	-	450/-715
-3.2	2.8	ATL	Orlando Arcia	750	668/-1412	725/-1200	650/-1600	600/-1600	800	700/-1250	650/-1250	-	-	650/-1250
-3.2	2.8	BAL	Aaron Hicks	750	668/-1412	725/-1200	650/-1600	600/-1600	700	700/-1250	700/-1430	-	-	700/-1430
-3.6	0	PIT	Henry Davis	800	625/-1600		650/-1600	600/-1600	410	-	-	-	-	
-3.6	-2.2	MIN	Byron Buxton	400	443/-750	475/-700	450/-800	400/-750	420	450/-750	500/-835	-	-	500/-835
-3.8	0.4	LAD	James Outman	600	593/-1124	625/-1000	600/-1200	550/-1200	650	600/-1099	-	-	-	
-3.9	-3.9	CHW	Luis Robert	360	450/-650	450/-650						-	-	430/-670
-4.0	0	KC	Nick Pratto	750	641/-1466		700/-1800	575/-1400	525	650/-1199	600/-1250	-	-	600/-1250
-4.0	-0.6	DET	Kerry Carpenter	560	556/-1062	600/-950	550/-1100	525/-1200	470	550/-1000	-	-	-	
-4.1	0	WSH	Luis Garcia	1000	750/-2000		750/-2000	-	-	-	-	-	-	
-4.3	0.6	LAA	Taylor Ward	450	475/-862	500/-750	475/-900	425/-900	480	500/-899	410/-625	-	-	410/-625
-4.3	-0.7	CIN	Matt Mclain	470	491/-900	525/-800	500/-900	450/-1000	600	-	540/-910	-	-	540/-910
