NAME	TEAM	ML	A/H	PROP	LINE	SZN AVG	W-L Splits	A-H Splits	% OVER	L15 % OVER	L5 % OVER	LAST 10 GAMES ➡️	LAST YR % OVER	OVER	UNDER
Anze Kopitar	LA	-120	A	g	0.5	0.34	0.41 - 0.24	0.47 - 0.21	26%	0,0,0,0,0,0,0,1,0,0	18%	'+190	0
Arnaud Durandeau	NYI	'+150	A	g	0.5	0.0	0.0 - 0.0	0.0 - 0.0	0%	0,0,0,0	0%	'+600	0
Artemi Panarin	NYR	-135	A	sog	2.5	2.49	2.24 - 2.59	2.26 - 2.71	47%	3,4,4,2,4,2,1,2,2,1	37%	'+105	-135
Artemi Panarin	NYR	-135	A	pts	0.5	1.09	1.62 - 0.43	1.08 - 1.11	62%	0,0,2,0,2,0,3,2,1,1	68%	-220	'+180
Artemi Panarin	NYR	-135	A	ast	0.5	0.76	1.09 - 0.32	0.74 - 0.79	51%	0,0,1,0,1,0,2,0,1,1	58%	-125	-105
Artemi Panarin	NYR	-135	A	g	0.5	0.33	0.52 - 0.11	0.34 - 0.32	26%	0,0,1,0,1,0,1,2,0,0	28%	'+185	0
Arthur Kaliyev	LA	-120	A	g	0.5	0.22	0.12 - 0.31	0.19 - 0.26	18%	0,0,0,0,0,0,0,0,0,0	16%	'+300	0
Artyom Zub	OTT	-180	A	g	0.5	0.06	0.12 - 0.0	0.09 - 0.04	6%	0,0,0,0,0,0,0,0,0,0	8%	'+450	0
Austin Czarnik	DET	'+230	A	g	0.5	0.09	0.14 - 0.07	0.08 - 0.1	9%	0,0,0,0,0,0,0,0,0,0	12%	'+600	0
Austin Watson	OTT	-180	A	g	0.5	0.12	0.19 - 0.02	0.08 - 0.17	11%	0,1,0,0,1,0,0,0,0,0	14%	'+500	0
Auston Matthews	TOR	-275	H	sog	4.5	4.38	4.36 - 4.33	4.4 - 4.36	44%	3,5,5,15,4,3,4,5,5,5	41%	-130	'+100
Auston Matthews	TOR	-275	H	pts	1.5	1.15	1.41 - 0.79	1.09 - 1.21	32%	0,1,2,2,2,1,2,1,0,3	46%	-105	-125
Auston Matthews	TOR	-275	H	g	0.5	0.54	0.67 - 0.39	0.46 - 0.64	47%	0,1,0,2,2,0,0,1,0,1	54%	-145	0
Axel Jonsson-Fjallby	WPG	-115	H	g	0.5	0.1	0.13 - 0.06	0.14 - 0.05	10%	0,1,0,0,0,0,1,0,0,0	9%	'+500	0
Barclay Goodrow	NYR	-135	A	g	0.5	0.14	0.16 - 0.12	0.18 - 0.11	14%	0,0,0,0,0,0,0,0,0,0	14%	'+450	0
Ben Chiarot	DET	'+230	A	bs	2.5	2.29	2.66 - 1.81	2.29 - 2.29	38%	5,1,2,4,4,2,3,1,3,0	0%	'+110	-140
Ben Chiarot	DET	'+230	A	g	0.5	0.07	0.09 - 0.05	0.09 - 0.06	7%	0,0,0,0,0,0,0,0,1,0	10%	'+1200	0
Ben Harpur	NYR	-135	A	g	0.5	0.03	0.0 - 0.08	0.0 - 0.05	3%	0,0,0,0,0,0,0,0,0,0	0%	'+1500	0
Blake Coleman	CGY	-520	H	g	0.5	0.24	0.34 - 0.15	0.23 - 0.24	22%	1,0,0,0,0,0,1,2,0,0	15%	'+255	0
Blake Lizotte	LA	-120	A	g	0.5	0.13	0.13 - 0.15	0.11 - 0.16	13%	0,0,0,0,0,0,0,1,0,0	12%	'+350	0
Blake Wheeler	WPG	-115	H	pts	0.5	0.78	1.12 - 0.34	0.71 - 0.85	54%	2,0,0,0,0,0,0,0,1,1	61%	-115	-115
Blake Wheeler	WPG	-115	H	ast	0.5	0.54	0.7 - 0.34	0.5 - 0.58	45%	1,0,0,0,0,0,0,0,1,1	47%	'+145	-180
Blake Wheeler	WPG	-115	H	g	0.5	0.24	0.42 - 0.0	0.21 - 0.27	19%	1,0,0,0,0,0,0,0,0,0	26%	'+240	0
Bo Horvat	NYI	'+150	A	sog	2.5	2.88	2.6 - 2.93	3.15 - 2.58	56%	1,2,2,5,3,3,5,3,2,3	0%	'+130	-160
Bo Horvat	NYI	'+150	A	pts	0.5	0.44	0.51 - 0.35	0.46 - 0.42	36%	0,0,1,0,1,0,0,0,0,0	0%	-115	-115
Bo Horvat	NYI	'+150	A	ast	0.5	0.2	0.21 - 0.18	0.23 - 0.17	20%	0,0,0,0,1,0,0,0,0,0	0%	'+185	-230
Bo Horvat	NYI	'+150	A	g	0.5	0.24	0.31 - 0.17	0.23 - 0.25	24%	0,0,1,0,0,0,0,0,0,0	0%	'+175	0
Boone Jenner	CBJ	'+155	H	sog	3.5	3.27	3.32 - 3.14	3.12 - 3.41	42%	4,3,2,1,2,3,1,6,4,6	29%	'+120	-150
Boone Jenner	CBJ	'+155	H	pts	0.5	0.69	1.2 - 0.42	0.53 - 0.84	52%	0,0,1,0,2,1,0,1,0,2	54%	-190	'+155
