NAME	TEAM	ML	A/H	PROP	LINE	SZN AVG	W-L Splits	A-H Splits	% OVER	L15 % OVER	L5 % OVER	LAST 10 GAMES ➡️	LAST YR % OVER	OVER	UNDER
John Carlson	WSH	'+115	H	pts	0.5	0.71	0.83 - 0.47	0.79 - 0.6	53%	0,0,1,2,0,1,0,1,0,1	64%	-140	'+110
John Carlson	WSH	'+115	H	ast	0.5	0.44	0.61 - 0.18	0.47 - 0.4	41%	0,0,1,1,0,1,0,1,0,1	55%	'+105	-135
John Carlson	WSH	'+115	H	bs	1.5	2.15	1.81 - 2.31	2.53 - 1.67	56%	1,1,1,0,1,3,3,1,1,1	0%	-155	'+125
John Carlson	WSH	'+115	H	g	0.5	0.26	0.21 - 0.3	0.32 - 0.2	24%	0,0,0,1,0,0,0,0,0,0	20%	'+400	0
John Marino	NJ	-105	A	g	0.5	0.07	0.08 - 0.04	0.04 - 0.1	7%	0,0,0,0,0,0,0,0,0,0	1%	'+700	0
John Tavares	TOR	-275	H	sog	3.5	3.39	3.56 - 2.95	3.42 - 3.37	39%	0,1,3,9,2,4,0,0,1,1	29%	'+135	-165
John Tavares	TOR	-275	H	pts	0.5	1.01	1.48 - 0.4	1.11 - 0.92	61%	0,0,3,0,3,0,2,2,0,0	66%	-210	'+170
John Tavares	TOR	-275	H	ast	0.5	0.58	0.82 - 0.24	0.64 - 0.53	42%	0,0,1,0,3,0,2,2,0,0	50%	'+105	-135
John Tavares	TOR	-275	H	g	0.5	0.43	0.67 - 0.16	0.47 - 0.39	34%	0,0,2,0,0,0,0,0,0,0	32%	'+125	0
Johnny Gaudreau	CBJ	'+155	H	sog	3.5	2.68	2.69 - 2.55	2.44 - 2.92	23%	4,5,3,1,3,3,4,4,4,6	45%	'+125	-155
Johnny Gaudreau	CBJ	'+155	H	pts	1.5	0.95	1.68 - 0.58	0.75 - 1.14	26%	0,0,2,0,2,2,0,1,0,5	40%	'+170	-210
Johnny Gaudreau	CBJ	'+155	H	ast	0.5	0.68	1.24 - 0.41	0.64 - 0.73	48%	0,0,1,0,1,2,0,1,0,3	62%	-135	'+105
Johnny Gaudreau	CBJ	'+155	H	g	0.5	0.26	0.44 - 0.17	0.11 - 0.41	23%	0,0,1,0,1,0,0,0,0,2	36%	'+170	0
Jonas Siegenthaler	NJ	-105	A	g	0.5	0.04	0.06 - 0.0	0.03 - 0.05	4%	0,0,0,0,0,0,0,0,0,0	2%	'+1200	0
Jonatan Berggren	DET	'+230	A	g	0.5	0.22	0.32 - 0.16	0.19 - 0.24	20%	0,0,1,0,0,0,0,0,0,0	0%	'+390	0
Jonathan Huberdeau	CGY	-520	H	pts	0.5	0.68	0.96 - 0.41	0.76 - 0.61	55%	1,0,1,1,1,1,0,1,1,2	80%	-165	'+135
Jonathan Huberdeau	CGY	-520	H	ast	0.5	0.48	0.73 - 0.24	0.54 - 0.42	37%	0,0,1,1,1,1,0,1,0,1	66%	'+105	-135
Jonathan Huberdeau	CGY	-520	H	g	0.5	0.21	0.23 - 0.17	0.22 - 0.19	21%	1,0,0,0,0,0,0,0,1,1	30%	'+180	0
Jordan Kyrou	STL	'+185	H	sog	3.5	3.47	3.84 - 3.23	3.69 - 3.24	45%	2,5,4,6,1,1,1,3,3,3	30%	'+135	-165
Jordan Kyrou	STL	'+185	H	pts	0.5	0.93	1.3 - 0.61	1.03 - 0.84	58%	0,1,0,2,0,1,0,0,1,1	65%	-130	'+100
Jordan Kyrou	STL	'+185	H	ast	0.5	0.47	0.58 - 0.36	0.39 - 0.54	38%	0,0,0,0,0,1,0,0,0,1	43%	'+180	-220
Jordan Kyrou	STL	'+185	H	g	0.5	0.47	0.72 - 0.26	0.64 - 0.3	36%	0,1,0,2,0,0,0,0,1,0	33%	'+165	0
Jordan Martinook	CAR	-175	H	g	0.5	0.15	0.19 - 0.03	0.19 - 0.11	12%	0,0,0,0,0,0,0,0,0,0	10%	'+400	0
Jordan Oesterle	DET	'+230	A	g	0.5	0.04	0.05 - 0.04	0.04 - 0.04	4%	0,0,0,0,0,0,0,0,0,0	5%	'+1000	0
Jordan Staal	CAR	-175	H	g	0.5	0.23	0.26 - 0.16	0.24 - 0.22	23%	0,0,0,0,1,0,0,0,0,0	15%	'+295	0
Jordie Benn	TOR	-275	H	g	0.5	0.08	0.1 - 0.0	0.0 - 0.12	8%	0,0,0,0,0,0,0,0,0,0	0%	'+900	0
Josh Archibald	PIT	-215	H	g	0.5	0.11	0.05 - 0.13	0.13 - 0.07	11%	0,0,1,0,0,0,0,0,0,0	0%	'+550	0
Josh Bailey	NYI	'+150	A	g	0.5	0.13	0.2 - 0.07	0.18 - 0.09	13%	0,0,0,0,1,0,1,0,0,0	17%	'+500	0
Josh Leivo	STL	'+185	H	g	0.5	0.08	0.12 - 0.02	0.07 - 0.1	8%	0,0,0,0,0,0,0,0,0,0	14%	'+450	0
Josh Morrissey	WPG	-115	H	sog	2.5	2.19	2.04 - 2.21	1.95 - 2.44	32%	4,1,4,2,3,2,4,0,5,1	46%	'+105	-135
Josh Morrissey	WPG	-115	H	pts	0.5	0.93	1.28 - 0.53	0.76 - 1.11	63%	0,0,0,0,0,2,0,0,0,1	39%	-145	'+115
Josh Morrissey	WPG	-115	H	ast	0.5	0.73	0.96 - 0.47	0.7 - 0.75	56%	0,0,0,0,0,2,0,0,0,1	27%	-110	-120
Josh Morrissey	WPG	-115	H	g	0.5	0.21	0.32 - 0.06	0.05 - 0.36	15%	0,0,0,0,0,0,0,0,0,0	15%	'+380	0
Jt Miller	VAN	'+100	H	sog	2.5	2.72	2.78 - 2.53	2.49 - 2.95	54%	1,2,2,1,2,3,4,1,3,3	45%	-130	'+100
Jt Miller	VAN	'+100	H	pts	1.5	1.0	1.23 - 0.74	0.97 - 1.03	30%	0,2,1,1,2,3,2,2,0,2	34%	'+190	-235
Jt Miller	VAN	'+100	H	ast	0.5	0.61	0.77 - 0.44	0.62 - 0.59	50%	0,2,1,1,1,1,1,2,0,1	62%	-130	'+100
Jt Miller	VAN	'+100	H	g	0.5	0.39	0.46 - 0.3	0.35 - 0.43	34%	0,0,0,0,1,2,1,0,0,1	34%	'+185	0
Julien Gauthier	OTT	-180	A	g	0.5	0.14	0.15 - 0.11	0.11 - 0.2	14%	0,0,1,0,0,0,0,0,0,0	7%	'+380	0
Justin Braun	PHI	'+185	A	g	0.5	0.0	0.0 - 0.0	0.0 - 0.0	0%	0,0,0,0,0,0,0,0,0,0	7%	'+1700	0
Justin Faulk	STL	'+185	H	sog	2.5	2.43	2.35 - 2.44	2.23 - 2.65	47%	1,3,3,2,1,3,2,1,2,0	43%	'+125	-155
Justin Faulk	STL	'+185	H	pts	0.5	0.58	0.62 - 0.54	0.54 - 0.62	43%	0,2,3,2,2,0,0,1,0,1	47%	'+115	-145
Justin Faulk	STL	'+185	H	ast	0.5	0.45	0.48 - 0.43	0.38 - 0.51	36%	0,2,2,1,2,0,0,1,0,1	40%	'+160	-195
Justin Faulk	STL	'+185	H	g	0.5	0.13	0.14 - 0.12	0.15 - 0.11	12%	0,0,1,1,0,0,0,0,0,0	19%	'+600	0
Justin Holl	TOR	-275	H	g	0.5	0.03	0.04 - 0.0	0.03 - 0.03	3%	0,0,0,0,0,0,0,0,0,0	4%	'+1200	0
Kaapo Kakko	NYR	-135	A	g	0.5	0.2	0.26 - 0.12	0.24 - 0.16	20%	1,0,0,1,0,1,0,0,0,0	12%	'+350	0
Kandre Miller	NYR	-135	A	g	0.5	0.11	0.18 - 0.0	0.06 - 0.16	10%	0,0,0,0,0,0,2,0,0,0	9%	'+600	0
Karson Kuhlman	WPG	-115	H	g	0.5	0.06	0.11 - 0.0	0.12 - 0.0	6%	0,0,0,0,0,0,0,0,0,0	7%	'+550	0
Kasperi Kapanen	STL	'+185	H	sog	1.5	1.77	2.03 - 1.53	1.81 - 1.72	45%	1,0,2,3,6,1,2,3,3,1	46%	-185	'+150
Kasperi Kapanen	STL	'+185	H	pts	0.5	0.53	0.8 - 0.3	0.48 - 0.59	38%	0,1,1,1,3,0,0,2,1,0	31%	'+120	-150
Kasperi Kapanen	STL	'+185	H	ast	0.5	0.3	0.43 - 0.2	0.23 - 0.38	27%	0,1,1,0,1,0,0,1,0,0	21%	'+225	-285
Kasperi Kapanen	STL	'+185	H	g	0.5	0.23	0.37 - 0.1	0.26 - 0.21	18%	0,0,0,1,2,0,0,1,1,0	12%	'+360	0
Kent Johnson	CBJ	'+155	H	pts	0.5	0.51	1.09 - 0.28	0.47 - 0.56	43%	0,0,0,1,1,2,0,1,0,1	33%	'+100	-130
Kent Johnson	CBJ	'+155	H	ast	0.5	0.31	0.74 - 0.16	0.28 - 0.33	25%	0,0,0,1,0,2,0,1,0,0	33%	'+195	-240
Kent Johnson	CBJ	'+155	H	g	0.5	0.21	0.36 - 0.12	0.19 - 0.22	21%	0,0,0,0,1,0,0,0,0,1	0%	'+250	0
Kevin Bahl	NJ	-105	A	g	0.5	0.06	0.0 - 0.12	0.06 - 0.05	6%	0,0,0,0,1,0,0,0,0,0	6%	'+1500	0
Kevin Fiala	LA	-120	A	g	0.5	0.33	0.44 - 0.16	0.3 - 0.38	28%	1,0,0,0,0,1,0,0,0,0	28%	'+160	0
Kevin Hayes	PHI	'+185	A	sog	2.5	2.64	2.77 - 2.36	2.22 - 3.05	47%	5,0,1,2,1,3,2,5,3,0	51%	'+125	-155
Kevin Hayes	PHI	'+185	A	pts	0.5	0.71	1.02 - 0.48	0.61 - 0.81	51%	0,1,0,0,0,0,2,0,0,0	51%	'+120	-150
Kevin Hayes	PHI	'+185	A	ast	0.5	0.48	0.7 - 0.32	0.5 - 0.46	37%	0,1,0,0,0,0,2,0,0,0	38%	'+220	-280
Kevin Hayes	PHI	'+185	A	g	0.5	0.23	0.32 - 0.16	0.11 - 0.35	18%	0,0,0,0,0,0,0,0,0,0	19%	'+265	0
Kevin Rooney	CGY	-520	H	g	0.5	0.0	0.0 - 0.0	0.0 - 0.0	0%	0,0,0,0,0,0,0,0,0,0	7%	'+450	0
Kevin Shattenkirk	ANA	'+410	A	g	0.5	0.06	0.0 - 0.07	0.0 - 0.12	4%	0,0,0,0,0,0,0,0,2,0	9%	'+900	0
Kevin Stenlund	WPG	-115	H	g	0.5	0.1	0.07 - 0.09	0.08 - 0.13	8%	0,0,0,0,0,0,0,0,0,0	0%	'+550	0
Kieffer Bellows	PHI	'+185	A	g	0.5	0.12	0.41 - 0.08	0.15 - 0.09	12%	0,1,0,0,1,0,0,0,0,0	14%	'+400	0
Kirill Marchenko	CBJ	'+155	H	sog	2.5	2.12	2.13 - 1.88	2.26 - 1.9	33%	1,2,5,4,1,1,4,2,4,4	0%	-130	'+100
Kirill Marchenko	CBJ	'+155	H	pts	0.5	0.44	0.64 - 0.33	0.52 - 0.33	33%	0,0,1,1,0,0,2,0,1,0	0%	-115	-115
Kirill Marchenko	CBJ	'+155	H	ast	0.5	0.06	0.05 - 0.05	0.1 - 0.0	6%	0,0,0,0,0,0,1,0,0,0	0%	'+245	-315
Kirill Marchenko	CBJ	'+155	H	g	0.5	0.38	0.59 - 0.29	0.42 - 0.33	31%	0,0,1,1,0,0,1,0,1,0	0%	'+175	0
Kris Letang	PIT	-215	H	sog	2.5	2.47	2.29 - 2.43	2.03 - 2.93	48%	2,1,4,4,3,3,5,3,1,4	55%	-140	'+110
Kris Letang	PIT	-215	H	pts	0.5	0.62	0.81 - 0.45	0.43 - 0.82	43%	0,1,1,0,0,0,0,0,0,3	58%	-160	'+130
Kris Letang	PIT	-215	H	ast	0.5	0.45	0.61 - 0.32	0.33 - 0.57	34%	0,1,1,0,0,0,0,0,0,2	51%	-115	-115
Kris Letang	PIT	-215	H	g	0.5	0.17	0.2 - 0.14	0.1 - 0.25	14%	0,0,0,0,0,0,0,0,0,1	12%	'+350	0
Kyle Burroughs	VAN	'+100	H	g	0.5	0.05	0.04 - 0.05	0.09 - 0.0	5%	0,0,0,0,0,0,0,0,0,0	2%	'+950	0
Kyle Connor	WPG	-115	H	sog	2.5	3.38	3.21 - 3.27	3.03 - 3.76	61%	2,4,2,4,1,2,2,6,1,2	71%	-165	'+135
Kyle Connor	WPG	-115	H	pts	0.5	1.01	1.49 - 0.41	0.87 - 1.16	66%	2,0,1,1,0,0,0,0,0,0	72%	-210	'+170
Kyle Connor	WPG	-115	H	ast	0.5	0.63	0.9 - 0.27	0.54 - 0.73	50%	1,0,1,0,0,0,0,0,0,0	42%	-105	-125
Kyle Connor	WPG	-115	H	g	0.5	0.38	0.58 - 0.14	0.33 - 0.43	30%	1,0,0,1,0,0,0,0,0,0	52%	'+135	0
Kyle Palmieri	NYI	'+150	A	sog	2.5	2.18	2.37 - 1.86	2.04 - 2.35	38%	4,0,7,4,1,0,1,2,1,0	51%	'+140	-175
Kyle Palmieri	NYI	'+150	A	pts	0.5	0.62	0.81 - 0.37	0.63 - 0.61	42%	0,0,3,0,2,0,1,4,0,0	40%	'+125	-155
Kyle Palmieri	NYI	'+150	A	ast	0.5	0.32	0.41 - 0.18	0.33 - 0.3	26%	0,0,1,0,1,0,0,3,0,0	24%	'+260	-335
Kyle Palmieri	NYI	'+150	A	g	0.5	0.3	0.4 - 0.19	0.3 - 0.3	26%	0,0,2,0,1,0,1,1,0,0	19%	'+270	0
Lane Pederson	CBJ	'+155	H	g	0.5	0.12	0.0 - 0.15	0.17 - 0.0	12%	0,0,1,0,0,0,0,0,0,0	0%	'+425	0
Liam Foudy	CBJ	'+155	H	g	0.5	0.11	0.13 - 0.08	0.16 - 0.04	11%	0,0,0,0,1,0,1,0,0,1	0%	'+425	0
Logan Brown	STL	'+185	H	g	0.5	0.07	0.27 - 0.0	0.13 - 0.0	7%	0,1,0,0,0,0,0,0,1,0	11%	'+700	0
Logan Stanley	WPG	-115	H	g	0.5	0.06	0.0 - 0.11	0.0 - 0.11	6%	0,0,0,1,0,0,0,0,0,0	2%	'+1200	0
Lucas Raymond	DET	'+230	A	sog	1.5	1.87	1.77 - 1.8	1.38 - 2.31	57%	0,1,3,5,3,2,0,2,3,0	61%	-160	'+125
Lucas Raymond	DET	'+230	A	pts	0.5	0.58	0.91 - 0.34	0.41 - 0.74	42%	0,0,0,0,1,0,1,0,1,2	50%	'+120	-150
Lucas Raymond	DET	'+230	A	ast	0.5	0.34	0.55 - 0.21	0.31 - 0.37	24%	0,0,0,0,1,0,1,0,1,2	35%	'+230	-290
Lucas Raymond	DET	'+230	A	g	0.5	0.24	0.36 - 0.14	0.09 - 0.37	22%	0,0,0,0,0,0,0,0,0,0	20%	'+280	0
Luke Schenn	TOR	-275	H	g	0.5	0.0	0.0 - 0.0	0.0 - 0.0	0%	0,0,0,0,0,0,0,0,0	0%	'+900	0
Mackenzie Weegar	CGY	-520	H	sog	2.5	1.91	1.85 - 1.73	2.0 - 1.81	32%	6,2,4,4,1,0,1,2,2,4	37%	'+100	-130
Mackenzie Weegar	CGY	-520	H	pts	0.5	0.37	0.55 - 0.19	0.34 - 0.41	27%	2,0,1,1,0,0,3,2,0,0	41%	'+110	-140
Mackenzie Weegar	CGY	-520	H	ast	0.5	0.32	0.47 - 0.16	0.32 - 0.32	25%	2,0,0,1,0,0,2,1,0,0	35%	'+155	-190
Mackenzie Weegar	CGY	-520	H	g	0.5	0.05	0.08 - 0.02	0.03 - 0.08	5%	0,0,1,0,0,0,1,1,0,0	9%	'+400	0
Marcus Bjork	CBJ	'+155	H	g	0.5	0.1	0.0 - 0.15	0.15 - 0.06	10%	0,0,0,0,0,0,0,0,0,1	0%	'+600	0
Marcus Pettersson	PIT	-215	H	g	0.5	0.01	0.03 - 0.0	0.03 - 0.0	1%	0,0,0,0,0,0,0,0,0,0	3%	'+1000	0
Mark Giordano	TOR	-275	H	g	0.5	0.05	0.06 - 0.03	0.06 - 0.05	5%	0,0,0,0,0,0,0,0,0,0	11%	'+750	0
Mark Kastelic	OTT	-180	A	g	0.5	0.08	0.1 - 0.05	0.1 - 0.07	8%	0,0,0,1,0,0,0,0,0,0	6%	'+425	0
Mark Scheifele	WPG	-115	H	sog	2.5	2.54	2.57 - 2.34	2.21 - 2.89	49%	1,3,0,2,3,0,3,6,0,1	40%	'+135	-165
Mark Scheifele	WPG	-115	H	pts	0.5	0.83	1.16 - 0.41	0.72 - 0.95	51%	2,0,0,0,0,0,1,0,0,1	63%	-150	'+120
Mark Scheifele	WPG	-115	H	ast	0.5	0.32	0.42 - 0.18	0.23 - 0.41	24%	1,0,0,0,0,0,1,0,0,1	49%	'+165	-205
Mark Scheifele	WPG	-115	H	g	0.5	0.51	0.74 - 0.23	0.49 - 0.54	34%	1,0,0,0,0,0,0,0,0,0	35%	'+130	0
Martin Fehervary	WSH	'+115	H	g	0.5	0.1	0.12 - 0.08	0.13 - 0.07	10%	0,0,0,0,0,0,1,0,0,0	11%	'+750	0
Martin Necas	CAR	-175	H	sog	2.5	2.97	3.06 - 2.66	3.16 - 2.79	56%	1,4,2,2,2,2,3,5,2,1	37%	-130	'+100
Martin Necas	CAR	-175	H	pts	0.5	0.91	1.16 - 0.49	0.7 - 1.11	61%	0,0,0,1,2,1,0,2,1,1	38%	-205	'+165
Martin Necas	CAR	-175	H	ast	0.5	0.55	0.74 - 0.25	0.3 - 0.79	41%	0,0,0,1,2,1,0,1,0,1	29%	-110	-120
Martin Necas	CAR	-175	H	g	0.5	0.36	0.42 - 0.24	0.41 - 0.32	35%	0,0,0,0,0,0,0,1,1,0	15%	'+160	0
Mason Mctavish	ANA	'+410	A	sog	1.5	2.12	2.23 - 1.93	1.88 - 2.35	68%	3,1,4,4,0,1,2,4,1,3	44%	-145	'+115
Mason Mctavish	ANA	'+410	A	pts	0.5	0.58	1.0 - 0.37	0.44 - 0.71	39%	0,0,0,1,0,0,0,1,0,2	22%	'+165	-205
Mason Mctavish	ANA	'+410	A	ast	0.5	0.33	0.6 - 0.2	0.34 - 0.32	24%	0,0,0,1,0,0,0,1,0,0	11%	'+320	-425
Mason Mctavish	ANA	'+410	A	g	0.5	0.24	0.41 - 0.16	0.09 - 0.38	21%	0,0,0,0,0,0,0,0,0,2	22%	'+360	0
Mathieu Joseph	OTT	-180	A	g	0.5	0.06	0.07 - 0.03	0.09 - 0.04	6%	0,0,0,0,0,0,0,0,0,0	15%	'+270	0
Mathieu Olivier	CBJ	'+155	H	g	0.5	0.08	0.07 - 0.06	0.06 - 0.09	8%	0,0,0,0,0,0,0,0,0,0	0%	'+500	0
Matt Grzelcyk	BOS	-215	A	g	0.5	0.06	0.06 - 0.05	0.06 - 0.06	6%	0,0,0,0,0,0,0,0,0,0	6%	'+650	0
Matt Irwin	WSH	'+115	H	g	0.5	0.04	0.03 - 0.04	0.07 - 0.0	4%	0,0,0,0,1,0,0,0,1,0	6%	'+1600	0
Matt Martin	NYI	'+150	A	g	0.5	0.09	0.05 - 0.12	0.13 - 0.05	9%	0,0,0,0,0,0,0,0,0,0	4%	'+750	0
Matt Murray	TOR	-275	H	sv	24.5	27.28	30.31 - 23.46	29.75 - 22.89	60%	23,33,48,25,22,20,4,30,32,34	68%	-110	-120
Matt Roy	LA	-120	A	g	0.5	0.12	0.17 - 0.03	0.18 - 0.05	11%	0,0,0,0,0,0,0,0,0,0	3%	'+650	0
Matthew Highmore	STL	'+185	H	g	0.5	0.0	0 - 0.0	0.0 - 0	0%	0,0	0%	'+700	0
Max Comtois	ANA	'+410	A	g	0.5	0.13	0.23 - 0.07	0.19 - 0.07	13%	0,0,0,0,0,0,1,0,0,1	10%	'+475	0
Max Jones	ANA	'+410	A	g	0.5	0.11	0.2 - 0.06	0.06 - 0.18	11%	0,0,0,0,0,0,0,1,1,0	0%	'+450	0
Max Willman	PHI	'+185	A	g	0.5	0.0	0.0 - 0.0	0.0 - 0.0	0%	0,0,0,0,0,0,0,0,0	11%	'+550	0
Michael Bunting	TOR	-275	H	sog	1.5	2.0	1.88 - 1.81	1.92 - 2.08	53%	1,3,1,4,4,2,3,1,0,5	62%	-150	'+120
Michael Bunting	TOR	-275	H	pts	0.5	0.63	0.79 - 0.31	0.65 - 0.61	45%	1,0,0,1,1,0,0,1,0,0	54%	'+115	-145
Michael Bunting	TOR	-275	H	ast	0.5	0.33	0.44 - 0.14	0.32 - 0.34	27%	0,0,0,1,0,0,0,1,0,0	38%	'+285	-375
Michael Bunting	TOR	-275	H	g	0.5	0.29	0.35 - 0.17	0.32 - 0.26	24%	1,0,0,0,1,0,0,0,0,0	24%	'+185	0
Michael Mcleod	NJ	-105	A	g	0.5	0.06	0.08 - 0.0	0.11 - 0.0	6%	0,0,0,0,0,0,0,0,0,0	4%	'+550	0
Michael Stone	CGY	-520	H	g	0.5	0.11	0.15 - 0.09	0.19 - 0.04	11%	0,0,0,0,0,1,0,0,0,0	20%	'+600	0
Mika Zibanejad	NYR	-135	A	sog	2.5	3.11	3.19 - 2.82	2.82 - 3.39	62%	0,0,3,4,1,2,3,2,1,5	47%	-120	-110
Mika Zibanejad	NYR	-135	A	pts	0.5	1.08	1.57 - 0.47	1.0 - 1.16	66%	0,1,2,0,2,0,2,3,2,2	67%	-165	'+135
Mika Zibanejad	NYR	-135	A	ast	0.5	0.58	0.82 - 0.3	0.58 - 0.58	46%	0,1,1,0,2,0,1,2,1,0	51%	'+135	-165
Mika Zibanejad	NYR	-135	A	g	0.5	0.5	0.76 - 0.17	0.42 - 0.58	38%	0,0,1,0,0,0,1,1,1,2	33%	'+135	0
Mikael Backlund	CGY	-520	H	sog	3.5	3.18	3.04 - 3.21	3.21 - 3.16	45%	2,0,3,3,3,2,3,4,2,2	28%	'+105	-135
Mikael Backlund	CGY	-520	H	pts	0.5	0.67	0.74 - 0.59	0.74 - 0.59	51%	2,1,0,0,2,1,0,1,1,2	37%	-205	'+165
Mikael Backlund	CGY	-520	H	ast	0.5	0.46	0.57 - 0.35	0.49 - 0.43	36%	2,1,0,0,2,1,0,0,0,2	27%	-120	-110
Mikael Backlund	CGY	-520	H	g	0.5	0.21	0.17 - 0.24	0.26 - 0.16	20%	0,0,0,0,0,0,0,1,1,0	16%	'+150	0
Mikael Granlund	PIT	-215	H	ast	0.5	0.4	0.53 - 0.24	0.37 - 0.42	34%	0,0,0,1,0,0,0,0,0,0	45%	'+205	-255
Mikael Granlund	PIT	-215	H	g	0.5	0.14	0.29 - 0.0	0.11 - 0.16	12%	0,0,0,0,0,0,0,0,0,0	12%	'+255	0
Milan Lucic	CGY	-520	H	g	0.5	0.08	0.09 - 0.05	0.11 - 0.06	8%	0,0,0,1,0,0,0,0,0,0	12%	'+400	0
Miles Wood	NJ	-105	A	g	0.5	0.16	0.15 - 0.11	0.17 - 0.14	14%	0,0,0,0,0,0,0,0,0,0	0%	'+400	0
Mitchell Marner	TOR	-275	H	sog	2.5	2.4	2.41 - 2.23	2.49 - 2.32	45%	0,3,2,2,3,2,4,1,1,1	51%	-125	-105
Mitchell Marner	TOR	-275	H	pts	1.5	1.27	1.5 - 0.99	1.27 - 1.26	32%	0,1,1,1,2,1,2,1,1,2	38%	-105	-125
Mitchell Marner	TOR	-275	H	ast	1.5	0.89	1.09 - 0.69	0.86 - 0.92	17%	0,1,1,1,1,0,1,0,1,2	23%	'+185	-230
Mitchell Marner	TOR	-275	H	g	0.5	0.37	0.41 - 0.3	0.41 - 0.34	36%	0,0,0,0,1,1,1,1,0,0	34%	'+130	0
Morgan Barron	WPG	-115	H	g	0.5	0.11	0.15 - 0.03	0.03 - 0.19	11%	0,0,0,0,0,0,0,0,0,1	7%	'+500	0
Morgan Frost	PHI	'+185	A	sog	1.5	1.86	1.82 - 1.86	1.63 - 2.08	56%	5,1,1,2,2,4,0,1,0,2	49%	-185	'+150
Morgan Frost	PHI	'+185	A	pts	0.5	0.53	0.58 - 0.47	0.43 - 0.63	38%	2,1,0,1,2,2,0,1,0,0	28%	'+135	-165
Morgan Frost	PHI	'+185	A	ast	0.5	0.32	0.36 - 0.27	0.26 - 0.37	22%	0,1,0,1,1,2,0,0,0,0	21%	'+270	-350
Morgan Frost	PHI	'+185	A	g	0.5	0.22	0.22 - 0.19	0.17 - 0.26	19%	2,0,0,0,1,0,0,1,0,0	9%	'+330	0
Morgan Rielly	TOR	-275	H	sog	1.5	1.93	2.08 - 1.6	1.59 - 2.22	56%	2,1,2,0,1,2,4,3,1,2	78%	-165	'+135
Morgan Rielly	TOR	-275	H	pts	0.5	0.66	0.69 - 0.58	0.63 - 0.69	53%	0,0,1,2,0,1,2,1,0,0	55%	-120	-110
Morgan Rielly	TOR	-275	H	ast	0.5	0.59	0.62 - 0.51	0.63 - 0.56	47%	0,0,1,2,0,1,1,0,0,0	49%	'+110	-140
Morgan Rielly	TOR	-275	H	g	0.5	0.07	0.07 - 0.07	0.0 - 0.12	7%	0,0,0,0,0,0,1,1,0,0	14%	'+380	0
Moritz Seider	DET	'+230	A	sog	2.5	1.75	1.67 - 1.83	1.49 - 2.0	25%	2,2,0,6,2,2,2,2,4,2	38%	'+155	-190
Moritz Seider	DET	'+230	A	pts	0.5	0.52	0.79 - 0.29	0.46 - 0.58	36%	1,1,2,0,0,0,0,0,0,2	50%	'+125	-155
Moritz Seider	DET	'+230	A	ast	0.5	0.45	0.67 - 0.27	0.41 - 0.5	32%	1,1,2,0,0,0,0,0,0,1	41%	'+160	-195
Moritz Seider	DET	'+230	A	g	0.5	0.07	0.12 - 0.02	0.05 - 0.08	7%	0,0,0,0,0,0,0,0,0,1	9%	'+600	0
Nathan Bastian	NJ	-105	A	g	0.5	0.15	0.15 - 0.12	0.19 - 0.11	15%	0,1,0,0,0,0,1,1,0,0	15%	'+450	0
Nathan Beaulieu	ANA	'+410	A	g	0.5	0.0	0.0 - 0.0	0.0 - 0.0	0%	0,0,0,0,0,0,0,0,0,0	0%	'+1600	0
Nathan Walker	STL	'+185	H	g	0.5	0.04	0.09 - 0.0	0.04 - 0.04	4%	0,0,0,0,0,0,0,1,0,0	18%	'+700	0
Nazem Kadri	CGY	-520	H	sog	2.5	3.28	3.21 - 3.21	3.05 - 3.51	67%	3,2,4,7,3,0,1,0,4,5	65%	-175	'+140
Nazem Kadri	CGY	-520	H	pts	0.5	0.67	1.13 - 0.3	0.62 - 0.73	50%	1,0,1,1,0,0,0,0,0,2	68%	-145	'+115
Nazem Kadri	CGY	-520	H	ast	0.5	0.37	0.66 - 0.14	0.36 - 0.38	30%	1,0,0,0,0,0,0,0,0,2	49%	'+160	-195
Nazem Kadri	CGY	-520	H	g	0.5	0.3	0.47 - 0.16	0.26 - 0.35	28%	0,0,1,1,0,0,0,0,0,0	37%	'+135	0
Neal Pionk	WPG	-115	H	g	0.5	0.12	0.12 - 0.11	0.23 - 0.0	11%	0,0,0,0,0,0,1,0,0,0	4%	'+600	0
Nic Dowd	WSH	'+115	H	g	0.5	0.21	0.35 - 0.09	0.19 - 0.23	19%	0,0,0,1,0,0,0,0,1,1	17%	'+600	0
Nick Blankenburg	CBJ	'+155	H	g	0.5	0.11	0.14 - 0.09	0.05 - 0.18	11%	0,0,0,0,1,0,0,0,0,0	14%	'+500	0
Nick Bonino	PIT	-215	H	g	0.5	0.16	0.15 - 0.15	0.16 - 0.16	16%	0,0,0,0,0,1,0,0,0,0	21%	'+320	0
Nick Holden	OTT	-180	A	g	0.5	0.03	0.0 - 0.07	0.07 - 0.0	3%	0,0,0,0,0,1,0,0,0,0	4%	'+1000	0
Nick Jensen	WSH	'+115	H	g	0.5	0.06	0.03 - 0.07	0.03 - 0.09	4%	0,0,0,0,2,0,0,0,0,0	5%	'+1200	0
Nick Leddy	STL	'+185	H	g	0.5	0.03	0.03 - 0.03	0.0 - 0.06	3%	0,0,0,0,0,0,0,0,0,0	4%	'+1300	0
