EV	EV Book	Imp	Game	Player	Prop	FD	DK	MGM	Bet365	Kambi/BR	ESPN
57.4	4000 ESPN	2%	WPG @ STL	Nathan Walker	fgs	-	-	-	'+3500	-	'+4000
57.4	4000 ESPN	2%	WPG @ STL	Cam Fowler	fgs	-	-	-	'+3500	-	'+4000
57.4	4000 ESPN	2%	WPG @ STL	Brandon Tanev	fgs	-	-	-	'+3500	-	'+4000
57.4	4000 ESPN	2%	VGK @ MIN	Alex Pietrangelo	fgs	-	-	-	'+3500	-	'+4000
57.4	4000 ESPN	2%	TOR @ OTT	Calle Jarnkrok	fgs	-	-	-	'+3500	-	'+4000
57.4	4000 ESPN	2%	TOR @ OTT	Adam Gaudette	fgs	-	-	-	'+3500	-	'+4000
57.2	1300 DK	7%	CAR @ NJ	Nico Hischier	fgs	'+1200	'+1300	-	'+1100	-	-
57.0	7000 DK	1%	WSH @ MTL	Trevor Van Riemsdyk	fgs	'+6000	'+7000	-	'+6500	-	-
56.7	4500 DK	2%	CAR @ NJ	Paul Cotter	fgs	'+3900	'+4500	-	'+4000	-	-
56.4	4700 FD	2%	WSH @ MTL	Lane Hutson	fgs	'+4700	'+4500	-	'+4000	-	-
55.9	10000 FD	1%	LA @ EDM	Ty Emberson	fgs	'+10000	'+8000	-	'+10000	-	-
55.9	10000 FD	1%	CAR @ NJ	Brian Dumoulin	fgs	'+10000	'+10000	-	'+8000	-	-
54.7	3000 DK	3%	WSH @ MTL	Alex Newhook	fgs	'+2900	'+3000	-	'+2500	-	-
54.1	950 DK	10%	LA @ EDM	Leon Draisaitl	fgs	'+850	'+950	-	'+850	-	-
53.7	2800 FD	3%	WSH @ MTL	Christian Dvorak	fgs	'+2800	'+2500	-	'+2500	-	-
53.7	1800 FD	5%	CAR @ NJ	Taylor Hall	fgs	'+1800	'+1800	-	'+1600	-	-
53.2	2200 DK	4%	CAR @ NJ	Dawson Mercer	fgs	'+2100	'+2200	-	'+2000	-	-
53.1	2200 ESPN	4%	VGK @ MIN	Victor Olofsson	fgs	-	-	-	'+2000	-	'+2200
51.9	3800 ESPN	3%	WPG @ STL	Morgan Barron	fgs	-	-	-	'+3500	-	'+3800
51.9	3800 ESPN	3%	WPG @ STL	Colton Parayko	fgs	-	-	-	'+3500	-	'+3800
