EV	EV Book	Game	Player	Prop	O/U	FD	DK	ESPN	MGM	Kambi	PN	CZ	BV
-8.1	400 FD	georgia tech @ louisville	Haynes King	team_ftd	o  	'+400	-	-	333	-	-	-	-
-8.2	155 ESPN	vanderbilt @ missouri	Sedrick Alexander	attd	o  	-	'+150	'+155/-220	-	-	-	150	-
-8.2	3300 MGM	ucla @ lsu	Rico Flores	ftd	o  	'+3200	'+2800	'+1500/-4000	3300	-	-	-	-
-8.2	410 FD	iowa @ minnesota	Elijah Spencer	attd	o  	'+410	'+340	-	-	-	-	-	-
-8.3	350 DK	iowa @ minnesota	Luke Lachey	attd	o  	'+300	'+350	-	-	-	-	-	-
-8.4	230 ESPN	vanderbilt @ missouri	Mookie Cooper	attd	o  	-	'+205	'+230/-340	-	-	-	220	-
-8.4	160 FD	tennessee @ oklahoma	Dylan Sampson	2+td	o  	'+160	-	-	155	-	-	-	-
-8.5	240 ESPN	vanderbilt @ missouri	Junior Sherrill	attd	o  	-	'+210	'+240/-350	-	-	-	230	-
-8.5	550 FD	georgia tech @ louisville	Maurice Turner	ftd	o  	'+550	-	-	425	-	-	-	-
-8.7	575 MGM	georgia tech @ louisville	Christian Leary	attd	o  	'+560	'+320	-	575	-	-	-	-
-9.0	1300 DK	arizona state @ texas tech	Sam Leavitt	ftd	o  	-	'+1300	'+800/-1800	-	-	-	-	-
-9.1	158 FD	miami florida @ south florida	Nayquan Wright	attd	o  	'+158	-	-	155	-	-	-	-
-9.2	360 DK	ucla @ lsu	Keegan Jones	attd	o  	'+300	'+360	'+300/-475	320	-	-	320	-
-9.2	360 FD	california @ florida state	Kyle Morlock	attd	o  	'+360	'+330	-	290	-	-	-	-
-9.3	300 FD	tennessee @ oklahoma	Bauer Sharp	attd	o  	'+300	'+235	-	280	-	-	290	-
-9.3	310 FD	california @ florida state	Roydell Williams	team_ftd	o  	'+310	-	-	275	-	-	-	-
-9.4	700 ESPN	miami ohio @ notre dame	Jayden Thomas	attd	o  	'+560	'+310	'+700/-1700	-	-	-	650	-
-9.4	500 FD	miami florida @ south florida	Sean Atkins	team_ftd	o  	'+500	-	-	400	-	-	-	-
-9.5	275 FD	iowa @ minnesota	Daniel Jackson	attd	o  	'+275	'+250	-	-	-	-	-	-
-10.0	460 FD	tennessee @ oklahoma	Holden Staes	attd	o  	'+460	'+330	-	425	-	-	-	-
-10.0	300 ESPN	miami ohio @ notre dame	Devyn Ford	attd	o  	-	-	'+300/-475	-	-	-	270	-
-10.1	630 FD	iowa @ minnesota	Jameson Geers	attd	o  	'+630	'+475	-	-	-	-	-	-
-10.1	630 FD	iowa @ minnesota	Addison Ostrenga	attd	o  	'+630	'+475	-	-	-	-	-	-
-10.4	140 DK	vanderbilt @ missouri	Theo Wease	attd	o  	-	'+140	'+140/-200	-	-	-	130	-
-10.5	300 ESPN	vanderbilt @ missouri	Eli Stowers	attd	o  	-	'+255	'+300/-475	-	-	-	290	-
-10.9	410 FD	ucla @ lsu	Kyren Lacy	team_ftd	o  	'+410	-	-	350	-	-	-	-
-10.9	200 MGM	miami florida @ south florida	Elijah Arroyo	attd	o  	'+195	-	-	200	-	-	-	-
-11.6	320 FD	usc @ michigan	Donovan Edwards	team_ftd	o  	'+320	-	-	290	-	-	-	-
-11.7	900 DK	utah @ oklahoma state	Brennan Presley	ftd	o  	'+850	'+900	'+600/-1200	700	-	-	-	-
-11.9	375 MGM	michigan state @ boston college	Kamari Morales	attd	o  	'+350	'+310	-	375	-	-	-	-
-11.9	500 ESPN	miami ohio @ notre dame	Jayden Harrison	attd	o  	-	'+340	'+500/-1000	-	-	-	480	-
-11.9	240 FD	miami florida @ south florida	Abdur Rahmaan Yaseen	attd	o  	'+240	-	-	230	-	-	-	-
-12.0	300 CZ	georgia tech @ louisville	Mark Redman	attd	o  	'+240	'+225	'+285/-450	210	-	-	300	-
-12.2	880 FD	michigan state @ boston college	Jeremiah Franklin	attd	o  	'+880	'+600	-	-	-	-	-	-
-12.4	330 FD	michigan state @ boston college	Thomas Castellanos	team_ftd	o  	'+330	-	-	300	-	-	-	-
-12.4	280 FD	michigan state @ boston college	Jack Velling	attd	o  	'+280	'+240	-	270	-	-	280	-
-12.4	330 FD	michigan state @ boston college	Aziah Johnson	attd	o  	'+330	-	-	-	-	-	300	-
-12.5	460 FD	california @ florida state	Jonathan Brady	attd	o  	'+460	'+350	-	425	-	-	-	-
-12.5	265 FD	arizona state @ texas tech	Chamon Metayer	attd	o  	'+265	'+240	'+250/-375	-	-	-	240	-
-12.7	2200 MGM	georgia tech @ louisville	Eric Singleton	ftd	o  	'+2000	'+1400	'+1100/-3000	2200	-	-	-	-
-12.8	230 DK	california @ florida state	Nyziah Hunter	attd	o  	'+225	'+230	-	-	-	-	-	-
-12.8	250 FD	california @ florida state	Malik Benson	attd	o  	'+250	'+195	'+250/-375	200	-	-	-	-
-12.9	220 MGM	georgia tech @ louisville	Jimmy Calloway	attd	o  	'+220	'+215	-	220	-	-	-	-
-13.0	1000 MGM	michigan state @ boston college	Aidan Chiles	team_ftd	o  	'+650	-	-	1000	-	-	-	-
-13.2	210 MGM	miami florida @ south florida	Samuel Brown	attd	o  	'+210	-	-	210	-	-	-	-
-13.2	340 FD	california @ florida state	Jalen Brown	attd	o  	'+340	'+300	-	320	-	-	-	-
-13.5	650 MGM	utah @ oklahoma state	Brant Kuithe	team_ftd	o  	'+500	-	-	650	-	-	-	-
-13.5	650 FD	tennessee @ oklahoma	Nic Anderson	team_ftd	o  	'+650	-	-	500	-	-	-	-
-13.5	650 DK	miami ohio @ notre dame	Cade Mcdonald	attd	o  	'+500	'+650	-	-	-	-	-	-
-13.5	650 MGM	georgia tech @ louisville	Jacorey Brooks	team_ftd	o  	'+500	-	-	650	-	-	-	-
-13.6	425 MGM	ucla @ lsu	Tj Harden	2+td	o  	'+370	-	-	425	-	-	-	-
-13.7	310 FD	ucla @ lsu	Josh Williams	2+td	o  	'+310	-	-	290	-	-	-	-
-13.7	750 FD	tennessee @ oklahoma	Gavin Sawchuk	team_ftd	o  	'+750	-	-	550	-	-	-	-
-13.7	750 FD	california @ florida state	Jack Endries	attd	o  	'+750	'+425	-	675	-	-	-	-
-13.9	350 MGM	georgia tech @ louisville	Maurice Turner	team_ftd	o  	'+320	-	-	350	-	-	-	-
-14.1	240 FD	usc @ michigan	Kyron Hudson	attd	o  	'+240	'+230	'+240/-350	220	-	-	220	-
-14.1	425 DK	tennessee @ oklahoma	Dylan Sampson	ftd	o  	'+370	'+425	-	375	-	-	-	-
-14.4	230 MGM	miami florida @ south florida	Xavier Restrepo	2+td	o  	'+230	-	-	230	-	-	-	-
-14.5	280 MGM	usc @ michigan	Woody Marks	team_ftd	o  	'+270	-	-	280	-	-	-	-
-14.5	375 ESPN	california @ florida state	Fernando Mendoza	attd	o  	'+360	'+340	'+375/-650	320	-	-	-	-
-14.5	550 ESPN	arizona state @ texas tech	Mason Tharp	attd	o  	-	'+400	'+550/-1100	-	-	-	500	-
-15.0	240 FD	ucla @ lsu	Zavion Thomas	attd	o  	'+240	'+240	-	-	-	-	-	-
-15.0	240 MGM	georgia tech @ louisville	Jamal Haynes	team_ftd	o  	'+240	-	-	240	-	-	-	-
-15.1	290 FD	utah @ oklahoma state	Ollie Gordon	2+td	o  	'+290	-	-	280	-	-	-	-
-15.5	460 ESPN	vanderbilt @ missouri	Marquis Johnson	attd	o  	-	'+350	'+460/-850	-	-	-	450	-
-15.5	360 FD	ucla @ lsu	Caden Durham	2+td	o  	'+360	-	-	333	-	-	-	-
-15.6	550 DK	michigan state @ boston college	Antonio Gates	attd	o  	'+430	'+550	-	-	-	-	480	-
-15.8	340 FD	miami florida @ south florida	Michael Brown Stephens	attd	o  	'+340	-	-	320	-	-	-	-
-16.1	300 FD	miami ohio @ notre dame	Kris Mitchell	attd	o  	'+300	'+185	'+300/-475	-	-	-	280	-
