EV	Player	Prop	Team	FD	DK	Bet365	MGM	Kambi	CZ	BR
8.0	jacolby george	attd	texas a&m @ miami florida	150	150	-	170	-	-	-
7.9	will pauling	attd	wisconsin @ washington state	130	145	-	120	-	-	-
7.8	money parks	attd	utah @ baylor	185	205	-	185	-	-	-
7.8	michael harrison	attd	nebraska @ colorado	-	245	-	-	-	-	-
7.7	texas defense	attd	texas @ alabama	550	600	-	-	-	-	-
7.7	stefan cobbs	attd	ucf @ boise state	160	180	-	-	-	-	-
7.7	jaziun patterson	attd	iowa @ iowa state	-	550	-	600	-	-	-
7.7	gabe burkle	attd	iowa @ iowa state	550	600	-	500	-	-	-
7.7	brian hightower	attd	auburn @ california	320	295	-	275	-	-	-
7.5	anthony hankerson	attd	nebraska @ colorado	230	200	-	190	-	-	-
7.4	noah thomas	attd	texas a&m @ miami florida	145	160	-	140	-	-	-
7.2	cj dippre	attd	texas @ alabama	270	265	-	200	-	-	-
7.1	stanford defense	attd	stanford @ usc	650	600	-	-	-	-	-
7.1	riley williams	attd	texas a&m @ miami florida	-	1300	-	1400	-	-	-
7.1	daniel jackson	attd	iowa @ iowa state	-	1300	-	1400	-	-	-
7.1	cam mccormick	attd	texas a&m @ miami florida	650	650	-	550	-	-	-
7.0	mason tharp	attd	oregon @ texas tech	210	235	-	220	-	-	-
7.0	lincoln victor	attd	wisconsin @ washington state	140	150	-	160	-	-	-
7.0	jaylin noel	attd	iowa @ iowa state	250	265	-	280	-	-	-
6.9	nate noel	attd	appalachian state @ north carolina	-140	-120	-	-	-	-	-
6.9	bryson green	attd	wisconsin @ washington state	160	180	-	165	-	-	-
6.8	traeshon holden	attd	oregon @ texas tech	230	260	-	250	-	-	-
6.8	tj harden	attd	ucla @ san diego state	120	135	-	120	-	-	-
6.8	jj jones	attd	appalachian state @ north carolina	270	295	-	-	-	-	-
6.7	xavier restrepo	attd	texas a&m @ miami florida	125	125	-	140	-	-	-
6.7	omarion miller	attd	nebraska @ colorado	-	700	-	650	-	-	-
6.7	myles montgomery	attd	cincinnati @ pittsburgh	380	-	-	-	-	-	-
6.7	jordan brown	attd	oregon @ texas tech	-	650	-	700	-	-	-
6.7	eli wilson	attd	appalachian state @ north carolina	350	380	-	-	-	-	-
6.7	doug brumfield	attd	unlv @ michigan	650	-	-	650	-	-	-
6.7	caleb fauria	attd	nebraska @ colorado	-	700	-	650	-	-	-
6.7	ashton daniels	attd	stanford @ usc	190	220	-	220	-	-	-
6.5	roydell williams	attd	texas @ alabama	220	230	-	190	-	-	-
6.5	elijhah badger	attd	oklahoma state @ arizona state	-120	-105	-	-120	-	-	-
6.4	quinn ewers	attd	texas @ alabama	370	400	-	390	-	-	-
6.4	mario williams	attd	stanford @ usc	-240	-185	-	-190	-	-	-
6.4	jaydn ott	attd	auburn @ california	-115	-115	-	-165	-	-	-
6.3	micah bernard	attd	utah @ baylor	-250	-205	-	-250	-	-	-
6.2	kevin concepcion	attd	notre dame @ nc state	240	240	-	200	-	-	-
6.2	bryce farrell	attd	stanford @ usc	-	220	-	240	-	-	-
6.2	addison ostrenga	attd	iowa @ iowa state	-	1600	-	1500	-	-	-
6.1	evan stewart	attd	texas a&m @ miami florida	-110	-120	-	-130	-	-	-
6.0	hal presley	attd	utah @ baylor	340	280	-	340	-	-	-
6.0	eli sanders	attd	iowa @ iowa state	350	370	-	375	-	-	-
5.9	jordan james	attd	oregon @ texas tech	105	115	-	105	-	-	-
5.9	jordan houston	attd	notre dame @ nc state	170	160	-	150	-	-	-
5.9	jam griffin	attd	mississippi @ tulane	-	800	-	750	-	-	-
5.9	dontae fleming	attd	mississippi @ tulane	155	170	-	160	-	-	-
5.9	david bailey	attd	texas a&m @ miami florida	-	800	-	750	-	-	-
5.9	bralon brown	attd	mississippi @ tulane	-	800	-	750	-	-	-
5.8	tanner mclachlan	attd	arizona @ mississippi state	440	-	-	450	-	-	-
5.8	kaleb johnson	attd	iowa @ iowa state	110	120	-	105	-	-	-
5.7	british brooks	attd	appalachian state @ north carolina	-190	-225	-	-	-	-	-
5.7	amari daniels	attd	texas a&m @ miami florida	100	-110	-	-115	-	-	-
5.6	riley nowakowski	attd	wisconsin @ washington state	-	1700	-	1800	-	-	-
5.6	mycah pittman	attd	utah @ baylor	480	500	-	475	-	-	-
5.6	cooper dejean	attd	iowa @ iowa state	-	850	-	800	-	-	-
5.6	ainias smith	attd	texas a&m @ miami florida	160	185	-	180	-	-	-
5.5	shedro louis	attd	mississippi @ tulane	170	190	-	185	-	-	-
5.4	jordan whittington	attd	texas @ alabama	340	340	-	300	-	-	-
5.4	anthony grant	attd	nebraska @ colorado	210	230	-	220	-	-	-
5.3	vinny anthony	attd	wisconsin @ washington state	-	1900	-	1800	-	-	-
5.3	iverson celestine	attd	mississippi @ tulane	230	255	-	250	-	-	-
5.3	gavin blackwell	attd	appalachian state @ north carolina	-135	-120	-	-	-	-	-
5.3	donavyn lester	attd	unlv @ michigan	490	-	-	500	-	-	-
5.3	alex bauman	attd	mississippi @ tulane	300	290	-	250	-	-	-
5.3	alabama defense	attd	texas @ alabama	470	500	-	-	-	-	-
5.2	josh kelly	attd	wisconsin @ washington state	150	165	-	155	-	-	-
5.0	tyler harrell	attd	texas a&m @ miami florida	-	900	-	950	-	-	-
5.0	phat watts	attd	mississippi @ tulane	-	1900	-	2000	-	-	-
5.0	oregon defense	attd	oregon @ texas tech	400	425	-	-	-	-	-
5.0	jayden higgins	attd	iowa @ iowa state	250	265	-	280	-	-	-
5.0	eric mcalister	attd	ucf @ boise state	100	110	-	-	-	-	-
5.0	dt sheffield	attd	wisconsin @ washington state	290	320	-	320	-	-	-
5.0	donovan ollie	attd	cincinnati @ pittsburgh	320	-	-	-	-	-	-
5.0	chris carter	attd	mississippi @ tulane	-	1900	-	2000	-	-	-
5.0	cayden lee	attd	mississippi @ tulane	-	425	-	400	-	-	-
5.0	camron valdez	attd	oregon @ texas tech	160	175	-	165	-	-	-
5.0	caden prieskorn	attd	mississippi @ tulane	-	400	-	425	-	-	-
5.0	audric estime	attd	notre dame @ nc state	-230	-205	-	-250	-	-	-
5.0	aaron turner	attd	cincinnati @ pittsburgh	320	-	-	-	-	-	-
4.9	texas tech defense	attd	oregon @ texas tech	330	310	-	-	-	-	-
4.9	nico ragaini	attd	iowa @ iowa state	310	330	-	320	-	-	-
4.9	dashaun davis	attd	appalachian state @ north carolina	310	330	-	-	-	-	-
4.8	xavier weaver	attd	nebraska @ colorado	-105	100	-	-115	-	-	-
4.8	xavier townsend	attd	ucf @ boise state	-110	100	-	-	-	-	-
4.8	luke lachey	attd	iowa @ iowa state	175	185	-	160	-	-	-
4.8	john rhys plumlee	attd	ucf @ boise state	-110	100	-	-	-	-	-
4.8	jj sparkman	attd	oregon @ texas tech	-	1000	-	950	-	-	-
4.7	makhi hughes	attd	mississippi @ tulane	170	190	-	190	-	-	-
4.7	jeff sims	attd	nebraska @ colorado	-150	-125	-	-125	-	-	-
4.7	chimere dike	attd	wisconsin @ washington state	115	125	-	120	-	-	-
4.6	dorian singer	attd	stanford @ usc	-320	-250	-	-250	-	-	-
4.5	usc defense	attd	stanford @ usc	250	235	-	-	-	-	-
4.5	rocco becht	attd	iowa @ iowa state	450	475	-	450	-	-	-
4.4	drake maye	attd	appalachian state @ north carolina	-115	-105	-	-	-	-	-
4.3	trond grizzell	attd	auburn @ california	-	500	-	475	-	-	-
4.3	seth anderson	attd	iowa @ iowa state	340	-	-	320	-	-	-
4.3	monaray baldwin	attd	utah @ baylor	390	370	-	390	-	-	-
4.3	matt jones	attd	mississippi @ tulane	-	265	-	250	-	-	-
4.3	maquel haywood	attd	appalachian state @ north carolina	360	380	-	-	-	-	-
4.3	kyirin heath	attd	mississippi @ tulane	340	320	-	320	-	-	-
4.3	jhaquan jackson	attd	mississippi @ tulane	-175	-160	-	-165	-	-	-
4.3	decarlos brooks	attd	oklahoma state @ arizona state	175	190	-	180	-	-	-
4.2	darrian anderson	attd	oregon @ texas tech	-	380	-	400	-	-	-
4.2	adonai mitchell	attd	texas @ alabama	140	140	-	150	-	-	-
4.1	gabe ervin	attd	nebraska @ colorado	-190	-165	-	-165	-	-	-
4.0	vincent davis	attd	unlv @ michigan	1200	-	-	1200	-	-	-
4.0	shedeur sanders	attd	nebraska @ colorado	230	240	-	220	-	-	-
4.0	noah whittington	attd	oregon @ texas tech	105	110	-	100	-	-	-
4.0	mitchell evans	attd	notre dame @ nc state	210	215	-	195	-	-	-
4.0	devaughn vele	attd	utah @ baylor	150	160	-	150	-	-	-
4.0	colbie young	attd	texas a&m @ miami florida	105	110	-	100	-	-	-
3.9	jalin conyers	attd	oklahoma state @ arizona state	280	295	-	280	-	-	-
3.8	courtney reese	attd	unlv @ michigan	480	-	-	475	-	-	-
3.8	chris brazzell	attd	mississippi @ tulane	155	170	-	165	-	-	-
3.8	bo nix	attd	oregon @ texas tech	-170	-160	-	-165	-	-	-
3.7	nakia watson	attd	wisconsin @ washington state	-210	-195	-	-200	-	-	-
