PLAYER	ECR / ADP	REC	REC_YD	REC_TD	POINTS
*Braxton Berrios	 / 	25.7	289.9	1.5	37.99
*Jauan Jennings	 / 	24.1	282.1	1.6	37.81
*Robbie Chosen	 / 	23.7	270.9	1.6	36.69
*Russell Gage	 / 	33.5	287.0	1.1	35.3
*Olamide Zaccheaus	 / 	20.6	249.9	1.6	34.59
*Anthony Miller	 / 	21.7	285.1	0.9	33.91
*Trent Sherfield	 / 	19.5	257.8	1.3	33.58
*Demarcus Robinson	 / 	22.8	250.9	1.4	33.49
*Dyami Brown	 / 	13.3	214.8	1.7	31.68
*Puka Nacua	 / 	18.3	242.1	1.1	30.81
*Xavier Hutchinson	 / 	0.0	297.8	0.1	30.38
*Jamal Agnew	 / 	21.9	210.2	1.5	30.02
*Laviska Shenault	 / 	19.0	219.1	1.3	29.71
*Nelson Agholor	 / 	13.1	219.0	1.1	28.5
*Marquez Callaway	 / 	17.4	210.4	1.2	28.24
*Chris Moore	 / 	17.6	197.4	1.3	27.54
*Charlie Jones	 / 	15.2	200.9	1.0	26.09
*Demario Douglas	 / 	21.7	217.5	0.6	25.35
*Kyle Philips	 / 	14.2	210.7	0.7	25.27
*Marquise Goodwin	 / 	12.4	177.8	1.2	24.98
*Devin Duvernay	 / 	14.1	189.4	0.9	24.34
*Cedrick Wilson	 / 	16.5	186.6	0.9	24.06
*Cade Johnson	 / 	14.6	168.0	1.1	23.4
*David Moore	 / 	16.8	172.0	0.9	22.6
*Dontayvion Wicks	 / 	17.6	173.2	0.8	22.12
*Trenton Irwin	 / 	15.7	164.8	0.9	21.88
*Deven Thompkins	 / 	16.7	169.6	0.8	21.76
*Justin Watson	 / 	11.4	162.4	0.9	21.64
*Khadarel Hodge	 / 	14.2	160.6	0.9	21.46
*Tyler Scott	 / 	0.0	213.7	0.0	21.37
*Trequan Smith	 / 	14.5	157.6	0.9	21.16
*Kayshon Boutte	 / 	1.4	199.1	0.2	21.11
*Zach Pascal	 / 	15.5	160.1	0.8	20.81
*Deonte Harty	 / 	11.6	169.6	0.6	20.56
*At Perry	 / 	7.0	181.1	0.4	20.51
*Calvin Austin	 / 	12.8	151.5	0.8	19.95
*Samori Toure	 / 	12.4	143.8	0.9	19.78
*Deandre Carter	 / 	12.8	143.4	0.9	19.74
*Justyn Ross	 / 	8.8	146.2	0.8	19.42
*Jalen Guyton	 / 	10.3	147.1	0.6	18.31
*Parker Washington	 / 	14.0	144.0	0.6	18.0
*David Bell	 / 	8.5	161.1	0.3	17.91
*Tre Nixon	 / 	8.6	126.9	0.8	17.49
*Jalen Tolbert	 / 	7.2	126.4	0.5	15.64
*Equanimeous St Brown	 / 	8.7	116.2	0.6	15.22
*Jalen Nailor	 / 	10.0	105.8	0.7	14.78
*Jason Brownlee	 / 	8.4	96.4	0.7	13.84
*Kendall Hinton	 / 	9.5	107.0	0.5	13.7
*Britain Covey	 / 	7.2	99.3	0.6	13.53
*Brandon Powell	 / 	12.0	102.7	0.5	13.27
*Jamison Crowder	 / 	3.4	119.4	0.1	12.54
*Steven Sims	 / 	7.1	92.8	0.5	12.28
*Shi Smith	 / 	7.3	94.2	0.4	11.82
*Cole Beasley	 / 	8.0	88.1	0.5	11.81
*Phillip Dorsett	 / 	8.9	87.2	0.5	11.72
*Derius Davis	 / 	11.4	92.3	0.4	11.63
*Scott Miller	 / 	7.4	96.1	0.3	11.41
*Dee Eskridge	 / 	9.0	83.8	0.4	10.78
*Andrei Iosivas	 / 	0.0	105.5	0.0	10.55
*Keith Kirkwood	 / 	8.3	85.2	0.3	10.32
*Byron Pringle	 / 	7.4	83.2	0.3	10.12
*Justin Shorter	 / 	7.3	83.0	0.3	10.1
*Velus Jones	 / 	5.1	79.5	0.3	9.75
*Tre Tucker	 / 	5.7	77.4	0.3	9.54
*Kaylon Geiger Sr	 / 	5.2	66.5	0.4	9.05
*Ashton Dulin	 / 	4.5	67.2	0.3	8.52
*River Cracraft	 / 	4.6	65.2	0.3	8.32
*Cody Thompson	 / 	4.2	63.8	0.3	8.18
*Trinity Benson	 / 	4.2	55.2	0.4	7.92
*Dareke Young	 / 	6.7	59.6	0.3	7.76
*Erik Ezukanma	 / 	5.3	59.3	0.3	7.73
*Darrius Shepherd	 / 	4.2	57.2	0.3	7.52
*Rakim Jarrett	 / 	4.9	57.0	0.3	7.5
*Kevin Austin	 / 	4.3	53.9	0.3	7.19
*Gunner Olszewski	 / 	3.7	51.2	0.3	6.92
*Kavontae Turpin	 / 	5.5	50.8	0.3	6.88
*Tim Jones	 / 	3.8	50.0	0.3	6.8
*Matthew Slater	 / 	2.3	55.5	0.2	6.75
*Jalen Virgil	 / 	3.8	48.7	0.3	6.67
*Maurice Alexander	 / 	3.6	48.4	0.3	6.64
*Seth Williams	 / 	3.7	47.5	0.3	6.55
*Danny Gray	 / 	3.1	52.9	0.2	6.49
*Jacob Harris	 / 	3.7	46.6	0.3	6.46
*Jakeem Grant Sr	 / 	4.8	51.5	0.2	6.35
*Isaiah Coulter	 / 	3.7	44.7	0.3	6.27
*Bo Melton	 / 	3.7	44.5	0.3	6.25
*Jason Moore	 / 	3.9	50.4	0.2	6.24
*Dezmon Patmon	 / 	3.7	44.2	0.3	6.22
*Simi Fehoko	 / 	3.6	43.1	0.3	6.11
*Cody Chrest	 / 	3.4	43.1	0.3	6.11
*Stanley Morgan	 / 	3.8	42.9	0.3	6.09
*Dennis Houston	 / 	3.5	42.8	0.3	6.08
*Jalen Reagor	 / 	4.0	48.3	0.2	6.03
*Easop Winston	 / 	3.7	48.2	0.2	6.02
*Keesean Johnson	 / 	3.6	41.2	0.3	5.92
*Dax Milne	 / 	4.0	46.7	0.2	5.87
*Alex Erickson	 / 	3.4	46.6	0.2	5.86
*Ronnie Bell	 / 	3.4	46.3	0.2	5.83
*Andre Baccellia	 / 	3.6	46.2	0.2	5.82
*Jaelon Darden	 / 	2.3	44.1	0.2	5.61
*Ray Ray Mccloud	 / 	3.4	43.4	0.2	5.54
*Lance Mccutcheon	 / 	2.2	42.7	0.2	5.47
*Austin Trammell	 / 	3.3	42.5	0.2	5.45
*Andy Isabella	 / 	2.5	42.4	0.2	5.44
*Montrell Washington	 / 	3.2	41.8	0.2	5.38
*Keelan Doss	 / 	2.4	40.2	0.2	5.22
*Cj Saunders	 / 	3.4	40.1	0.2	5.21
*Kawaan Baker	 / 	3.3	40.1	0.2	5.21
*Brandon Johnson	 / 	3.1	39.8	0.2	5.18
*Keke Coutee	 / 	3.4	39.0	0.2	5.1
*Dez Fitzpatrick	 / 	3.2	38.9	0.2	5.09
*Cam Sims	 / 	3.4	44.8	0.1	5.08
*Keelan Cole Sr	 / 	3.3	38.8	0.2	5.08
*Michael Woods	 / 	3.1	38.7	0.2	5.07
*Anthony Schwartz	 / 	3.0	38.5	0.2	5.05
*Mason Kinsey	 / 	3.1	38.4	0.2	5.04
*David Sills V	 / 	3.3	37.4	0.2	4.94
*Vyncint Smith	 / 	2.8	35.0	0.2	4.7
*Chris Conley	 / 	3.0	34.8	0.2	4.68
*Jalen Brooks	 / 	0.0	46.6	0.0	4.66
*Bryce Ford Wheaton	 / 	0.0	46.6	0.0	4.66
*Tylan Wallace	 / 	3.0	39.9	0.1	4.59
*James Proche	 / 	1.8	39.1	0.1	4.51
*Trent Taylor	 / 	2.3	32.2	0.2	4.42
*Josh Ali	 / 	2.8	32.2	0.2	4.42
*Greg Ward	 / 	2.5	30.2	0.2	4.22
*Daurice Fountain	 / 	2.5	29.2	0.2	4.12
*Nsimba Webster	 / 	2.5	29.0	0.2	4.1
*Mike Strachan	 / 	2.8	34.4	0.1	4.04
*Jalen Camp	 / 	2.1	32.4	0.1	3.84
*Racey Mcmath	 / 	1.8	30.4	0.1	3.64
*Miles Boykin	 / 	1.6	28.4	0.1	3.44
*Breshad Perriman	 / 	0.9	14.7	0.1	2.07
*Reggie Roberson	 / 	0.5	6.3	0.1	1.23
