Player	AVG	draftkings	fanduel	caesars	bet365	kambi	mgm	fantasypros	yahoo
Kyle Philips	0.7	-	-	-	-	-	-	0.7	-
Amari Rodgers	0.7	-	-	-	-	-	-	0.7	-
Brandon Johnson	0.7	-	-	-	-	-	-	0.7	-
Jalen Nailor	0.7	-	-	-	-	-	-	0.7	-
Elijah Higgins	0.7	-	-	-	-	-	-	0.7	-
Jalen Tolbert	0.6	-	-	-	-	-	-	0.6	-
Equanimeous St Brown	0.6	-	-	-	-	-	-	0.6	-
Jason Brownlee	0.6	-	-	-	-	-	-	0.6	-
River Cracraft	0.6	-	-	-	-	-	-	0.6	-
Malik Heath	0.6	-	-	-	-	-	-	0.6	-
Ronnie Bell	0.6	-	-	-	-	-	-	0.6	-
Lawrence Cager	0.6	-	-	-	-	-	-	1.1	0
Brandon Powell	0.5	-	-	-	-	-	-	0.5	-
Tre Tucker	0.5	-	-	-	-	-	-	0.5	-
Derius Davis	0.5	-	-	-	-	-	-	0.5	-
Byron Pringle	0.5	-	-	-	-	-	-	0.4	0.5
Erik Ezukanma	0.5	-	-	-	-	-	-	0.5	-
Phillip Dorsett	0.5	-	-	-	-	-	-	0.5	-
David Bell	0.4	-	-	-	-	-	-	0.4	-
Velus Jones	0.4	-	-	-	-	-	-	0.4	-
Parker Washington	0.4	-	-	-	-	-	-	0.4	-
Dee Eskridge	0.4	-	-	-	-	-	-	0.4	-
Keith Kirkwood	0.4	-	-	-	-	-	-	0.4	-
Dareke Young	0.4	-	-	-	-	-	-	0.4	-
Kavontae Turpin	0.4	-	-	-	-	-	-	0.4	-
Maurice Alexander	0.4	-	-	-	-	-	-	0.4	-
At Perry	0.3	-	-	-	-	-	-	0.3	-
Scott Miller	0.3	-	-	-	-	-	-	0.3	-
Ray Ray Mccloud	0.3	-	-	-	-	-	-	0.3	-
Ashton Dulin	0.3	-	-	-	-	-	-	0.3	-
Cody Thompson	0.3	-	-	-	-	-	-	0.3	-
Antoine Green	0.3	-	-	-	-	-	-	0.3	-
Easop Winston	0.3	-	-	-	-	-	-	0.3	-
Steven Sims	0.2	-	-	-	-	-	-	0.2	-
Gunner Olszewski	0.2	-	-	-	-	-	-	0.2	-
Ihmir Smith Marsette	0.2	-	-	-	-	-	-	0.2	-
Dax Milne	0.2	-	-	-	-	-	-	0.2	-
Jalen Reagor	0.2	-	-	-	-	-	-	0.2	-
Matthew Slater	0.2	-	-	-	-	-	-	0.2	-
Tim Jones	0.2	-	-	-	-	-	-	0.2	-
Josh Ali	0.2	-	-	-	-	-	-	0.2	-
Cole Beasley	0.2	-	-	-	-	-	-	0.2	-
Lance Mccutcheon	0.2	-	-	-	-	-	-	0.2	-
Michael Woods	0.2	-	-	-	-	-	-	0.2	-
Alex Bachman	0.2	-	-	-	-	-	-	0.2	-
Seth Williams	0.2	-	-	-	-	-	-	0.2	-
Greg Ward	0.2	-	-	-	-	-	-	0.2	-
Xavier Hutchinson	0.1	-	-	-	-	-	-	0.1	-
Montrell Washington	0.1	-	-	-	-	-	-	0.1	-
Miles Boykin	0.1	-	-	-	-	-	-	0.1	-
Danny Gray	0.1	-	-	-	-	-	-	0.1	-
Andy Isabella	0.1	-	-	-	-	-	-	0.1	-
Stanley Morgan	0.1	-	-	-	-	-	-	0.1	-
Tylan Wallace	0.1	-	-	-	-	-	-	0.1	-
Trent Taylor	0.1	-	-	-	-	-	-	0.1	-
Joseph Ngata	0.1	-	-	-	-	-	-	0.1	-
Bo Melton	0.1	-	-	-	-	-	-	0.1	-
Colton Dowell	0.1	-	-	-	-	-	-	0.1	-
Jaelon Darden	0.1	-	-	-	-	-	-	0.1	-
Tyler Scott	0.0	-	-	-	-	-	-	0.0	-
Andrei Iosivas	0.0	-	-	-	-	-	-	0.0	-
Justin Shorter	0.0	-	-	-	-	-	-	0.0	-
Jalen Guyton	0.0	-	-	-	-	-	-	0.0	-
Jake Bobo	0.0	-	-	-	-	-	-	0.0	-
Chris Conley	0.0	-	-	-	-	-	-	0.0	-
Irvin Charles	0.0	-	-	-	-	-	-	0.0	-
Daniel Arias	0.0	-	-	-	-	-	-	0.0	-
Xavier Gipson	0.0	-	-	-	-	-	-	0.0	-
Mitchell Tinsley	0.0	-	-	-	-	-	-	0.0	-
Kearis Jackson	0.0	-	-	-	-	-	-	0.0	-
Elijah Cooks	0.0	-	-	-	-	-	-	0.0	-
Tanner Conner	0.0	-	-	-	-	-	-	0.0	-
Mike Strachan	0.0	-	-	-	-	-	-	0.0	-
Kristian Wilkerson	0.0	-	-	-	-	-	-	0.0	-
Andre Baccellia	0.0	-	-	-	-	-	-	0.0	-
Dj Montgomery	0.0	-	-	-	-	-	-	0.0	-
David Moore	0.0	-	-	-	-	-	-	0.0	-
Penny Hart	0.0	-	-	-	-	-	-	0.0	-
Jalen Brooks	0.0	-	-	-	-	-	-	0.0	-
Quintez Cephus	0.0	-	-	-	-	-	-	0.0	0
Racey Mcmath	0.0	-	-	-	-	-	-	0.0	-
Liljordan Humphrey	0.0	-	-	-	-	-	-	0.0	-
Laquon Treadwell	0.0	-	-	-	-	-	-	0.0	-
Alex Erickson	0.0	-	-	-	-	-	-	0.0	-
Austin Watkins	0.0	-	-	-	-	-	-	0.0	-
