Player	AVG	draftkings	fanduel	caesars	bet365	fantasypros	yahoo
Darrius Shepherd	0	-	-	-	-	55.4	-
Byron Pringle	0	-	-	-	-	63.9	96.8
Kevin Austin	0	-	-	-	-	53.9	-
Gunner Olszewski	0	-	-	-	-	39.5	-
Jalen Virgil	0	-	-	-	-	54.0	-
Maurice Alexander	0	-	-	-	-	48.3	-
Matthew Slater	0	-	-	-	-	53.9	-
Trinity Benson	0	-	-	-	-	46.8	-
Joe Reed	0	-	-	-	-	45.4	-
Dezmon Patmon	0	-	-	-	-	44.0	-
Isaiah Coulter	0	-	-	-	-	44.4	-
Simi Fehoko	0	-	-	-	-	42.4	-
Andy Isabella	0	-	-	-	-	40.9	-
Dennis Houston	0	-	-	-	-	42.1	-
Cody Chrest	0	-	-	-	-	43.1	-
Stanley Morgan	0	-	-	-	-	42.9	-
River Cracraft	0	-	-	-	-	47.2	-
Seth Williams	0	-	-	-	-	47.0	-
Easop Winston	0	-	-	-	-	46.0	-
Jacob Harris	0	-	-	-	-	46.1	-
Bryce Ford Wheaton	0	-	-	-	-	58.4	-
Keesean Johnson	0	-	-	-	-	41.0	-
Jaelon Darden	0	-	-	-	-	43.9	-
Brandon Johnson	0	-	-	-	-	42.3	-
Bo Melton	0	-	-	-	-	37.3	-
Austin Trammell	0	-	-	-	-	42.0	-
Danny Gray	0	-	-	-	-	46.7	-
Trent Taylor	0	-	-	-	-	32.2	-
Cj Saunders	0	-	-	-	-	40.1	-
Dax Milne	0	-	-	-	-	38.0	-
Cam Sims	0	-	-	-	-	44.8	-
Dez Fitzpatrick	0	-	-	-	-	39.8	-
Cody White	0	-	-	-	-	39.4	-
Keke Coutee	0	-	-	-	-	39.0	-
Keelan Cole Sr	0	-	-	-	-	38.8	-
Mason Kinsey	0	-	-	-	-	38.5	-
Michael Woods	0	-	-	-	-	38.2	-
Racey Mcmath	0	-	-	-	-	37.8	-
Derius Davis	0	-	-	-	-	46.6	-
Malik Turner	0	-	-	-	-	37.1	-
Nkeal Harry	0	-	-	-	-	46.1	-
Tim Jones	0	-	-	-	-	36.2	-
Tylan Wallace	0	-	-	-	-	39.8	-
Mike Strachan	0	-	-	-	-	35.6	-
Vyncint Smith	0	-	-	-	-	35.6	-
Chris Conley	0	-	-	-	-	34.9	-
Jalen Camp	0	-	-	-	-	32.4	-
Frank Darby	0	-	-	-	-	35.0	-
James Proche	0	-	-	-	-	37.0	-
Erik Ezukanma	0	-	-	-	-	38.0	-
Josh Ali	0	-	-	-	-	32.7	-
Greg Ward	0	-	-	-	-	32.2	-
Keith Kirkwood	0	-	-	-	-	30.2	-
Daurice Fountain	0	-	-	-	-	28.7	-
Nsimba Webster	0	-	-	-	-	28.5	-
James Washington	0	-	-	-	-	29.2	-
Anthony Schwartz	0	-	-	-	-	27.6	-
Kendric Pryor	0	-	-	-	-	34.9	-
Miles Boykin	0	-	-	-	-	28.8	-
Ty Scott	0	-	-	-	-	22.2	-
Alex Erickson	0	-	-	-	-	24.9	-
Kawaan Baker	0	-	-	-	-	20.0	-
David Sills V	0	-	-	-	-	22.4	-
Breshad Perriman	0	-	-	-	-	16.3	-
Jason Brownlee	0	-	-	-	-	9.7	-
Rakim Jarrett	0	-	-	-	-	7.7	-
Taylor Grimes	0	-	-	-	-	4.8	-
Chigoziem Okonkwo	0	-	-	-	-	582.7	551
Greg Dulcich	0	-	-	-	-	601.3	590
Gerald Everett	0	-	-	-	-	535.9	539
Juwan Johnson	0	-	-	-	-	479.9	395
Dalton Kincaid	0	-	-	-	-	491.2	482
Cole Kmet	0	-	-	-	-	455.1	583
Hunter Henry	0	-	-	-	-	494.4	436
Irv Smith	0	-	-	-	-	415.4	428
Sam Laporta	0	-	-	-	-	449.0	534
Noah Fant	0	-	-	-	-	466.9	480
Taysom Hill	0	-	-	-	-	214.7	49.2
Hayden Hurst	0	-	-	-	-	440.8	525
Jelani Woods	0	-	-	-	-	425.6	276
Tyler Conklin	0	-	-	-	-	423.5	383
Cade Otton	0	-	-	-	-	438.9	429
Zach Ertz	0	-	-	-	-	421.3	439
Michael Mayer	0	-	-	-	-	386.0	516
Mike Gesicki	0	-	-	-	-	393.1	434
Logan Thomas	0	-	-	-	-	413.6	145
Trey Mcbride	0	-	-	-	-	399.4	440
Isaiah Likely	0	-	-	-	-	307.1	408
Luke Musgrave	0	-	-	-	-	313.5	328
Jake Ferguson	0	-	-	-	-	290.3	350
Austin Hooper	0	-	-	-	-	303.4	272
Luke Schoonmaker	0	-	-	-	-	276.0	260
Robert Tonyan	0	-	-	-	-	239.7	214
Donald Parham	0	-	-	-	-	215.1	208
Brock Wright	0	-	-	-	-	179.8	210
Jonnu Smith	0	-	-	-	-	215.1	155
Noah Gray	0	-	-	-	-	224.9	235
Will Dissly	0	-	-	-	-	218.6	150
Jordan Akins	0	-	-	-	-	217.9	205
Cj Uzomah	0	-	-	-	-	199.0	242
Foster Moreau	0	-	-	-	-	229.7	282
Josiah Deguara	0	-	-	-	-	204.3	177
Durham Smythe	0	-	-	-	-	207.7	189
Kylen Granson	0	-	-	-	-	212.3	198
Jimmy Graham	0	-	-	-	-	189.6	0
Brenton Strange	0	-	-	-	-	193.4	-
Tommy Tremble	0	-	-	-	-	156.1	225
Darnell Washington	0	-	-	-	-	194.8	282
Harrison Bryant	0	-	-	-	-	184.9	197
Brevin Jordan	0	-	-	-	-	196.3	146
Albert Okwuegbunam	0	-	-	-	-	172.2	245
Colby Parkinson	0	-	-	-	-	177.5	145
Tucker Kraft	0	-	-	-	-	168.2	232
Josh Oliver	0	-	-	-	-	151.6	150
