PLAYER	REC	REC_YD	REC_TD
Erik Ezukanma	3.6	42.2	0.2
Quintez Cephus	0.0	42.0	0.0
Pharaoh Brown	1.9	41.1	0.1
Keesean Johnson	3.6	41.0	0.3
Andy Isabella	2.5	40.9	0.2
Cj Saunders	3.4	40.1	0.2
Dez Fitzpatrick	3.3	39.9	0.2
Tylan Wallace	3.0	39.8	0.1
Gunner Olszewski	2.3	39.6	0.2
Cody White	3.3	39.5	0.2
Keke Coutee	3.4	39.0	0.2
Keelan Cole Sr	3.3	38.9	0.2
Cam Sims	3.4	38.7	0.1
Mason Kinsey	3.1	38.5	0.2
Dominique Dafney	3.7	38.3	0.3
Michael Woods	3.1	38.2	0.2
Kavontae Turpin	3.6	38.0	0.2
Racey Mcmath	3.0	37.8	0.2
Tanner Conner	4.0	37.8	0.3
Tyler Mabry	3.3	36.4	0.3
Anthony Firkser	3.9	36.4	0.2
Anthony Schwartz	3.0	36.3	0.1
Tim Jones	2.5	36.3	0.2
Dax Milne	3.3	36.2	0.2
Chris Conley	3.0	35.8	0.2
Malik Turner	2.9	35.5	0.2
Mason Schreck	3.6	35.2	0.2
Dalton Keene	3.6	35.1	0.2
Frank Darby	1.8	35.0	0.2
Tyree Jackson	0.0	35.0	0.3
Kendric Pryor	0.0	34.9	0.0
Nkeal Harry	0.0	34.5	0.0
Vyncint Smith	2.8	34.0	0.2
Josh Ali	2.8	32.7	0.2
Trent Taylor	2.3	32.2	0.2
Noah Togiai	3.0	32.0	0.2
Sean Mckeon	2.4	31.9	0.3
Dareke Young	2.9	31.6	0.2
Austin Trammell	2.1	31.5	0.1
Charlie Woerner	3.4	30.9	0.3
Jalen Camp	2.0	30.8	0.1
David Wells	3.0	29.5	0.4
Feleipe Franks	3.1	29.4	0.2
Miles Boykin	1.6	28.9	0.1
Keith Kirkwood	2.3	28.8	0.1
Daurice Fountain	2.4	28.7	0.2
Nsimba Webster	2.4	28.5	0.2
Tyler Davis	2.5	28.3	0.3
James Washington	1.9	26.8	0.1
Jake Tonges	2.7	25.8	0.2
Alex Erickson	2.1	25.1	0.1
Ty Scott	2.0	22.2	0.2
Kawaan Baker	1.6	20.0	0.2
Nick Vannett	2.1	19.1	0.1
Matt Sokol	1.7	17.2	0.3
Breshad Perriman	1.1	16.3	0.1
Mycole Pruitt	0.0	11.0	0.3
Sammis Reyes	1.4	10.4	0.1
Jason Brownlee	0.8	9.7	0.1
Taylor Grimes	0.3	4.8	0.0
Hunter Kampmoyer	0.5	3.9	0.1
Ben Mason	0.3	2.0	0.0
Britain Covey	0.0	1.6	0.0
