Player	Prop	AVG	draftkings	fanduel	cz	bet365	kambi	mgm	fpros	yahoo
	rush_td	8.2	-	o7.5 -112/-112	o8.5 125/-155	o8.5 +110/-140	o7.5 -134/108	-	8.9	-
	rec	29.1	-	-	-	-	-	-	29.1	-
	rec_yd	225.1	-	-	-	-	-	-	225.1	-
	rec_td	1.0	-	-	-	-	-	-	1.0	-

David Montgomery
174.04 FPTS	rush_att	202.8	-	-	-	-	-	-	202.8	-
6.01 ADP	rush_yd	836.4	-	-	o800.5 -115/-115	-	-	o815.5 100/-120	893.3	-
	rush_td	9.6	-	o9.5 -104/-122	o9.5 110/-140	o9.5 +110/-140	-	o9.5 115/-140	9.8	-
	rec	22.4	-	-	-	-	-	-	22.4	-
	rec_yd	168.0	-	-	-	-	-	-	168.0	-
	rec_td	0.8	-	-	-	-	-	-	0.8	-

Aaron Jones
169.62 FPTS	rush_att	186.0	-	-	-	-	-	-	186.0	-
5.06 ADP	rush_yd	747.8	o750.5 -105/-115	o725.5 -112/-112	o700.5 -115/-115	o750.5 -110/-110	o700.5 -112/-112	o750.5 -105/-115	856.8	-
	rush_td	4.9	o5.5 +110/-135	o5.5 +112/-142	o4.5 100/-130	o4.5 -130/+100	o4.5 -112/-112	o4.5 -115/-105	5.4	-
	rec	43.3	-	-	-	-	-	-	43.3	-
	rec_yd	317.9	-	-	-	-	-	-	317.9	-
	rec_td	2.0	-	-	-	-	-	-	2.0	-

James Conner
162.97 FPTS	rush_att	201.6	-	-	-	-	-	-	201.6	-
5.10 ADP	rush_yd	782.1	-	o775.5 -112/-112	o725.5 -115/-115	o775.5 -110/-110	o750.5 -112/-112	-	883.3	-
	rush_td	6.3	-	o6.5 +102/-130	o6.5 110/-140	o6.5 +105/-135	o5.5 -130/105	-	6.7	-
	rec	32.6	-	-	-	-	-	-	32.6	-
	rec_yd	222.6	-	-	-	-	-	-	222.6	-
	rec_td	1.4	-	-	-	-	-	-	1.4	-

Rhamondre Stevenson
162.05 FPTS	rush_att	213.7	-	-	-	-	-	-	213.7	-
5.11 ADP	rush_yd	797.6	-	o775.5 -112/-112	o775.5 -115/-115	o775.5 -110/-110	o775.5 100/-124	-	885.8	-
	rush_td	4.7	-	o4.5 -146/+114	o4.5 -115/-115	o4.5 -130/+100	o4.5 -139/113	-	5.7	-
	rec	41.6	-	-	-	-	-	-	41.6	-
	rec_yd	284.9	-	-	-	-	-	-	284.9	-
	rec_td	0.8	-	-	-	-	-	-	0.8	-

Jaylen Warren
161.28 FPTS	rush_att	146.7	-	-	-	-	-	-	146.7	-
7.11 ADP	rush_yd	702.7	-	-	-	-	-	-	702.7	-
	rush_td	3.9	-	-	-	-	-	-	3.9	-
	rec	48.5	-	-	-	-	-	-	48.5	-
	rec_yd	331.6	-	-	-	-	-	-	331.6	-
	rec_td	1.7	-	-	-	-	-	-	1.7	-

Najee Harris
160.66 FPTS	rush_att	240.4	-	-	-	-	-	-	240.4	-
6.09 ADP	rush_yd	859.0	-	o850.5 -112/-112	-	o800.5 -130/+100	-	o825.5 -110/-110	959.7	-
	rush_td	5.8	-	o5.5 -130/+102	-	o5.5 -115/-105	-	o5.5 -140/115	6.7	-
	rec	29.0	-	-	-	-	-	-	29.0	-
	rec_yd	182.6	-	-	-	-	-	-	182.6	-
	rec_td	1.2	-	-	-	-	-	-	1.2	-

Dandre Swift
159.88 FPTS	rush_att	183.3	-	-	-	-	-	-	183.3	-
