Player	AVG	draftkings	fanduel	caesars	bet365	kambi	mgm	fantasypros	yahoo
Isaiah Likely	30.4	-	-	-	-	-	-	24.0	36.8
Nick Westbrook Ikhine	30.0	-	-	-	-	-	-	28.3	31.6
Jelani Woods	29.7	-	-	-	-	-	-	34.7	24.7
Isaiah Mckenzie	29.6	-	-	-	-	-	-	24.2	35.1
Terrace Marshall	29.4	-	-	-	-	-	-	24.9	33.9
Kalif Raymond	29.2	-	-	-	-	-	-	18.3	40.1
Josh Reynolds	28.6	-	-	-	-	-	-	28.7	28.6
Logan Thomas	28.6	-	-	-	-	-	-	42.6	14.7
Michael Wilson	28.1	-	-	-	-	-	-	32.9	23.4
Austin Hooper	27.9	-	-	-	-	-	-	28.2	27.7
Cedric Tillman	27.3	-	-	-	-	-	-	22.3	32.3
Sterling Shepard	27.1	-	-	-	-	-	-	28.3	25.8
Jauan Jennings	26.5	-	-	-	-	-	-	21.9	31.1
Quez Watkins	26.3	-	-	-	-	-	-	20.6	32
Tank Dell	25.0	-	-	-	-	-	-	25.0	-
Noah Brown	24.2	-	-	-	-	-	-	15.5	33
Robbie Chosen	24.1	-	-	-	-	-	-	30.3	18
Tutu Atwell	23.8	-	-	-	-	-	-	23.6	23.9
Demarcus Robinson	23.8	-	-	-	-	-	-	21.6	25.9
Luke Schoonmaker	23.5	-	-	-	-	-	-	21.0	26
Foster Moreau	23.1	-	-	-	-	-	-	16.7	29.5
Chris Moore	23.0	-	-	-	-	-	-	24.3	21.7
Noah Gray	23.0	-	-	-	-	-	-	22.2	23.8
Jamal Agnew	22.6	-	-	-	-	-	-	15.9	29.3
Trent Sherfield	22.2	-	-	-	-	-	-	15.4	29.1
Demario Douglas	21.7	-	-	-	-	-	-	21.7	-
Olamide Zaccheaus	21.4	-	-	-	-	-	-	17.7	25
Amari Rodgers	21.0	-	-	-	-	-	-	21.0	-
Cj Uzomah	20.8	-	-	-	-	-	-	18.0	23.6
Randall Cobb	20.6	-	-	-	-	-	-	17.1	24.2
Darnell Washington	20.4	-	-	-	-	-	-	13.3	27.4
Durham Smythe	20.0	-	-	-	-	-	-	20.3	19.7
Kylen Granson	19.4	-	-	-	-	-	-	18.9	19.8
Daniel Bellinger	19.2	-	-	-	-	-	-	13.5	24.9
David Moore	19.1	-	-	-	-	-	-	19.1	-
Robert Tonyan	19.1	-	-	-	-	-	-	18.4	19.8
Laviska Shenault	18.9	-	-	-	-	-	-	20.0	17.8
Tommy Tremble	18.9	-	-	-	-	-	-	15.2	22.6
Brock Wright	18.4	-	-	-	-	-	-	16.8	19.9
Josiah Deguara	18.4	-	-	-	-	-	-	20.4	16.3
Donald Parham	18.1	-	-	-	-	-	-	17.7	18.6
Harrison Bryant	18.1	-	-	-	-	-	-	17.5	18.8
Will Dissly	17.9	-	-	-	-	-	-	20.9	14.9
Jordan Akins	17.8	-	-	-	-	-	-	16.3	19.3
Tucker Kraft	17.8	-	-	-	-	-	-	14.6	21
Dontayvion Wicks	17.6	-	-	-	-	-	-	17.6	-
Mo Alie Cox	17.5	-	-	-	-	-	-	12.8	22.1
Marquez Callaway	17.4	-	-	-	-	-	-	18.6	16.1
John Bates	17.1	-	-	-	-	-	-	11.7	22.5
Jonnu Smith	17.0	-	-	-	-	-	-	19.6	14.3
Cedrick Wilson	16.5	-	-	-	-	-	-	16.5	-
Brenton Strange	16.5	-	-	-	-	-	-	20.4	12.7
Kyle Philips	16.3	-	-	-	-	-	-	16.3	-
Albert Okwuegbunam	16.3	-	-	-	-	-	-	8.8	23.8
Peyton Hendershot	15.9	-	-	-	-	-	-	9.2	22.7
Adam Trautman	15.8	-	-	-	-	-	-	18.4	13.1
Trenton Irwin	15.7	-	-	-	-	-	-	15.9	15.4
Brevin Jordan	15.5	-	-	-	-	-	-	16.0	15
Zach Pascal	15.4	-	-	-	-	-	-	15.4	-
Charlie Jones	15.2	-	-	-	-	-	-	15.2	-
Trequan Smith	15.2	-	-	-	-	-	-	8.3	22
Devin Duvernay	15.0	-	-	-	-	-	-	6.4	23.6
Josh Oliver	14.9	-	-	-	-	-	-	15.6	14.3
Jalen Guyton	14.8	-	-	-	-	-	-	10.3	19.2
Cade Johnson	14.6	-	-	-	-	-	-	14.6	-
Colby Parkinson	14.2	-	-	-	-	-	-	14.0	14.5
Brycen Hopkins	14.2	-	-	-	-	-	-	11.6	16.9
Pharaoh Brown	14.2	-	-	-	-	-	-	1.9	26.5
Parker Washington	14.0	-	-	-	-	-	-	14.0	-
Nelson Agholor	13.9	-	-	-	-	-	-	4.9	22.9
Samori Toure	13.6	-	-	-	-	-	-	15.0	12.1
Puka Nacua	13.4	-	-	-	-	-	-	15.3	11.6
Dyami Brown	13.3	-	-	-	-	-	-	13.3	-
Khadarel Hodge	13.2	-	-	-	-	-	-	13.2	-
Deandre Carter	13.2	-	-	-	-	-	-	9.0	17.5
Ian Thomas	13.1	-	-	-	-	-	-	17.0	9.1
Dan Arnold	13.1	-	-	-	-	-	-	8.3	17.9
Marquise Goodwin	12.9	-	-	-	-	-	-	12.8	12.9
Jody Fortson	12.5	-	-	-	-	-	-	6.1	18.9
Deven Thompkins	12.1	-	-	-	-	-	-	12.1	-
Kendall Hinton	12.1	-	-	-	-	-	-	8.5	15.7
Brandon Powell	12.0	-	-	-	-	-	-	12.0	-
Calvin Austin	11.8	-	-	-	-	-	-	12.0	11.6
