Player	AVG	draftkings	fanduel	cz	bet365	kambi	mgm	fpros	yahoo
Adam Trautman	17.0	-	-	-	-	-	-	17.0	-
Johnny Mundt	16.8	-	-	-	-	-	-	16.8	-
Elijah Higgins	16.3	-	-	-	-	-	-	16.3	-
Jeremy Ruckert	16.2	-	-	-	-	-	-	16.2	-
Josh Oliver	16.1	-	-	-	-	-	-	16.1	-
Brock Wright	15.7	-	-	-	-	-	-	15.7	-
Connor Heyward	15.3	-	-	-	-	-	-	15.3	-
Donald Parham	15.2	-	-	-	-	-	-	15.2	-
Brevin Jordan	14.7	-	-	-	-	-	-	14.7	-
Mo Alie Cox	13.8	-	-	-	-	-	-	13.8	-
Davis Allen	13.1	-	-	-	-	-	-	13.1	-
Jack Stoll	13.1	-	-	-	-	-	-	13.1	-
Ian Thomas	12.6	-	-	-	-	-	-	12.6	-
Foster Moreau	12.5	-	-	-	-	-	-	12.5	-
Josh Whyle	12.5	-	-	-	-	-	-	12.5	-
Will Mallory	12.3	-	-	-	-	-	-	12.3	-
Pharaoh Brown	12.0	-	-	-	-	-	-	12.0	-
Devin Culp	12.0	-	-	-	-	-	-	12.0	-
Dallin Holker	12.0	-	-	-	-	-	-	12.0	-
Tanner Mclachlan	12.0	-	-	-	-	-	-	12.0	-
Trey Knox	12.0	-	-	-	-	-	-	12.0	-
Darnell Washington	12.0	-	-	-	-	-	-	12.0	-
Aj Barner	11.9	-	-	-	-	-	-	11.9	-
Peyton Hendershot	11.6	-	-	-	-	-	-	11.6	-
Travis Vokolek	11.0	-	-	-	-	-	-	11.0	-
Luke Schoonmaker	10.8	-	-	-	-	-	-	10.8	-
Irv Smith	10.8	-	-	-	-	-	-	10.8	-
Drew Sample	10.5	-	-	-	-	-	-	10.5	-
Jordan Akins	10.4	-	-	-	-	-	-	10.4	-
Erick All	10.3	-	-	-	-	-	-	10.3	-
Tip Reiman	10.2	-	-	-	-	-	-	10.2	-
Drew Ogletree	10.1	-	-	-	-	-	-	10.1	-
Brayden Willis	10.0	-	-	-	-	-	-	10.0	-
Lamichael Pettway	10.0	-	-	-	-	-	-	10.0	-
Cade Stover	9.9	-	-	-	-	-	-	9.9	-
Stone Smartt	9.8	-	-	-	-	-	-	9.8	-
Lucas Krull	9.8	-	-	-	-	-	-	9.8	-
Brenton Strange	9.7	-	-	-	-	-	-	9.7	-
Jared Wiley	9.6	-	-	-	-	-	-	9.6	-
Cameron Latu	9.4	-	-	-	-	-	-	9.4	-
Payne Durham	9.2	-	-	-	-	-	-	9.2	-
Eric Saubert	8.5	-	-	-	-	-	-	8.5	-
John Bates	8.1	-	-	-	-	-	-	8.1	-
Charlie Woerner	8.1	-	-	-	-	-	-	8.1	-
James Mitchell	8.0	-	-	-	-	-	-	8.0	-
Harrison Bryant	7.7	-	-	-	-	-	-	7.7	-
Lawrence Cager	7.6	-	-	-	-	-	-	7.6	-
Miller Forristall	7.5	-	-	-	-	-	-	7.5	-
Luke Farrell	7.4	-	-	-	-	-	-	7.4	-
Josiah Deguara	7.1	-	-	-	-	-	-	7.1	-
Quintin Morris	7.0	-	-	-	-	-	-	7.0	-
Teagan Quitoriano	6.5	-	-	-	-	-	-	6.5	-
Ben Sims	6.5	-	-	-	-	-	-	6.5	-
Armani Rogers	6.5	-	-	-	-	-	-	6.5	-
Albert Okwuegbunam	6.4	-	-	-	-	-	-	6.4	-
Nick Vannett	6.3	-	-	-	-	-	-	6.3	-
Mycole Pruitt	6.2	-	-	-	-	-	-	6.2	-
Cj Uzomah	6.1	-	-	-	-	-	-	6.1	-
Ross Dwelley	6.0	-	-	-	-	-	-	6.0	-
Cole Turner	6.0	-	-	-	-	-	-	6.0	-
Cole Fotheringham	5.9	-	-	-	-	-	-	5.9	-
Ko Kieft	5.6	-	-	-	-	-	-	5.6	-
Hunter Long	5.4	-	-	-	-	-	-	5.4	-
Charlie Kolar	5.2	-	-	-	-	-	-	5.2	-
John Stephens	4.0	-	-	-	-	-	-	4.0	-
Kenny Yeboah	3.9	-	-	-	-	-	-	3.9	-
Grant Calcaterra	3.7	-	-	-	-	-	-	3.7	-
Mitchell Wilcox	3.4	-	-	-	-	-	-	3.4	-
Tre Mckitty	2.1	-	-	-	-	-	-	2.1	-
Jody Fortson	2.1	-	-	-	-	-	-	2.1	-
Julian Hill	2.1	-	-	-	-	-	-	2.1	-
Dalton Keene	2.0	-	-	-	-	-	-	2.0	-
Shane Zylstra	2.0	-	-	-	-	-	-	2.0	-
Tyler Davis	2.0	-	-	-	-	-	-	2.0	-
Tommy Hudson	2.0	-	-	-	-	-	-	2.0	-
Brady Russell	2.0	-	-	-	-	-	-	2.0	-
Zack Kuntz	1.9	-	-	-	-	-	-	1.9	-
Chris Manhertz	1.9	-	-	-	-	-	-	1.9	-
Eric Tomlinson	1.8	-	-	-	-	-	-	1.8	-
Zach Gentry	1.8	-	-	-	-	-	-	1.8	-
Nate Adkins	1.8	-	-	-	-	-	-	1.8	-
Rodney Williams	1.7	-	-	-	-	-	-	1.7	-
Anthony Firkser	0.2	-	-	-	-	-	-	0.2	-
