Player	AVG	draftkings	fanduel	cz	bet365	kambi	mgm	fpros	yahoo
Avery Williams	18.5	-	-	-	-	-	-	18.5	-
Nick Bawden	17.6	-	-	-	-	-	-	17.6	-
Gary Brightwell	17.5	-	-	-	-	-	-	17.5	-
Tyrion Davis Price	17.0	-	-	-	-	-	-	17.0	-
Elijah Dotson	16.6	-	-	-	-	-	-	16.6	-
Adam Prentice	14.0	-	-	-	-	-	-	14.0	-
Patrick Taylor	13.5	-	-	-	-	-	-	13.5	-
Patrick Ricard	10.9	-	-	-	-	-	-	10.9	-
John Kelly	9.9	-	-	-	-	-	-	9.9	-
Andrew Beck	9.5	-	-	-	-	-	-	9.5	-
Jermar Jefferson	9.5	-	-	-	-	-	-	9.5	-
Jake Funk	9.4	-	-	-	-	-	-	9.4	-
Zonovan Knight	9.3	-	-	-	-	-	-	9.3	-
Khari Blasingame	9.3	-	-	-	-	-	-	9.3	-
Snoop Conner	9.2	-	-	-	-	-	-	9.2	-
Jj Taylor	8.8	-	-	-	-	-	-	8.8	-
Jakob Johnson	8.8	-	-	-	-	-	-	8.8	-
Cj Ham	8.6	-	-	-	-	-	-	8.6	-
Alec Ingold	4.4	-	-	-	-	-	-	4.4	-
Reggie Gilliam	0.0	-	-	-	-	-	-	0.0	-
Tucker Fisk	0.0	-	-	-	-	-	-	0.0	-
Mike Boone	0.0	-	-	-	-	-	-	0.0	-
