Player	AVG	draftkings	fanduel	caesars	bet365	kambi	mgm	fantasypros	yahoo
Jalen Nailor	10.0	-	-	-	-	-	-	10.0	-
Dee Eskridge	9.0	-	-	-	-	-	-	9.0	-
Phillip Dorsett	8.9	-	-	-	-	-	-	8.9	-
Justyn Ross	8.8	-	-	-	-	-	-	8.5	9.2
Equanimeous St Brown	8.7	-	-	-	-	-	-	8.7	-
Tre Nixon	8.6	-	-	-	-	-	-	8.6	-
David Bell	8.5	-	-	-	-	-	-	8.5	-
Jason Brownlee	8.4	-	-	-	-	-	-	8.4	-
Cole Beasley	8.4	-	-	-	-	-	-	8.4	-
Keith Kirkwood	8.3	-	-	-	-	-	-	8.3	-
Scott Miller	7.4	-	-	-	-	-	-	7.4	-
Byron Pringle	7.4	-	-	-	-	-	-	7.0	7.8
Shi Smith	7.3	-	-	-	-	-	-	7.3	-
Justin Shorter	7.3	-	-	-	-	-	-	7.3	-
Jalen Tolbert	7.2	-	-	-	-	-	-	7.2	-
Britain Covey	7.2	-	-	-	-	-	-	7.2	-
At Perry	7.0	-	-	-	-	-	-	7.0	-
Steven Sims	7.0	-	-	-	-	-	-	7.0	-
Dareke Young	6.7	-	-	-	-	-	-	6.7	-
Dante Pettis	6.1	-	-	-	-	-	-	6.1	-
Tre Tucker	5.7	-	-	-	-	-	-	5.7	-
Kavontae Turpin	5.5	-	-	-	-	-	-	5.5	-
Erik Ezukanma	5.3	-	-	-	-	-	-	5.3	-
Kaylon Geiger Sr	5.2	-	-	-	-	-	-	5.2	-
Velus Jones	5.1	-	-	-	-	-	-	5.1	-
Rakim Jarrett	4.9	-	-	-	-	-	-	4.9	-
Jakeem Grant Sr	4.8	-	-	-	-	-	-	4.8	-
River Cracraft	4.6	-	-	-	-	-	-	4.6	-
Ashton Dulin	4.5	-	-	-	-	-	-	4.5	-
Kevin Austin	4.3	-	-	-	-	-	-	4.3	-
Cody Thompson	4.2	-	-	-	-	-	-	4.2	-
Darrius Shepherd	4.2	-	-	-	-	-	-	4.2	-
Jalen Reagor	4.0	-	-	-	-	-	-	4.0	-
Dax Milne	4.0	-	-	-	-	-	-	4.0	-
Tim Jones	3.8	-	-	-	-	-	-	3.8	-
Jalen Virgil	3.8	-	-	-	-	-	-	3.8	-
Stanley Morgan	3.8	-	-	-	-	-	-	3.8	-
Gunner Olszewski	3.7	-	-	-	-	-	-	3.7	-
Bo Melton	3.7	-	-	-	-	-	-	3.7	-
Easop Winston	3.7	-	-	-	-	-	-	3.7	-
Seth Williams	3.7	-	-	-	-	-	-	3.7	-
Jacob Harris	3.7	-	-	-	-	-	-	3.7	-
Maurice Alexander	3.6	-	-	-	-	-	-	3.6	-
Simi Fehoko	3.6	-	-	-	-	-	-	3.6	-
Keesean Johnson	3.6	-	-	-	-	-	-	3.6	-
Andre Baccellia	3.6	-	-	-	-	-	-	3.6	-
Dennis Houston	3.5	-	-	-	-	-	-	3.5	-
Jamison Crowder	3.4	-	-	-	-	-	-	3.4	-
Ray Ray Mccloud	3.4	-	-	-	-	-	-	3.4	-
Ronnie Bell	3.4	-	-	-	-	-	-	3.4	-
Cody Chrest	3.4	-	-	-	-	-	-	3.4	-
Alex Erickson	3.4	-	-	-	-	-	-	3.4	-
Cam Sims	3.4	-	-	-	-	-	-	3.4	-
Keke Coutee	3.4	-	-	-	-	-	-	3.4	-
Austin Trammell	3.3	-	-	-	-	-	-	3.3	-
Kawaan Baker	3.3	-	-	-	-	-	-	3.3	-
Keelan Cole Sr	3.3	-	-	-	-	-	-	3.3	-
David Sills V	3.3	-	-	-	-	-	-	3.3	-
Montrell Washington	3.2	-	-	-	-	-	-	3.2	-
Dez Fitzpatrick	3.2	-	-	-	-	-	-	3.2	-
Danny Gray	3.1	-	-	-	-	-	-	3.1	-
Michael Woods	3.1	-	-	-	-	-	-	3.1	-
Mason Kinsey	3.1	-	-	-	-	-	-	3.1	-
Brandon Johnson	3.0	-	-	-	-	-	-	3.0	-
Tylan Wallace	3.0	-	-	-	-	-	-	3.0	-
Chris Conley	3.0	-	-	-	-	-	-	3.0	-
Vyncint Smith	2.8	-	-	-	-	-	-	2.8	-
Josh Ali	2.8	-	-	-	-	-	-	2.8	-
Mike Strachan	2.8	-	-	-	-	-	-	2.8	-
Andy Isabella	2.5	-	-	-	-	-	-	2.5	-
Daurice Fountain	2.5	-	-	-	-	-	-	2.5	-
Greg Ward	2.5	-	-	-	-	-	-	2.5	-
Nsimba Webster	2.5	-	-	-	-	-	-	2.5	-
Keelan Doss	2.4	-	-	-	-	-	-	2.4	-
Matthew Slater	2.3	-	-	-	-	-	-	2.3	-
Jaelon Darden	2.3	-	-	-	-	-	-	2.3	-
Trent Taylor	2.3	-	-	-	-	-	-	2.3	-
Lance Mccutcheon	2.2	-	-	-	-	-	-	2.2	-
Jalen Camp	2.1	-	-	-	-	-	-	2.1	-
James Proche	1.8	-	-	-	-	-	-	1.8	-
Racey Mcmath	1.8	-	-	-	-	-	-	1.8	-
Miles Boykin	1.6	-	-	-	-	-	-	1.6	-
Kayshon Boutte	1.4	-	-	-	-	-	-	1.4	-
Breshad Perriman	0.9	-	-	-	-	-	-	0.9	-
Reggie Roberson	0.5	-	-	-	-	-	-	0.5	-
Xavier Hutchinson	0.0	-	-	-	-	-	-	0.0	-
Tyler Scott	0.0	-	-	-	-	-	-	0.0	-
Andrei Iosivas	0.0	-	-	-	-	-	-	0.0	-
Quintez Cephus	0.0	-	-	-	-	-	-	0.0	0
