EV	PN EV	EV Book	Game	Prop	O/U	FD	DK	MGM	BV	PB	PN	Kambi	Bet365
-4.3	-4.3	-415 PB	swiatek @ kudermetova	set1_spread	o -1.5	-	-	-	-	-415/250	-402/320	-	-
-4.5	-3.6	220 FD	siniakova @ podoroska	ml	u 	-275/220	-	-275/195	-	-	-243/217	-	-
-4.6	-	-750 PB	swiatek @ kudermetova	set2_ml	o 	-800/450	-	-	-	-750/430	-	-770/550	-
-4.6	-4.6	108 FD	fassbender @ gentzsch	set1_ml	o 	108/-138	-	-	-	-	102/-135	-	-
-4.6	-	-525 PB	baadi @ angele	ml	u 	370/-600	-	-	-	320/-525	-	-	-
-4.7	-4.4	-132 FD	swiatek @ kudermetova	spread	u -6.5	100/-132	-	-	'+105/-135	105/-140	113/-127	105/-134	-
-4.7	-	-228 FD	swiatek @ kudermetova	set1_total	u 9.5	160/-228	-	-	-	175/-250	-	-	-
-4.7	-6.0	115 MGM	fassbender @ gentzsch	ml	o 	114/-144	-	115/-165	-	105/-145	111/-147	100/-139	-
-4.7	-	-160 PB	davis / stewart @ martinez / moundir	ml	u 	128/-164	-	-	-	120/-160	-	-	-
-4.8	-2.9	-115 BV	swiatek @ kudermetova	total	u 18.5	-110/-120	-	-	-115/-115	-110/-120	102/-115	-114/-112	-
-4.8	-	-225 MGM	siniakova @ podoroska	set2_ml	o 	-240/174	-	-225/165	-	-	-	-	-
-4.8	-4.5	110 FD	kuzuhara @ meza	ml	o 	110/-146	-	100/-145	-	-	103/-138	-	-
-4.8	-	-225 MGM	falabella / gagliardo @ tenti / villanueva	ml	u 	174/-240	-	145/-225	-	-	-	-	-
-4.9	-3.7	-310 BV	swiatek @ kudermetova	set_spread	o -1.5	-	-	-	-310/+225	-325/220	-299/258	-315/235	-
-5.0	-	-2000 BV	taborda / labrana @ blatter / daniele	ml	o 	-3000/880	-	-	-2000/+750	-	-	-	-
-5.0	-4.6	-166 FD	swiatek @ kudermetova	total	u 19.5	122/-166	-	-	-	128/-170	140/-158	130/-175	-
-5.0	-5.0	-145 BV	swiatek @ kudermetova	total	u 19.0	-	-	-	'+110/-145	-	122/-137	-	-
-5.0	-	-400 PB	swiatek @ kudermetova	set1_total	o 7.5	-500/280	-	-	-	-400/255	-	-	-
-5.0	-	128 FD	davis / stewart @ martinez / moundir	ml	o 	128/-164	-	-	-	120/-160	-	-	-
-5.0	-	104 FD	charaeva / glushko @ hewitt / sieg	ml	o 	104/-138	-	-110/-140	-	100/-135	-	-	-
-5.0	-	104 FD	boskovic / alvarez @ berberovic / costoulas	ml	u 	-138/104	-	-140/-110	-	-135/100	-	-	-
-5.0	-	-500 MGM	alarcon / sonobe @ sabando / rossini	ml	o 	-550/350	-	-500/270	-	-	-	-	-
-5.1	-5.5	-170 BV	swiatek @ kudermetova	spread	o -5.5	-200/130	-	-	-170/+130	-175/130	-158/140	-175/133	-
-5.1	-5.6	-275 MGM	siniakova @ podoroska	ml	o 	-275/220	-	-275/195	-	-	-243/217	-	-
-5.3	-4.3	-102 FD	siniakova @ podoroska	total	u 20.5	-132/-102	-	-130/-105	-	-	-113/101	-	-
-5.3	-	124 FD	midon / angelo @ britto / schiessl	ml	u 	-166/124	-	-165/110	-	-	-	-	-
-5.4	-	-185 MGM	siniakova @ podoroska	spread	o -2.5	-210/135	-	-185/135	-	-	-	-	-
-5.4	-	-350 MGM	gomez / keller @ boulais / sleeth	ml	u 	265/-390	-	210/-350	-	240/-375	-	-	-
-5.5	-3.8	-190 FD	wallin @ sambeek	ml	o 	-190/146	-	-200/135	-	-200/140	-207/153	-	-
-5.5	-5.6	-140 MGM	siniakova @ podoroska	spread	o -3.5	-160/100	-	-140/105	-	-	-131/116	-	-
-5.5	-3.3	500 FD	siniakova @ podoroska	set_spread	u 1.5	-800/500	-	-650/400	-	-	-558/454	-	-
-5.7	-5.9	-700 PB	swiatek @ kudermetova	set1_ml	o 	-750/490	-	-	-	-700/410	-588/447	-560/410	-
-5.8	-	-350 FD	swiatek @ kudermetova	spread	o -4.5	-350/230	-	-	-	-	-	-360/250	-
-5.8	-6.2	-150 PB	swiatek @ kudermetova	set1_total	o 8.5	-167/110	-	-	-	-150/108	-141/120	-	-
-5.8	-7.6	-180 PB	swiatek @ kudermetova	set1_spread	u -3.5	-	-	-	-	120/-180	137/-161	148/-190	-
-5.8	-5.8	-110 FD	fassbender @ gentzsch	spread	o 1.5	-110/-120	-	-	-	-	-112/-118	-	-
-5.8	-	-1000 FD	erhard @ egea	ml	o 	-1000/580	-	-	-	-1099/550	-	-	-
-5.9	-3.7	-410 FD	swiatek @ kudermetova	total_sets	u 2.5	280/-410	-	-	'+280/-410	290/-429	331/-392	300/-400	'+250/-350
-5.9	-	-280 FD	swiatek @ kudermetova	total	u 21.5	200/-280	-	-	-	-	-	205/-286	-
-5.9	-8.4	-110 FD	swiatek @ kudermetova	total	o 18.5	-110/-120	-	-	-115/-115	-110/-120	102/-115	-114/-112	-
-5.9	-	116 FD	struff @ ruud	total_sets	o 2.5	116/-158	-	-	-	-	-	-	'+110/-150
-5.9	-	-200 MGM	jebawy / monroy @ candiotto / pereira	ml	u 	154/-210	-	130/-200	'+145/-205	-	-	-	-
-6.0	-13.9	140 FD	verma @ ewing	ml	o 	140/-188	-	115/-165	-	130/-180	151/-204	125/-177	-
-6.0	-6.0	-2500 FD	swiatek @ kudermetova	set1_total	u 12.5	750/-2500	-	-	-	-	904/-1385	-	-
-6.0	-5.2	-200 FD	angelo @ villanueva	ml	u 	148/-200	-	150/-225	-	140/-200	154/-208	-	-
-6.1	-6.1	-118 FD	tilbuerger @ tiglea	spread	o -1.5	-118/-112	-	-	-	-	-119/-111	-	-
-6.1	-6.1	-126 FD	swiatek @ kudermetova	home_total	u 6.5	-108/-126	-	-	-	-	102/-119	-	-
-6.1	-	154 FD	jebawy / monroy @ candiotto / pereira	ml	o 	154/-210	-	130/-200	'+145/-205	-	-	-	-
-6.2	-	-375 PB	tenti @ kestelboim	ml	u 	260/-380	-	-	-	240/-375	-	-	-
-6.2	-6.2	-130 BV	swiatek @ kudermetova	spread	o -6.0	-	-	-	-130/100	-	-120/107	-	-
-6.2	-6.8	-450 MGM	rodriguez @ reyes	ml	o 	-490/320	-	-450/275	-	-475/300	-443/294	-480/290	-
-6.2	-5.7	-144 FD	fassbender @ gentzsch	ml	u 	114/-144	-	115/-165	-	105/-145	111/-147	100/-139	-
-6.3	-5.5	-162 FD	zarazua @ tikhonova	ml	o 	-162/122	-	-175/120	-	-	-167/125	-162/115	-
-6.3	-6.8	105 PB	swiatek @ kudermetova	spread	o -6.5	100/-132	-	-	'+105/-135	105/-140	113/-127	105/-134	-
-6.3	-6.3	100 BV	swiatek @ kudermetova	spread	u -6.0	-	-	-	-130/100	-	-120/107	-	-
-6.3	-	-250 FD	swiatek @ kudermetova	set2_total	u 9.5	170/-250	-	-	-	180/-260	-	-	-
-6.3	-	-135 PB	swiatek @ kudermetova	set2_total	o 8.5	-148/-105	-	-	-	-135/100	-	-	-
-6.3	-7.6	-550 MGM	harrison @ shymanovich	ml	u 	370/-600	-	320/-550	-	-	329/-512	350/-625	-
-6.3	-	-275 MGM	backman / heinonen @ matusevich / wendelken	ml	u 	200/-280	-	175/-275	-	190/-300	-	-	-
-6.4	-	-800 MGM	siniakova @ podoroska	set1_total	o 7.5	-910/450	-	-800/475	-	-	-	-	-
-6.4	-	-165 MGM	midon / angelo @ britto / schiessl	ml	o 	-166/124	-	-165/110	-	-	-	-	-
-6.5	-6.5	-174 FD	verma @ ewing	set1_ml	u 	130/-174	-	-	-	-	130/-174	-	-
-6.5	-6.0	-164 FD	swiatek @ kudermetova	total	o 17.5	-164/120	-	-	-	-165/124	-150/134	-157/123	-
-6.5	-6.8	-450 MGM	midon @ roncadelli	ml	o 	-470/310	-	-450/275	-	-475/300	-446/294	-455/280	-
-6.6	-6.6	-5000 FD	swiatek @ kudermetova	set1_total	o 6.5	-5000/850	-	-	-	-	-1687/1055	-	-
-6.7	-6.7	-132 FD	fassbender @ gentzsch	home_total	u 12.5	-102/-132	-	-	-	-	-101/-132	-	-
-6.8	-7.4	-144 FD	tilbuerger @ tiglea	ml	o 	-144/108	-	-155/105	-	-145/105	-141/106	-150/105	-
-6.9	-6.9	102 FD	tilbuerger @ tiglea	set1_ml	u 	-136/102	-	-	-	-	-134/101	-	-
-6.9	-6.9	-834 FD	swiatek @ kudermetova	set1_total	u 10.5	400/-834	-	-	-	-	472/-627	-	-
-6.9	-	-750 FD	swiatek @ kudermetova	6-0	u 	420/-750	-	-	'+450/-750	390/-800	-	-	-
-6.9	-7.7	-225 MGM	siniakova @ podoroska	set1_ml	o 	-230/168	-	-225/165	-	-	-197/167	-	-
-6.9	-7.9	-300 MGM	chang @ volynets	ml	u 	225/-320	-	195/-300	-	-	202/-283	200/-295	-
-7.0	-	-225 FD	swiatek @ kudermetova	total	u 20.5	164/-225	-	-	-	-	-	163/-220	-
-7.0	-	175 PB	swiatek @ kudermetova	set1_total	o 9.5	160/-228	-	-	-	175/-250	-	-	-
-7.0	-	-280 FD	nefve @ smith	ml	u 	210/-280	-	-	-	190/-300	-	-	-
-7.0	-	-135 PB	charaeva / glushko @ hewitt / sieg	ml	u 	104/-138	-	-110/-140	-	100/-135	-	-	-
-7.0	-	-135 PB	boskovic / alvarez @ berberovic / costoulas	ml	o 	-138/104	-	-140/-110	-	-135/100	-	-	-
-7.1	-7.1	-112 FD	tilbuerger @ tiglea	spread	u -1.5	-118/-112	-	-	-	-	-119/-111	-	-
-7.1	-7.1	-136 FD	tilbuerger @ tiglea	set1_ml	o 	-136/102	-	-	-	-	-134/101	-	-
-7.1	-	-450 MGM	siniakova @ podoroska	set1_total	u 10.5	280/-500	-	300/-450	-	-	-	-	-
-7.1	-8.7	-225 MGM	jacquemot @ jones	ml	o 	-245/178	-	-225/150	-	-	-209/154	-220/150	-
-7.1	-6.2	225 FD	chang @ volynets	ml	o 	225/-320	-	195/-300	-	-	202/-283	200/-295	-
-7.2	-7.2	-120 FD	fassbender @ gentzsch	spread	u 1.5	-110/-120	-	-	-	-	-112/-118	-	-
-7.3	-8.6	-145 MGM	kuzuhara @ meza	ml	u 	110/-146	-	100/-145	-	-	103/-138	-	-
-7.3	-	-440 FD	estable / moyano @ ayala / genova	ml	o 	-440/290	-	-500/270	-	-	-	-	-
-7.4	-7.6	124 PB	swiatek @ kudermetova	total	u 17.5	-164/120	-	-	-	-165/124	-150/134	-157/123	-
-7.4	-8.7	-130 MGM	siniakova @ podoroska	total	o 20.5	-132/-102	-	-130/-105	-	-	-113/101	-	-
-7.4	-7.4	-138 FD	fassbender @ gentzsch	set1_ml	u 	108/-138	-	-	-	-	102/-135	-	-
-7.4	-7.4	-152 FD	dickerson @ grant	ml	u 	120/-152	-	-	-	-	112/-148	-	-
-7.5	-5.4	168 FD	siniakova @ podoroska	set1_ml	u 	-230/168	-	-225/165	-	-	-197/167	-	-
-7.6	-7.3	490 FD	swiatek @ kudermetova	set1_ml	u 	-750/490	-	-	-	-700/410	-588/447	-560/410	-
-7.6	-1.9	180 MGM	siniakova @ podoroska	set1_total	u 8.5	-278/170	-	-250/180	-	-	-199/169	-	-
-7.6	-8.2	-650 MGM	rodriguez @ sierra	ml	u 	390/-650	-	340/-650	-	375/-650	358/-573	350/-590	-
-7.7	-	174 FD	siniakova @ podoroska	set2_ml	u 	-240/174	-	-225/165	-	-	-	-	-
-7.8	-6.7	108 FD	tilbuerger @ tiglea	ml	u 	-144/108	-	-155/105	-	-145/105	-141/106	-150/105	-
-7.8	-	-180 FD	swiatek @ kudermetova	set1_spread	o -2.5	-180/115	-	-	-	-180/120	-	-175/135	-
-7.8	-7.8	-102 FD	fassbender @ gentzsch	home_total	o 12.5	-102/-132	-	-	-	-	-101/-132	-	-
-8.3	-	-375 PB	swiatek @ kudermetova	set2_total	o 7.5	-385/230	-	-	-	-375/245	-	-	-
-8.4	-8.6	128 PB	swiatek @ kudermetova	total	o 19.5	122/-166	-	-	-	128/-170	140/-158	130/-175	-
-8.4	-8.4	-108 FD	swiatek @ kudermetova	home_total	o 6.5	-108/-126	-	-	-	-	102/-119	-	-
-8.5	-9.0	110 FD	swiatek @ kudermetova	set1_total	u 8.5	-167/110	-	-	-	-150/108	-141/120	-	-
-8.5	-10.2	-250 MGM	siniakova @ podoroska	set1_total	o 8.5	-278/170	-	-250/180	-	-	-199/169	-	-
-8.6	-8.6	110 BV	swiatek @ kudermetova	total	o 19.0	-	-	-	'+110/-145	-	122/-137	-	-
-8.6	-7.8	130 FD	swiatek @ kudermetova	spread	u -5.5	-200/130	-	-	-170/+130	-175/130	-158/140	-175/133	-
-8.7	-17.5	180 MGM	matushkina @ okutoyi	ml	o 	162/-220	-	180/-275	-	170/-250	196/-275	150/-220	-
-8.9	-9.8	122 FD	zarazua @ tikhonova	ml	u 	-162/122	-	-175/120	-	-	-167/125	-162/115	-
-8.9	-8.9	130 FD	verma @ ewing	set1_ml	o 	130/-174	-	-	-	-	130/-174	-	-
-8.9	-	265 FD	gomez / keller @ boulais / sleeth	ml	o 	265/-390	-	210/-350	-	240/-375	-	-	-
-9.0	-	100 PB	swiatek @ kudermetova	set2_total	u 8.5	-148/-105	-	-	-	-135/100	-	-	-
-9.0	-	-158 FD	struff @ ruud	total_sets	u 2.5	116/-158	-	-	-	-	-	-	'+110/-150
-9.1	-8.3	105 MGM	siniakova @ podoroska	spread	u -3.5	-160/100	-	-140/105	-	-	-131/116	-	-
-9.2	-9.2	120 FD	siniakova @ podoroska	set1_spread	u -1.5	-185/120	-	-	-	-	-153/131	-	-
-9.4	-11.5	150 MGM	angelo @ villanueva	ml	o 	148/-200	-	150/-225	-	140/-200	154/-208	-	-
-9.5	-9.5	-145 BV	swiatek @ kudermetova	total	o 18.0	-	-	-	-145/+110	-	-123/109	-	-
-9.7	-15.7	-210 MGM	giovannini @ labrana	ml	o 	-210/154	-	-210/140	-	-210/150	-157/118	-200/140	-
-9.7	-	350 FD	alarcon / sonobe @ sabando / rossini	ml	u 	-550/350	-	-500/270	-	-	-	-	-
-10.0	-12.6	146 FD	wallin @ sambeek	ml	u 	-190/146	-	-200/135	-	-200/140	-207/153	-	-
-10.0	-	164 FD	swiatek @ kudermetova	total	o 20.5	164/-225	-	-	-	-	-	163/-220	-
-10.0	-10.0	-105 MGM	siniakova @ podoroska	set_spread	o -1.5	-	-	-105/-125	-	-	110/-124	-	-
-10.2	-10.2	-185 FD	siniakova @ podoroska	set1_spread	o -1.5	-185/120	-	-	-	-	-153/131	-	-
-10.4	-	180 PB	swiatek @ kudermetova	set2_total	o 9.5	170/-250	-	-	-	180/-260	-	-	-
-10.9	-10.9	140 FD	andrade @ braswell	ml	o 	140/-180	-	-	-	-	144/-193	-	-
-11.0	-	480 FD	siniakova @ podoroska	away_1_set	u 	-850/480	-	-650/400	-	-	-	-	-
-11.2	-	210 FD	nefve @ smith	ml	o 	210/-280	-	-	-	190/-300	-	-	-
-11.3	-	200 FD	backman / heinonen @ matusevich / wendelken	ml	o 	200/-280	-	175/-275	-	190/-300	-	-	-
-12.1	-12.1	-132 FD	verma @ ewing	away_total	o 11.5	-132/-102	-	-	-	-	-115/-115	-	-
-12.3	-	120 PB	swiatek @ kudermetova	set1_spread	u -2.5	-180/115	-	-	-	-180/120	-	-175/135	-
-12.6	-12.6	-102 FD	verma @ ewing	spread	o 2.5	-102/-130	-	-	-	-	109/-145	-	-
-12.9	-	370 FD	baadi @ angele	ml	o 	370/-600	-	-	-	320/-525	-	-	-
-13.1	-16.7	290 PB	swiatek @ kudermetova	total_sets	o 2.5	280/-410	-	-	'+280/-410	290/-429	331/-392	300/-400	'+250/-350
-13.1	-	280 FD	swiatek @ kudermetova	set1_total	u 7.5	-500/280	-	-	-	-400/255	-	-	-
-13.3	-13.3	112 FD	verma @ ewing	home_total	o 12.5	112/-148	-	-	-	-	124/-165	-	-
-13.4	-	260 FD	tenti @ kestelboim	ml	o 	260/-380	-	-	-	240/-375	-	-	-
-13.6	-13.6	140 FD	swiatek @ kudermetova	away_total	o 12.5	140/-190	-	-	-	-	162/-191	-	-
-13.8	-	135 MGM	siniakova @ podoroska	spread	u -2.5	-210/135	-	-185/135	-	-	-	-	-
-14.1	-12.7	320 FD	rodriguez @ reyes	ml	u 	-490/320	-	-450/275	-	-475/300	-443/294	-480/290	-
-14.2	-	200 FD	swiatek @ kudermetova	total	o 21.5	200/-280	-	-	-	-	-	205/-286	-
-14.2	-14.2	-106 FD	fassbender @ gentzsch	total	o 22.5	-106/-126	-	-	-	-	109/-145	-	-
-14.5	-	200 PB	swiatek @ kudermetova	spread	o -7.5	180/-270	-	-	-	200/-280	-	225/-315	-
-14.7	-15.0	225 BV	swiatek @ kudermetova	set_spread	u -1.5	-	-	-	-310/+225	-325/220	-299/258	-315/235	-
-15.0	-11.8	120 PB	swiatek @ kudermetova	set1_spread	o -3.5	-	-	-	-	120/-180	137/-161	148/-190	-
-15.3	-11.3	860 FD	swiatek @ kudermetova	ml	u 	-1300/860	-	-	-1200/+700	-1250/650	-1054/827	-1250/800	-
-15.4	-15.0	310 FD	midon @ roncadelli	ml	u 	-470/310	-	-450/275	-	-475/300	-446/294	-455/280	-
-15.9	-15.9	110 FD	matushkina @ okutoyi	home_total	o 12.5	110/-146	-	-	-	-	128/-171	-	-
-16.2	-16.2	126 FD	siniakova @ podoroska	total_sets	o 2.5	126/-172	-	-	-	-	159/-179	-	-
-16.9	-	245 PB	swiatek @ kudermetova	set2_total	u 7.5	-385/230	-	-	-	-375/245	-	-	-
-16.9	-12.5	370 FD	harrison @ shymanovich	ml	o 	370/-600	-	320/-550	-	-	329/-512	350/-625	-
-17.4	-17.4	-110 FD	verma @ ewing	total	o 21.5	-110/-120	-	-	-	-	113/-150	-	-
-17.5	-17.5	-118 FD	tilbuerger @ tiglea	total	o 21.5	-118/-112	-	-	-	-	107/-142	-	-
-18.1	-18.1	142 FD	matushkina @ okutoyi	set1_ml	o 	142/-192	-	-	-	-	164/-223	-	-
-19.5	-16.4	390 FD	rodriguez @ sierra	ml	o 	390/-650	-	340/-650	-	375/-650	358/-573	350/-590	-
-20.1	-	230 FD	swiatek @ kudermetova	spread	u -4.5	-350/230	-	-	-	-	-	-360/250	-
-20.7	-	300 MGM	siniakova @ podoroska	set1_total	o 10.5	280/-500	-	300/-450	-	-	-	-	-
-21.8	-21.8	118 FD	tilbuerger @ tiglea	total_sets	o 2.5	118/-156	-	-	-	-	151/-204	-	-
-21.8	-	290 FD	estable / moyano @ ayala / genova	ml	u 	-440/290	-	-500/270	-	-	-	-	-
-22.9	-22.9	122 FD	verma @ ewing	total_sets	o 2.5	122/-166	-	-	-	-	158/-215	-	-
-23.7	-23.7	134 FD	fassbender @ gentzsch	total_sets	o 2.5	134/-182	-	-	-	-	172/-237	-	-
-24.1	-	450 BV	swiatek @ kudermetova	6-0	o 	420/-750	-	-	'+450/-750	390/-800	-	-	-
-25.4	-25.4	400 FD	swiatek @ kudermetova	set1_total	o 10.5	400/-834	-	-	-	-	472/-627	-	-
-25.5	-25.5	250 PB	swiatek @ kudermetova	set1_spread	u -1.5	-	-	-	-	-415/250	-402/320	-	-
-27.6	-	450 FD	swiatek @ kudermetova	set2_ml	u 	-800/450	-	-	-	-750/430	-	-770/550	-
-29.4	-29.4	126 FD	matushkina @ okutoyi	total_sets	o 2.5	126/-172	-	-	-	-	182/-252	-	-
-30.4	-	475 MGM	siniakova @ podoroska	set1_total	u 7.5	-910/450	-	-800/475	-	-	-	-	-
-31.2	-	580 FD	erhard @ egea	ml	u 	-1000/580	-	-	-	-1099/550	-	-	-
-36.1	-36.1	750 FD	swiatek @ kudermetova	set1_total	o 12.5	750/-2500	-	-	-	-	904/-1385	-	-
-38.4	-38.4	380 PB	swiatek @ kudermetova	set1_spread	u 1.5	-	-	-	-	-700/380	-750/548	-	-
-39.7	-	880 FD	taborda / labrana @ blatter / daniele	ml	u 	-3000/880	-	-	-2000/+750	-	-	-	-
-40.2	-40.2	850 FD	swiatek @ kudermetova	set1_total	u 6.5	-5000/850	-	-	-	-	-1687/1055	-	-
-43.8	-	2000 FD	swiatek @ kudermetova	set_spread	u 1.5	-7000/2000	-	-	-3300/+1200	-10000/1075	-	-5000/1700	-
