"recv_yd","A. Ekeler","RB","LAC","ATL","2022-11-06T18:00:00Z","51.5","over","-119","undefined","null","null","under","-111","undefined","null","null"
"rush_att","A. Ekeler","RB","LAC","ATL","2022-11-06T18:00:00Z","13.5","over","-121","undefined","null","null","under","-111","undefined","null","null"
"rush_recv_yd","A. Ekeler","RB","LAC","ATL","2022-11-06T18:00:00Z","113.5","over","-117","undefined","null","null","under","-115","undefined","null","null"
"rush_yd","A. Ekeler","RB","LAC","ATL","2022-11-06T18:00:00Z","56.5","over","-117","undefined","null","null","under","-112","undefined","null","null"
"recv_rec","G. Everett","TE","LAC","ATL","2022-11-06T18:00:00Z","4.5","over","-130","undefined","null","null","under","-103","undefined","null","null"
"recv_yd","G. Everett","TE","LAC","ATL","2022-11-06T18:00:00Z","48.5","over","-130","undefined","null","null","under","-104","undefined","null","null"
"recv_rec","J. Palmer","WR","LAC","ATL","2022-11-06T18:00:00Z","5.5","over","-113","undefined","null","null","under","-113","undefined","null","null"
"recv_yd","J. Palmer","WR","LAC","ATL","2022-11-06T18:00:00Z","55.5","over","-127","undefined","null","null","under","-105","undefined","null","null"
"pass_att","J. Herbert","QB","LAC","ATL","2022-11-06T18:00:00Z","38.5","over","-112","undefined","null","null","under","-120","undefined","null","null"
"pass_comp","J. Herbert","QB","LAC","ATL","2022-11-06T18:00:00Z","25.5","over","-132","undefined","null","null","under","-103","undefined","null","null"
"pass_int","J. Herbert","QB","LAC","ATL","2022-11-06T18:00:00Z","0.5","over","114","undefined","null","null","under","-154","undefined","null","null"
"pass_td","J. Herbert","QB","LAC","ATL","2022-11-06T18:00:00Z","1.5","over","-179","undefined","null","null","under","133","undefined","null","null"
"pass_yd","J. Herbert","QB","LAC","ATL","2022-11-06T18:00:00Z","285.5","over","-109","undefined","null","null","under","-124","undefined","null","null"
"rush_yd","J. Herbert","QB","LAC","ATL","2022-11-06T18:00:00Z","8.5","over","-121","undefined","null","null","under","-111","undefined","null","null"
"recv_rec","M. Bandy","WR","LAC","ATL","2022-11-06T18:00:00Z","2.5","over","108","undefined","null","null","under","-138","undefined","null","null"
"recv_yd","M. Bandy","WR","LAC","ATL","2022-11-06T18:00:00Z","31.5","over","-113","undefined","null","null","under","-116","undefined","null","null"
"recv_rec","A. Pierce","WR","IND","NE","2022-11-06T18:00:00Z","2.5","over","-140","undefined","null","null","under","105","undefined","null","null"
"recv_yd","A. Pierce","WR","IND","NE","2022-11-06T18:00:00Z","30.5","over","-120","undefined","null","null","under","-114","undefined","null","null"
"recv_rec","D. Jackson","RB","IND","NE","2022-11-06T18:00:00Z","2.5","over","-174","undefined","null","null","under","128","undefined","null","null"
"recv_yd","D. Jackson","RB","IND","NE","2022-11-06T18:00:00Z","21.5","over","-120","undefined","null","null","under","-109","undefined","null","null"
"rush_att","D. Jackson","RB","IND","NE","2022-11-06T18:00:00Z","13.5","over","-101","undefined","null","null","under","-131","undefined","null","null"
"rush_recv_yd","D. Jackson","RB","IND","NE","2022-11-06T18:00:00Z","82.5","over","-117","undefined","null","null","under","-115","undefined","null","null"
"rush_yd","D. Jackson","RB","IND","NE","2022-11-06T18:00:00Z","56.5","over","-120","undefined","null","null","under","-109","undefined","null","null"
"recv_rec","M. Pittman Jr.","WR","IND","NE","2022-11-06T18:00:00Z","4.5","over","-114","undefined","null","null","under","-117","undefined","null","null"
"recv_yd","M. Pittman Jr.","WR","IND","NE","2022-11-06T18:00:00Z","53.5","over","-117","undefined","null","null","under","-115","undefined","null","null"
"recv_yd","M. Alie-Cox","TE","IND","NE","2022-11-06T18:00:00Z","4.5","over","-120","undefined","null","null","under","-110","undefined","null","null"
"recv_rec","P. Campbell","WR","IND","NE","2022-11-06T18:00:00Z","2.5","over","-108","undefined","null","null","under","-123","undefined","null","null"
"recv_yd","P. Campbell","WR","IND","NE","2022-11-06T18:00:00Z","28.5","over","-116","undefined","null","null","under","-116","undefined","null","null"
"pass_att","S. Ehlinger","QB","IND","NE","2022-11-06T18:00:00Z","31.5","over","-101","undefined","null","null","under","-134","undefined","null","null"
"pass_comp","S. Ehlinger","QB","IND","NE","2022-11-06T18:00:00Z","17.5","over","-137","undefined","null","null","under","104","undefined","null","null"
"pass_int","S. Ehlinger","QB","IND","NE","2022-11-06T18:00:00Z","0.5","over","-216","undefined","null","null","under","158","undefined","null","null"
"pass_td","S. Ehlinger","QB","IND","NE","2022-11-06T18:00:00Z","0.5","over","-262","undefined","null","null","under","188","undefined","null","null"
"pass_yd","S. Ehlinger","QB","IND","NE","2022-11-06T18:00:00Z","202.5","over","-102","undefined","null","null","under","-133","undefined","null","null"
"rush_yd","S. Ehlinger","QB","IND","NE","2022-11-06T18:00:00Z","28.5","over","-120","undefined","null","null","under","-112","undefined","null","null"
"recv_rec","H. Henry","TE","NE","IND","2022-11-06T18:00:00Z","2.5","over","117","undefined","null","null","under","-157","undefined","null","null"
"recv_yd","H. Henry","TE","NE","IND","2022-11-06T18:00:00Z","24.5","over","-111","undefined","null","null","under","-119","undefined","null","null"
"recv_rec","J. Meyers","WR","NE","IND","2022-11-06T18:00:00Z","4.5","over","-145","undefined","null","null","under","108","undefined","null","null"
"recv_yd","J. Meyers","WR","NE","IND","2022-11-06T18:00:00Z","58.5","over","-119","undefined","null","null","under","-113","undefined","null","null"
"recv_rec","J. Smith","TE","NE","IND","2022-11-06T18:00:00Z","1.5","over","109","undefined","null","null","under","-145","undefined","null","null"
"recv_yd","J. Smith","TE","NE","IND","2022-11-06T18:00:00Z","10.5","over","-121","undefined","null","null","under","-112","undefined","null","null"
"recv_yd","K. Bourne","WR","NE","IND","2022-11-06T18:00:00Z","15.5","over","-116","undefined","null","null","under","-116","undefined","null","null"
"pass_att","M. Jones","QB","NE","IND","2022-11-06T18:00:00Z","28.5","over","-129","undefined","null","null","under","-104","undefined","null","null"
"pass_comp","M. Jones","QB","NE","IND","2022-11-06T18:00:00Z","19.5","over","-102","undefined","null","null","under","-132","undefined","null","null"
"pass_int","M. Jones","QB","NE","IND","2022-11-06T18:00:00Z","0.5","over","-119","undefined","null","null","under","-113","undefined","null","null"
"pass_td","M. Jones","QB","NE","IND","2022-11-06T18:00:00Z","1.5","over","116","undefined","null","null","under","-153","undefined","null","null"
"pass_yd","M. Jones","QB","NE","IND","2022-11-06T18:00:00Z","212.5","over","-114","undefined","null","null","under","-115","undefined","null","null"
"rush_yd","M. Jones","QB","NE","IND","2022-11-06T18:00:00Z","12.5","over","-120","undefined","null","null","under","-112","undefined","null","null"
"recv_rec","R. Stevenson","RB","NE","IND","2022-11-06T18:00:00Z","3.5","over","-118","undefined","null","null","under","-113","undefined","null","null"
"recv_yd","R. Stevenson","RB","NE","IND","2022-11-06T18:00:00Z","24.5","over","-115","undefined","null","null","under","-117","undefined","null","null"
"rush_att","R. Stevenson","RB","NE","IND","2022-11-06T18:00:00Z","17.5","over","-179","undefined","null","null","under","129","undefined","null","null"
"rush_recv_yd","R. Stevenson","RB","NE","IND","2022-11-06T18:00:00Z","104.5","over","-129","undefined","null","null","under","-104","undefined","null","null"
"rush_yd","R. Stevenson","RB","NE","IND","2022-11-06T18:00:00Z","75.5","over","-125","undefined","null","null","under","-108","undefined","null","null"
"recv_rec","T. Thornton","WR","NE","IND","2022-11-06T18:00:00Z","3.5","over","127","undefined","null","null","under","-172","undefined","null","null"
"recv_yd","T. Thornton","WR","NE","IND","2022-11-06T18:00:00Z","33.5","over","-103","undefined","null","null","under","-133","undefined","null","null"
"recv_yd","C. Claypool","WR","CHI","MIA","2022-11-06T18:00:00Z","24.5","over","-115","undefined","null","null","under","-118","undefined","null","null"
"recv_rec","C. Kmet","TE","CHI","MIA","2022-11-06T18:00:00Z","2.5","over","141","undefined","null","null","under","-189","undefined","null","null"
"recv_yd","C. Kmet","TE","CHI","MIA","2022-11-06T18:00:00Z","20.5","over","-119","undefined","null","null","under","-110","undefined","null","null"
"recv_rec","D. Mooney","WR","CHI","MIA","2022-11-06T18:00:00Z","3.5","over","-111","undefined","null","null","under","-120","undefined","null","null"
"recv_yd","D. Mooney","WR","CHI","MIA","2022-11-06T18:00:00Z","41.5","over","-127","undefined","null","null","under","-105","undefined","null","null"
"recv_rec","D. Montgomery","RB","CHI","MIA","2022-11-06T18:00:00Z","2.5","over","131","undefined","null","null","under","-176","undefined","null","null"
"recv_yd","D. Montgomery","RB","CHI","MIA","2022-11-06T18:00:00Z","14.5","over","-111","undefined","null","null","under","-118","undefined","null","null"
"rush_att","D. Montgomery","RB","CHI","MIA","2022-11-06T18:00:00Z","12.5","over","-114","undefined","null","null","under","-114","undefined","null","null"
"rush_recv_yd","D. Montgomery","RB","CHI","MIA","2022-11-06T18:00:00Z","70.5","over","-114","undefined","null","null","under","-118","undefined","null","null"
"rush_yd","D. Montgomery","RB","CHI","MIA","2022-11-06T18:00:00Z","52.5","over","-110","undefined","null","null","under","-123","undefined","null","null"
"pass_att","J. Fields","QB","CHI","MIA","2022-11-06T18:00:00Z","24.5","over","-109","undefined","null","null","under","-122","undefined","null","null"
"pass_comp","J. Fields","QB","CHI","MIA","2022-11-06T18:00:00Z","14.5","over","-139","undefined","null","null","under","103","undefined","null","null"
"pass_int","J. Fields","QB","CHI","MIA","2022-11-06T18:00:00Z","0.5","over","-123","undefined","null","null","under","-109","undefined","null","null"
"pass_td","J. Fields","QB","CHI","MIA","2022-11-06T18:00:00Z","0.5","over","-239","undefined","null","null","under","174","undefined","null","null"
"pass_yd","J. Fields","QB","CHI","MIA","2022-11-06T18:00:00Z","171.5","over","-130","undefined","null","null","under","-106","undefined","null","null"
"rush_att","J. Fields","QB","CHI","MIA","2022-11-06T18:00:00Z","8.5","over","-125","undefined","null","null","under","-108","undefined","null","null"
"rush_yd","J. Fields","QB","CHI","MIA","2022-11-06T18:00:00Z","50.5","over","-125","undefined","null","null","under","-107","undefined","null","null"
"rush_att","K. Herbert","RB","CHI","MIA","2022-11-06T18:00:00Z","9.5","over","-122","undefined","null","null","under","-108","undefined","null","null"
"rush_recv_yd","K. Herbert","RB","CHI","MIA","2022-11-06T18:00:00Z","48.5","over","-139","undefined","null","null","under","102","undefined","null","null"
"rush_yd","K. Herbert","RB","CHI","MIA","2022-11-06T18:00:00Z","40.5","over","-127","undefined","null","null","under","-107","undefined","null","null"
"recv_rec","J. Waddle","WR","MIA","CHI","2022-11-06T18:00:00Z","5.5","over","-115","undefined","null","null","under","-116","undefined","null","null"
"recv_yd","J. Waddle","WR","MIA","CHI","2022-11-06T18:00:00Z","68.5","over","-125","undefined","null","null","under","-107","undefined","null","null"
"recv_rec","M. Gesicki","TE","MIA","CHI","2022-11-06T18:00:00Z","2.5","over","104","undefined","null","null","under","-139","undefined","null","null"
"recv_yd","M. Gesicki","TE","MIA","CHI","2022-11-06T18:00:00Z","25.5","over","-116","undefined","null","null","under","-116","undefined","null","null"
"recv_rec","R. Mostert","RB","MIA","CHI","2022-11-06T18:00:00Z","1.5","over","-130","undefined","null","null","under","-104","undefined","null","null"
"recv_yd","R. Mostert","RB","MIA","CHI","2022-11-06T18:00:00Z","10.5","over","-109","undefined","null","null","under","-122","undefined","null","null"
"rush_att","R. Mostert","RB","MIA","CHI","2022-11-06T18:00:00Z","14.5","over","110","undefined","null","null","under","-148","undefined","null","null"
"rush_recv_yd","R. Mostert","RB","MIA","CHI","2022-11-06T18:00:00Z","79.5","over","-111","undefined","null","null","under","-122","undefined","null","null"
"rush_yd","R. Mostert","RB","MIA","CHI","2022-11-06T18:00:00Z","64.5","over","-116","undefined","null","null","under","-116","undefined","null","null"
"recv_yd","T. Sherfield","WR","MIA","CHI","2022-11-06T18:00:00Z","17.5","over","-115","undefined","null","null","under","-114","undefined","null","null"
"pass_att","T. Tagovailoa","QB","MIA","CHI","2022-11-06T18:00:00Z","34.5","over","-109","undefined","null","null","under","-122","undefined","null","null"
"pass_comp","T. Tagovailoa","QB","MIA","CHI","2022-11-06T18:00:00Z","22.5","over","-118","undefined","null","null","under","-114","undefined","null","null"
"pass_int","T. Tagovailoa","QB","MIA","CHI","2022-11-06T18:00:00Z","0.5","over","-111","undefined","null","null","under","-121","undefined","null","null"
"pass_td","T. Tagovailoa","QB","MIA","CHI","2022-11-06T18:00:00Z","1.5","over","-150","undefined","null","null","under","115","undefined","null","null"
"pass_yd","T. Tagovailoa","QB","MIA","CHI","2022-11-06T18:00:00Z","264.5","over","-118","undefined","null","null","under","-114","undefined","null","null"
"rush_yd","T. Tagovailoa","QB","MIA","CHI","2022-11-06T18:00:00Z","7.5","over","-119","undefined","null","null","under","-113","undefined","null","null"
"recv_rec","T. Hill","WR","MIA","CHI","2022-11-06T18:00:00Z","7.5","over","106","undefined","null","null","under","-142","undefined","null","null"
"recv_yd","T. Hill","WR","MIA","CHI","2022-11-06T18:00:00Z","89.5","over","-116","undefined","null","null","under","-118","undefined","null","null"
"recv_rec","A. St. Brown","WR","DET","GB","2022-11-06T18:00:00Z","6.5","over","-140","undefined","null","null","under","105","undefined","null","null"
"recv_yd","A. St. Brown","WR","DET","GB","2022-11-06T18:00:00Z","74.5","over","-118","undefined","null","null","under","-114","undefined","null","null"
"recv_yd","D. Swift","RB","DET","GB","2022-11-06T18:00:00Z","20.5","over","-125","undefined","null","null","under","-105","undefined","null","null"
"rush_recv_yd","D. Swift","RB","DET","GB","2022-11-06T18:00:00Z","60.5","over","100","undefined","null","null","under","-130","undefined","null","null"
"rush_yd","D. Swift","RB","DET","GB","2022-11-06T18:00:00Z","30","over","-115","undefined","null","null","under","-110","undefined","null","null"
"rush_yd","J. Williams","RB","DET","GB","2022-11-06T18:00:00Z","50.5","over","-115","undefined","null","null","under","-115","undefined","null","null"
"pass_att","J. Goff","QB","DET","GB","2022-11-06T18:00:00Z","34.5","over","-113","undefined","null","null","under","-120","undefined","null","null"
"pass_comp","J. Goff","QB","DET","GB","2022-11-06T18:00:00Z","23.5","over","-108","undefined","null","null","under","-123","undefined","null","null"
"pass_int","J. Goff","QB","DET","GB","2022-11-06T18:00:00Z","0.5","over","-134","undefined","null","null","under","-102","undefined","null","null"
"pass_td","J. Goff","QB","DET","GB","2022-11-06T18:00:00Z","1.5","over","-108","undefined","null","null","under","-123","undefined","null","null"
"pass_yd","J. Goff","QB","DET","GB","2022-11-06T18:00:00Z","243.5","over","-116","undefined","null","null","under","-116","undefined","null","null"
"rush_yd","J. Goff","QB","DET","GB","2022-11-06T18:00:00Z","2.5","over","-124","undefined","null","null","under","-110","undefined","null","null"
"recv_rec","A. Dillon","RB","GB","DET","2022-11-06T18:00:00Z","1.5","over","-101","undefined","null","null","under","-134","undefined","null","null"
"recv_yd","A. Dillon","RB","GB","DET","2022-11-06T18:00:00Z","8.5","over","-115","undefined","null","null","under","-118","undefined","null","null"
"rush_att","A. Dillon","RB","GB","DET","2022-11-06T18:00:00Z","10.5","over","-108","undefined","null","null","under","-122","undefined","null","null"
"rush_recv_yd","A. Dillon","RB","GB","DET","2022-11-06T18:00:00Z","49.5","over","-125","undefined","null","null","under","-108","undefined","null","null"
"rush_yd","A. Dillon","RB","GB","DET","2022-11-06T18:00:00Z","37.5","over","-128","undefined","null","null","under","-107","undefined","null","null"
"recv_rec","A. Jones","RB","GB","DET","2022-11-06T18:00:00Z","4.5","over","117","undefined","null","null","under","-158","undefined","null","null"
"recv_yd","A. Jones","RB","GB","DET","2022-11-06T18:00:00Z","30.5","over","-113","undefined","null","null","under","-119","undefined","null","null"
"rush_att","A. Jones","RB","GB","DET","2022-11-06T18:00:00Z","14.5","over","-107","undefined","null","null","under","-126","undefined","null","null"
"rush_recv_yd","A. Jones","RB","GB","DET","2022-11-06T18:00:00Z","100.5","over","-127","undefined","null","null","under","-107","undefined","null","null"
"rush_yd","A. Jones","RB","GB","DET","2022-11-06T18:00:00Z","66.5","over","-128","undefined","null","null","under","-105","undefined","null","null"
"pass_att","A. Rodgers","QB","GB","DET","2022-11-06T18:00:00Z","35.5","over","-110","undefined","null","null","under","-122","undefined","null","null"
"pass_comp","A. Rodgers","QB","GB","DET","2022-11-06T18:00:00Z","24.5","over","-109","undefined","null","null","under","-123","undefined","null","null"
"pass_int","A. Rodgers","QB","GB","DET","2022-11-06T18:00:00Z","0.5","over","196","undefined","null","null","under","-276","undefined","null","null"
"pass_td","A. Rodgers","QB","GB","DET","2022-11-06T18:00:00Z","1.5","over","-209","undefined","null","null","under","156","undefined","null","null"
"pass_yd","A. Rodgers","QB","GB","DET","2022-11-06T18:00:00Z","260.5","over","-115","undefined","null","null","under","-115","undefined","null","null"
"rush_yd","A. Rodgers","QB","GB","DET","2022-11-06T18:00:00Z","1.5","over","-116","undefined","null","null","under","-116","undefined","null","null"
"recv_rec","R. Tonyan","TE","GB","DET","2022-11-06T18:00:00Z","3.5","over","101","undefined","null","null","under","-136","undefined","null","null"
"recv_yd","R. Tonyan","TE","GB","DET","2022-11-06T18:00:00Z","30.5","over","-129","undefined","null","null","under","-104","undefined","null","null"
"recv_rec","R. Doubs","WR","GB","DET","2022-11-06T18:00:00Z","4.5","over","109","undefined","null","null","under","-146","undefined","null","null"
"recv_yd","R. Doubs","WR","GB","DET","2022-11-06T18:00:00Z","48.5","over","-116","undefined","null","null","under","-116","undefined","null","null"
"recv_rec","D. Foreman","RB","CAR","CIN","2022-11-06T18:00:00Z","1.5","over","-109","undefined","null","null","under","-122","undefined","null","null"
"recv_yd","D. Foreman","RB","CAR","CIN","2022-11-06T18:00:00Z","8.5","over","-120","undefined","null","null","under","-110","undefined","null","null"
"rush_att","D. Foreman","RB","CAR","CIN","2022-11-06T18:00:00Z","16.5","over","-129","undefined","null","null","under","-104","undefined","null","null"
"rush_recv_yd","D. Foreman","RB","CAR","CIN","2022-11-06T18:00:00Z","82.5","over","-117","undefined","null","null","under","-115","undefined","null","null"
"rush_yd","D. Foreman","RB","CAR","CIN","2022-11-06T18:00:00Z","70.5","over","-117","undefined","null","null","under","-114","undefined","null","null"
"recv_rec","D. Moore","WR","CAR","CIN","2022-11-06T18:00:00Z","5.5","over","110","undefined","null","null","under","-146","undefined","null","null"
"recv_yd","D. Moore","WR","CAR","CIN","2022-11-06T18:00:00Z","63.5","over","-114","undefined","null","null","under","-115","undefined","null","null"
"recv_rec","I. Thomas","TE","CAR","CIN","2022-11-06T18:00:00Z","1.5","over","142","undefined","null","null","under","-192","undefined","null","null"
"recv_yd","I. Thomas","TE","CAR","CIN","2022-11-06T18:00:00Z","7.5","over","-117","undefined","null","null","under","-110","undefined","null","null"
"pass_att","P. Walker","QB","CAR","CIN","2022-11-06T18:00:00Z","30.5","over","-101","undefined","null","null","under","-134","undefined","null","null"
"pass_comp","P. Walker","QB","CAR","CIN","2022-11-06T18:00:00Z","16.5","over","-130","undefined","null","null","under","-104","undefined","null","null"
"pass_int","P. Walker","QB","CAR","CIN","2022-11-06T18:00:00Z","1.5","over","166","undefined","null","null","under","-231","undefined","null","null"
"pass_td","P. Walker","QB","CAR","CIN","2022-11-06T18:00:00Z","0.5","over","-212","undefined","null","null","under","154","undefined","null","null"
"pass_yd","P. Walker","QB","CAR","CIN","2022-11-06T18:00:00Z","188.5","over","-123","0.050647425650223954","null","null","under","-110","-0.1259452548190475","null","null"
"recv_rec","T. Marshall Jr.","WR","CAR","CIN","2022-11-06T18:00:00Z","3.5","over","116","undefined","null","null","under","-158","undefined","null","null"
"recv_yd","T. Marshall Jr.","WR","CAR","CIN","2022-11-06T18:00:00Z","39.5","over","-106","undefined","null","null","under","-126","undefined","null","null"
"recv_rec","T. Tremble","TE","CAR","CIN","2022-11-06T18:00:00Z","1.5","over","-109","undefined","null","null","under","-122","undefined","null","null"
"recv_yd","T. Tremble","TE","CAR","CIN","2022-11-06T18:00:00Z","12.5","over","-115","undefined","null","null","under","-115","undefined","null","null"
"recv_rec","H. Hurst","TE","CIN","CAR","2022-11-06T18:00:00Z","4.5","over","137","undefined","null","null","under","-187","undefined","null","null"
"recv_yd","H. Hurst","TE","CIN","CAR","2022-11-06T18:00:00Z","39.5","over","-108","undefined","null","null","under","-126","undefined","null","null"
"pass_att","J. Burrow","QB","CIN","CAR","2022-11-06T18:00:00Z","35.5","over","-104","undefined","null","null","under","-131","undefined","null","null"
"pass_comp","J. Burrow","QB","CIN","CAR","2022-11-06T18:00:00Z","24.5","over","-107","undefined","null","null","under","-126","undefined","null","null"
"pass_int","J. Burrow","QB","CIN","CAR","2022-11-06T18:00:00Z","0.5","over","103","undefined","null","null","under","-141","undefined","null","null"
"pass_td","J. Burrow","QB","CIN","CAR","2022-11-06T18:00:00Z","1.5","over","-211","undefined","null","null","under","152","undefined","null","null"
"pass_yd","J. Burrow","QB","CIN","CAR","2022-11-06T18:00:00Z","260.5","over","-114","-0.03584621179345798","null","null","under","-118","-0.03822291435779823","null","null"
"rush_yd","J. Burrow","QB","CIN","CAR","2022-11-06T18:00:00Z","13.5","over","-110","undefined","null","null","under","-124","undefined","null","null"
"recv_rec","J. Mixon","RB","CIN","CAR","2022-11-06T18:00:00Z","3.5","over","-118","undefined","null","null","under","-113","undefined","null","null"
"recv_yd","J. Mixon","RB","CIN","CAR","2022-11-06T18:00:00Z","23.5","over","-116","undefined","null","null","under","-116","undefined","null","null"
"rush_att","J. Mixon","RB","CIN","CAR","2022-11-06T18:00:00Z","18.5","over","-105","undefined","null","null","under","-128","undefined","null","null"
"rush_recv_yd","J. Mixon","RB","CIN","CAR","2022-11-06T18:00:00Z","94.5","over","-118","undefined","null","null","under","-114","undefined","null","null"
"rush_yd","J. Mixon","RB","CIN","CAR","2022-11-06T18:00:00Z","67.5","over","-124","undefined","null","null","under","-108","undefined","null","null"
"recv_rec","M. Thomas","WR","CIN","CAR","2022-11-06T18:00:00Z","1.5","over","-107","undefined","null","null","under","-126","undefined","null","null"
"recv_yd","M. Thomas","WR","CIN","CAR","2022-11-06T18:00:00Z","14.5","over","-103","undefined","null","null","under","-131","undefined","null","null"
"recv_yd","S. Perine","RB","CIN","CAR","2022-11-06T18:00:00Z","9.5","over","-112","undefined","null","null","under","-115","undefined","null","null"
"recv_rec","T. Higgins","WR","CIN","CAR","2022-11-06T18:00:00Z","6.5","over","117","undefined","null","null","under","-158","undefined","null","null"
"recv_yd","T. Higgins","WR","CIN","CAR","2022-11-06T18:00:00Z","77.5","over","-118","undefined","null","null","under","-114","undefined","null","null"
"recv_rec","T. Boyd","WR","CIN","CAR","2022-11-06T18:00:00Z","5.5","over","116","undefined","null","null","under","-154","undefined","null","null"
"recv_yd","T. Boyd","WR","CIN","CAR","2022-11-06T18:00:00Z","58.5","over","-108","undefined","null","null","under","-125","undefined","null","null"
"recv_rec","C. Kirk","WR","JAX","LV","2022-11-06T18:00:00Z","4.5","over","-131","undefined","null","null","under","-102","undefined","null","null"
"recv_yd","C. Kirk","WR","JAX","LV","2022-11-06T18:00:00Z","56.5","over","-115","undefined","null","null","under","-114","undefined","null","null"
"recv_rec","E. Engram","TE","JAX","LV","2022-11-06T18:00:00Z","3.5","over","-143","undefined","null","null","under","106","undefined","null","null"
"recv_yd","E. Engram","TE","JAX","LV","2022-11-06T18:00:00Z","38.5","over","-108","undefined","null","null","under","-125","undefined","null","null"
"recv_rec","M. Jones Jr.","WR","JAX","LV","2022-11-06T18:00:00Z","2.5","over","-182","undefined","null","null","under","133","undefined","null","null"
"recv_yd","M. Jones Jr.","WR","JAX","LV","2022-11-06T18:00:00Z","34.5","over","-111","undefined","null","null","under","-118","undefined","null","null"
"recv_rec","T. Etienne","RB","JAX","LV","2022-11-06T18:00:00Z","3.5","over","118","undefined","null","null","under","-162","undefined","null","null"
"recv_yd","T. Etienne","RB","JAX","LV","2022-11-06T18:00:00Z","21.5","over","-116","undefined","null","null","under","-118","undefined","null","null"
"rush_att","T. Etienne","RB","JAX","LV","2022-11-06T18:00:00Z","17.5","over","-127","undefined","null","null","under","-106","undefined","null","null"
"rush_recv_yd","T. Etienne","RB","JAX","LV","2022-11-06T18:00:00Z","105.5","over","-117","undefined","null","null","under","-114","undefined","null","null"
"rush_yd","T. Etienne","RB","JAX","LV","2022-11-06T18:00:00Z","79.5","over","-126","undefined","null","null","under","-106","undefined","null","null"
"pass_att","T. Lawrence","QB","JAX","LV","2022-11-06T18:00:00Z","35.5","over","111","undefined","null","null","under","-149","undefined","null","null"
"pass_comp","T. Lawrence","QB","JAX","LV","2022-11-06T18:00:00Z","22.5","over","-116","undefined","null","null","under","-116","undefined","null","null"
"pass_int","T. Lawrence","QB","JAX","LV","2022-11-06T18:00:00Z","0.5","over","-132","undefined","null","null","under","-102","undefined","null","null"
"pass_td","T. Lawrence","QB","JAX","LV","2022-11-06T18:00:00Z","1.5","over","100","undefined","null","null","under","-135","undefined","null","null"
"pass_yd","T. Lawrence","QB","JAX","LV","2022-11-06T18:00:00Z","241.5","over","-111","undefined","null","null","under","-122","undefined","null","null"
"rush_yd","T. Lawrence","QB","JAX","LV","2022-11-06T18:00:00Z","12.5","over","-117","undefined","null","null","under","-115","undefined","null","null"
"recv_rec","Z. Jones","WR","JAX","LV","2022-11-06T18:00:00Z","4.5","over","110","undefined","null","null","under","-149","undefined","null","null"
"recv_yd","Z. Jones","WR","JAX","LV","2022-11-06T18:00:00Z","42.5","over","-115","undefined","null","null","under","-114","undefined","null","null"
"recv_rec","D. Adams","WR","LV","JAX","2022-11-06T18:00:00Z","6.5","over","-104","undefined","null","null","under","-130","undefined","null","null"
"recv_yd","D. Adams","WR","LV","JAX","2022-11-06T18:00:00Z","75.5","over","-113","undefined","null","null","under","-119","undefined","null","null"
"pass_att","D. Carr","QB","LV","JAX","2022-11-06T18:00:00Z","33.5","over","-131","undefined","null","null","under","-102","undefined","null","null"
"pass_comp","D. Carr","QB","LV","JAX","2022-11-06T18:00:00Z","22.5","over","-114","undefined","null","null","under","-118","undefined","null","null"
