EV	PN EV	EV Book	Imp	Game	Player	Prop	O/U	FD	Bet365	DK	MGM	PN	Kambi	CZ	SZN	LYR	Splits	Opp Rank	LYR Opp Rank
-4.6	-	-315 DK	76%	ARI @ NYM		f3_spread	o 1.5	-	-	-315/+230	-325/+230	-	-335/255	-	0%	0%		0	0
-4.6	-5.7	142 DK	41%	ARI @ NYM		ml	o  	'+136/-162	-	'+142/-170	'+140/-170	149/-163	-	140/-165	0%	0%		0	0
-4.7	-	-1200 DK	92%	WSH @ PHI	Luis Garcia	sb	u 0.5	'+580	-	'+650/-1200	-	-	800/-2500	-	100%	100%		11th	7th
-4.7	-	143 BR	41%	WSH @ PHI	Kyle Schwarber	h	u 0.5	-200	-	-170/+130	-175/+130	-	-190/143	-184/133	30%	100%	2,2,1,1,1,1,0,1,0,3,0,1,1,1,0,0,1,1,2,1,1,0,1,1,0,0,1,0,1,1	26th	28th
-4.7	-	-170 DK	63%	WSH @ PHI	Kyle Schwarber	h	o 0.5	-200	-	-170/+130	-175/+130	-	-190/143	-184/133	70%	0%	2,2,1,1,1,1,0,1,0,3,0,1,1,1,0,0,1,1,2,1,1,0,1,1,0,0,1,0,1,1	26th	28th
-4.7	-3.7	-835 BR	89%	WSH @ PHI	Jt Realmuto	hr	u 0.5	'+540	-	'+550	'+575/-900	571/-1074	510/-835	400	92%	100%	0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1	15th	6th
-4.7	-4.1	-700 MGM	88%	WSH @ PHI	Josh Bell	hr	u 0.5	'+480	-	'+475	'+500/-700	484/-842	460/-770	400	85%	100%	0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0	17th	18th
-4.7	-4.2	-525 MGM	84%	WSH @ PHI	Cj Abrams	hr	u 0.5	'+420	-	'+360	'+375/-525	382/-598	380/-560	300	78%	100%	0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0	17th	18th
-4.7	-	-351 DK	78%	WSH @ PHI		total	u 13.0	-	-	'+250/-351	-	-	265/-455	244/-408	0%	0%		0	0
-4.7	-	-125 MGM	56%	STL @ CIN	Willson Contreras	r	u 0.5	'+100	-	-110/-130	-105/-125	-	102/-139	-106/-129	64%	100%	0,0,0,0,0,1,1,1,0,0,1,0,2,1,0,0,0,1,0,0,1,1,0,0,0,0,0,2	10th	14th
-4.7	-	-148 CZ	60%	STL @ CIN	Tj Friedl	r	u 0.5	-105	-	'+115/-160	'+115/-160	-	125/-175	108/-148	59%	100%	1,0,2,0,0,0,1,2,0,0,0,1,1,1,2,0,0,0,0,1,0,0,1,0,1,1,0,0,0	18th	15th
-4.7	-	-284 CZ	74%	STL @ CIN	Lars Nootbaar	rbi	u 0.5	'+220	-	'+210/-300	'+225/-300	-	225/-315	196/-284	64%	100%	2,2,0,1,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0,1,0,3,0,1,2,0,0,0	10th	15th
-4.7	-	143 BR	41%	STL @ CIN	Jordan Walker	tb	o 1.5	'+125	-	'+130	-	-	143/-200	133/-184	19%	0%	1,1,2,2,1,0,3,0,0,1,0,2,2,1,0,1,0,1,0,1,0,0,1,1,1,1	13th	17th
-4.7	-	-175 BR	64%	STL @ CIN	Jordan Walker	h	o 0.5	-200	-	-180/+135	-185/+135	-	-175/133	-184/133	62%	0%	1,1,2,2,1,0,1,0,0,1,0,1,2,1,0,1,0,1,0,0,0,0,1,1,1,1	2nd	15th
-4.7	-	-1200 DK	92%	STL @ CIN		home_total	u 8.5	'+750	-	'+750/-1200	'+700/-1600	-	-	600/-1400	0%	0%		0	0
-4.7	-	-700 DK	88%	STL @ CIN		home_total	u 7.5	'+480/-770	-	'+475/-700	'+475/-800	-	-	450/-700	0%	0%		0	0
-4.7	-	-162 CZ	62%	STL @ CIN		away_total	o 3.5	-170/+132	-	-170/+130	-165/+125	-	-	-162/120	0%	0%		0	0
-4.7	-	-150 CZ	60%	STL @ CIN		f5_away_total	u 2.5	-	-	'+120/-154	-	-	-	120/-150	0%	0%		0	0
-4.7	-	-250 MGM	71%	STL @ CIN		f3_total	o 1.5	-	-	-260/+195	-250/+185	-	-	-	0%	0%		0	0
-4.7	-	-120 DK	55%	STL @ CIN		f1_total	u 0.5	-	-	-110/-120	-	-	-103/-122	-	0%	0%		0	0
-4.7	-	265 FD	27%	MIN @ CLE	Simeon Woods Richardson	k	o 5.5	'+265	-	'+205	-	-	235/-335	-	40%	0%	5,6,5,3,7	8th	27th
-4.7	-	165 FD	38%	MIN @ CLE	Kody Clemens	tb	o 1.5	'+165	-	'+130	-	-	150/-215	-	0%	0%	1,0,0	25th	9th
-4.7	-	-600 DK	86%	MIN @ CLE	Harrison Bader	double	u 0.5	'+430	-	'+380/-600	-	-	410/-770	386/-679	89%	100%	1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0	16th	25th
-4.7	-	-3500 DK	97%	MIN @ CLE	Edouard Julien	sb	u 0.5	-	-	'+1400/-3500	-	-	-	-	100%	100%		21st	2nd
-4.7	-3.8	-910 BR	90%	MIN @ CLE	Edouard Julien	hr	u 0.5	'+560	-	'+650	'+625/-1000	604/-1181	540/-910	450	93%	100%	0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0	23rd	14th
-4.7	-	-254 CZ	72%	MIN @ CLE	Byron Buxton	h	u 1.5	'+185	-	'+195/-270	'+200/-275	-	200/-275	178/-254	68%	100%	0,0,1,0,1,2,2,0,1,0,0,1,0,2,0,2,2,0,3,2,0,1,0,2,1,2,0,1	24th	2nd
-4.7	-5.4	-182 BR	65%	MIN @ CLE		total	o 8.0	-	-	-184/+140	-	-170/149	-182/143	-198/133	0%	0%		0	0
-4.7	-	-425 MGM	81%	MIN @ CLE		f5_spread	o 2.5	-470/+310	-	-	-425/+290	-	-	-	0%	0%		0	0
-4.7	-	-175 MGM	64%	MIN @ CLE		f3_spread	o 0.5	-	-	-180/+140	-175/+130	-	-	-	0%	0%		0	0
-4.7	-	102 BR	50%	MIL @ CHW	William Contreras	r	o 0.5	-115	-	-105/-135	'+100/-135	-	102/-137	-106/-129	45%	0%	0,0,1,0,1,0,0,0,2,2,2,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,1,1,2	17th	4th
-4.7	-	280 FD	26%	MIL @ CHW	Sean Burke	k	o 5.5	'+280	-	'+210	-	-	235/-335	-	0%	0%	3,1,4,2,5,5	9th	10th
-4.7	-	-190 MGM	66%	MIL @ CHW	Rhys Hoskins	rbi	u 0.5	'+145	-	'+140/-200	'+145/-190	-	170/-235	139/-194	71%	100%	0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,2,2,0,0,4,0,0,0,0,0,1,0,0	20th	27th
-4.7	-	-155 MGM	61%	MIL @ CHW	Joey Ortiz	h	o 0.5	-220	-	-160/+115	-155/+120	-	-	-166/120	50%	0%	2,0,0,1,0,2,0,0,1,0,1,2,0,2,0,0,1,1,0,0,0,1,0,0,1,0,1,1,2,1	18th	26th
-4.7	-	-160 MGM	62%	MIL @ CHW	Christian Yelich	rbi	u 0.5	'+140	-	'+120/-165	'+125/-160	-	133/-180	120/-166	53%	100%	0,1,0,0,2,0,0,0,1,1,1,2,0,2,0,0,0,1,3,0,1,0,4,0,1,1,0,2,0,0	20th	27th
-4.7	-	200 FD	33%	MIL @ CHW	Andrew Benintendi	rbi	o 0.5	'+200	-	'+170/-245	'+180/-235	-	188/-265	178/-254	29%	0%	3,0,0,3,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0	15th	5th
-4.7	-	-650 DK	87%	MIL @ CHW		away_total	u 8.5	'+470/-770	-	'+450/-650	'+450/-750	-	-	400/-700	0%	0%		0	0
-4.7	-3.6	-128 FD	56%	MIL @ CHW		away_total	o 4.5	-128/+100	-	-130/+100	-130/-102	-128/110	-134/108	-133/100	0%	0%		0	0
-4.7	-4.6	155 ESPN	39%	MIL @ CHW		ml	u  	-180/+152	-	-185/+154	-185/+150	-174/159	-	-178/150	0%	0%		0	0
-4.7	-	-235 FD	70%	KC @ TB	Shane Baz	k	o 4.5	-235	-	-235	-	-	-250/185	-	80%	0%	10,6,11,3,6	3rd	29th
-4.7	-	-180 DK	64%	KC @ TB	Kameron Misner	single	u 0.5	'+155	-	'+125/-180	-	-	-	133/-184	54%	100%	0,2,0,0,1,0,1,1,0,0,0,1,1,1,1,1,0,0,0,1,0,0,1,0,0,1	9th	10th
-4.7	-	118 BR	46%	KC @ TB	Jonathan India	r	o 0.5	-105	-	'+110/-155	'+115/-155	-	118/-162	108/-148	29%	0%	0,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0	8th	21st
-4.7	-	-152 BR	60%	KC @ TB	Christopher Morel	h	o 0.5	-175	-	-160/+115	-155/+120	-	-152/118	-160/116	48%	0%	0,2,0,1,0,1,0,1,1,1,0,3,0,1,3,0,1,0,0,0,0,2,2,0,1,0,0	6th	13th
-4.7	-5.4	-120 DK	55%	KC @ TB		f5_away_total	o 1.5	-	-	-120/-110	-	-118/-103	-	-125/-105	0%	0%		0	0
-4.7	-	-210 DK	68%	KC @ TB		f3_total	o 1.5	-	-	-210/+160	-220/+165	-	-	-	0%	0%		0	0
-4.7	-11.7	145 ESPN	41%	DET @ LAA	Yusei Kikuchi	k	u 5.5	-180	-	-190/+140	-175/+130	-205/148	-159/118	-194/139	50%	100%	5,6,5,6,6,0	26th	7th
-4.7	-4.1	-700 MGM	88%	DET @ LAA	Logan Ohoppe	hr	u 0.5	'+450	-	'+475	'+500/-700	484/-842	480/-770	400	68%	100%	1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0	11th	4th
-4.7	-	-165 MGM	62%	DET @ LAA	Kyren Paris	h+r+rbi	u 1.5	-	-	'+125/-175	'+130/-165	-	-	-	69%	100%	0,1,3,4,4,3,0,5,4,6,1,3,1,0,1,0,0,0,0,0,0,0,0,0,1,0	0	0
-4.7	-4.5	-1100 MGM	92%	DET @ LAA	Justyn Henry Malloy	hr	u 0.5	'+680	-	'+750	'+675/-1100	657/-1352	650/-1250	500	95%	100%	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0	25th	28th
-4.7	-	-1200 DK	92%	DET @ LAA	Jo Adell	sb	u 0.5	'+700	-	'+650/-1200	-	-	-	-	100%	100%		5th	1st
-4.7	-4.2	-1000 MGM	91%	DET @ LAA	Gleyber Torres	hr	u 0.5	'+680	-	'+650	'+625/-1000	626/-1249	575/-1000	500	84%	100%	0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0	25th	28th
-4.7	-4.2	-182 FD	65%	DET @ LAA		f5_total	o 3.5	-182/+136	-	-188/+145	-190/+145	-178/153	-	-	0%	0%		0	0
-4.7	-	-314 DK	76%	DET @ LAA		total	u 11.0	-	-	'+227/-314	-	-	245/-420	215/-348	0%	0%		0	0
-4.7	-	-205 BR	67%	COL @ SF	Wilmer Flores	r	u 0.5	'+110	-	'+170/-245	'+175/-250	-	148/-205	159/-224	61%	100%	1,1,0,1,0,1,1,0,0,0,0,2,0,1,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0	28th	1st
-4.7	-2.8	-120 FD	55%	COL @ SF	Kyle Freeland	k	o 3.5	-120/-106	-	-125/-105	-125/-105	-131/-101	-120/-112	-133/-103	50%	0%	7,3,5,2,2,4	22nd	11th
-4.7	-	-225 ESPN	69%	COL @ SF	David Villar	tb	u 1.5	'+155	-	'+165	-	-	180/-265	-	50%	100%	1,2	28th	29th
-4.7	-	-180 ESPN	64%	COL @ SF	Brenton Doyle	r	u 0.5	'+145	-	'+130/-185	'+135/-185	-	160/-225	133/-184	75%	100%	0,0,0,0,0,0,0,1,3,1,0,2,0,0,0,0,0,0,0,1	9th	12th
-4.7	-	-280 FD	74%	COL @ SF		total	u 9.5	'+210/-280	-	'+205/-280	-	-	220/-335	190/-298	0%	0%		0	0
-4.7	-3.9	-157 BR	61%	COL @ SF		total	u 8.0	-	-	'+121/-158	-	135/-153	125/-157	-	0%	0%		0	0
-4.7	-4.6	-900 MGM	90%	CHC @ PIT	Seiya Suzuki	hr	u 0.5	'+680	-	'+550	'+575/-900	565/-1064	525/-910	500	78%	100%	0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0	6th	5th
-4.7	-	100 DK	50%	CHC @ PIT	Kyle Tucker	single	o 0.5	-120	-	'+100/-145	-	-	-	-103/-133	42%	0%	0,0,1,0,1,0,1,0,0,0,1,1,2,1,0,0,2,0,0,2,0,1,0,0,2,0,1,0,0,1,0	12th	22nd
-4.7	-	-480 BR	83%	CHC @ PIT	Kyle Tucker	double	u 0.5	'+320	-	'+380/-600	-	-	295/-480	323/-529	71%	100%	0,1,0,0,1,0,2,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1	25th	24th
-4.7	-	-210 FD	68%	CHC @ PIT	Kebryan Hayes	h	o 0.5	-210	-	-225/+165	-220/+165	-	-220/163	-224/159	69%	0%	1,1,0,0,0,2,1,1,2,1,1,0,1,0,0,2,0,0,0,1,2,1,1,1,1,2,1,1,2	22nd	14th
-4.7	-	-3500 DK	97%	CHC @ PIT	Andrew Mccutchen	sb	u 0.5	-	-	'+1300/-3500	-	-	-	-	100%	100%		2nd	15th
-4.7	-	-175 FD	64%	BOS @ TOR	Andres Gimenez	h	o 0.5	-175	-	-185/+135	-185/+140	-	-182/138	-194/139	45%	0%	1,1,1,1,2,1,1,0,1,0,0,0,2,0,1,2,0,0,0,0,3,0,0,0,1,0,0,0,0	21st	22nd
-4.7	-	-113 CZ	53%	BOS @ TOR	Alex Bregman	single	o 0.5	-140	-	-115/-120	-	-	-	-113/-121	62%	0%	0,1,2,1,1,1,0,1,1,1,0,0,1,0,0,2,0,2,0,0,1,1,0,1,1,2,1,2,0	6th	8th
-4.7	-	-575 DK	85%	BOS @ TOR		away_total	u 7.5	'+400/-620	-	'+400/-575	'+425/-700	-	-	375/-600	0%	0%		0	0
-4.7	-	-350 DK	78%	BOS @ TOR		away_total	u 6.5	'+265/-370	-	'+260/-350	'+275/-400	-	-	250/-350	0%	0%		0	0
-4.7	-	-250 MGM	71%	BOS @ TOR		home_total	u 5.5	'+200/-265	-	'+200/-260	'+190/-250	-	-	188/-250	0%	0%		0	0
-4.7	-4.7	130 CZ	43%	BOS @ TOR		f5_home_total	o 2.5	-	-	'+124/-160	-	127/-155	-	130/-160	0%	0%		0	0
-4.7	-3.0	-165 BR	62%	ATH @ TEX	Kevin Pillar	tb	u 1.5	'+110	-	'+130/-180	'+130/-185	135/-185	117/-165	126/-174	88%	100%	2,0,1,1,0,0,1,0,0,2,0,0,0,1,1,0	27th	23rd
-4.7	-	-2500 BR	96%	ATH @ TEX	Jacob Wilson	hr	u 0.5	'+1000	-	'+1200	'+1150/-3000	-	950/-2500	750	90%	100%	0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0	4th	25th
-4.7	-	-404 DK	80%	ATH @ TEX		total	u 12.0	-	-	'+281/-404	-	-	-	287/-508	0%	0%		0	0
-4.7	-	-120 FD	55%	ARI @ NYM	Tim Tawa	h	o 0.5	-120	-	-125/-105	-125/-105	-	-	-133/-103	50%	0%	1,0,0,1,1,1,0,0,1,0,1,2,1,1,0,0,0,0	9th	3rd
-4.7	-	-234 CZ	70%	ARI @ NYM	Lourdes Gurriel	r	u 0.5	'+160	-	'+175/-250	'+180/-250	-	195/-278	165/-234	74%	100%	0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,1	1st	16th
-4.7	-	-900 DK	90%	ARI @ NYM	Jesse Winker	double	u 0.5	'+550	-	'+550/-900	-	-	550/-1250	-	76%	100%	0,0,0,0,0,1,0,0,0,0,0,3,0,0,1,0,1,1,0,0,0	29th	29th
-4.7	-	-2000 BR	95%	ARI @ NYM	Geraldo Perdomo	hr	u 0.5	'+1000	-	'+1100	'+1050/-2500	-	850/-2000	650	87%	100%	0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0	1st	7th
-4.7	-4.1	-159 BR	61%	ARI @ NYM	Francisco Lindor	tb	u 1.5	'+115	-	'+125/-175	'+125/-175	127/-171	114/-159	120/-166	67%	100%	0,0,0,1,1,1,1,2,3,1,1,0,1,2,1,1,1,3,1,0,3,2,3,2,0,3,1,0,1,2	24th	28th
-4.7	-	100 DK	50%	ARI @ NYM	Francisco Lindor	single	o 0.5	-120	-	'+100/-140	-	-	-	-103/-133	53%	0%	0,0,0,1,1,0,0,1,3,0,1,0,1,1,0,1,1,3,0,0,2,0,3,2,0,3,1,0,0,1	6th	26th
-4.7	-	-235 MGM	70%	ARI @ NYM	Alek Thomas	r	u 0.5	'+180	-	'+170/-240	'+175/-235	-	195/-278	178/-254	65%	100%	1,2,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,2,0,0,0,1	1st	16th
-4.7	-4.3	-1600 MGM	94%	ARI @ NYM	Alek Thomas	hr	u 0.5	'+1000	-	'+850	'+875/-1600	850/-2086	750/-1667	650	100%	100%	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	1st	7th
-4.7	-3.9	-200 DK	67%	ARI @ NYM		total	o 6.5	-215/+164	-	-200/+152	-	-195/170	-200/155	-218/145	0%	0%		0	0
-4.7	-	-250 MGM	71%	ARI @ NYM		f3_spread	u -0.5	-	-	'+195/-260	'+180/-250	-	-	-	0%	0%		0	0
-4.8	-	240 BR	29%	WSH @ PHI	Taijuan Walker	k	u 2.5	-360	-	-280	-	-	-345/240	-	20%	100%	4,5,5,2,4	10th	26th
-4.8	-	-175 MGM	64%	WSH @ PHI	Luis Garcia	rbi	u 0.5	'+155	-	'+130/-180	'+135/-175	-	150/-205	133/-184	78%	100%	1,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1	17th	11th
-4.8	-	-3000 MGM	97%	WSH @ PHI	Johan Rojas	hr	u 0.5	'+1200	-	'+1500	'+1250/-3000	-	-	700	95%	100%	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0	15th	6th
-4.8	-3.5	-180 BR	64%	WSH @ PHI	Dylan Crews	tb	u 1.5	'+135	-	'+140/-195	'+140/-200	145/-201	128/-180	133/-184	78%	100%	0,0,0,0,0,1,0,2,0,2,0,0,0,1,1,1,3,2,1,1,0,3,2,1,1,0,0	23rd	16th
-4.8	-4.3	-1600 MGM	94%	WSH @ PHI	Alec Bohm	hr	u 0.5	'+800	-	'+850	'+875/-1600	850/-2086	-	600	100%	100%	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	15th	6th
-4.8	-	-525 DK	84%	WSH @ PHI		home_total	u 8.5	'+360/-530	-	'+370/-525	'+400/-625	-	-	350/-550	0%	0%		0	0
-4.8	-	-145 DK	59%	WSH @ PHI		f3_ml	u  	-	-	'+114/-145	'+110/-150	-	-	120/-150	0%	0%		0	0
-4.8	-4.4	-1100 MGM	92%	STL @ CIN	Jose Trevino	hr	u 0.5	'+680	-	'+650	'+675/-1100	660/-1361	-	550	92%	100%	0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0	2nd	9th
-4.8	-2.3	108 CZ	48%	STL @ CIN	Andrew Abbott	er	o 2.5	-	-	'+100/-135	-105/-135	-102/-129	-	108/-148	33%	0%	1,1,4	10th	22nd
-4.8	-	-300 MGM	75%	STL @ CIN		f5_total	u 6.5	'+225/-320	-	-	'+220/-300	-	-	-	0%	0%		0	0
-4.8	-	-958 CZ	91%	STL @ CIN		spread	o 4.5	-	-	-990/+540	-	-	-	-958/430	0%	0%		0	0
-4.8	-3.9	110 BR	48%	STL @ CIN		home_total	o 4.5	'+108/-138	-	'+105/-135	'+105/-140	109/-128	110/-136	105/-137	0%	0%		0	0
-4.8	-	-558 CZ	85%	STL @ CIN		spread	o 3.5	-620/+400	-	-561/+365	-	-	-	-558/306	0%	0%		0	0
-4.8	-	-320 DK	76%	STL @ CIN		total	u 11.5	'+255/-350	-	'+231/-320	-	-	245/-400	215/-348	0%	0%		0	0
-4.8	-4.0	-900 MGM	90%	MIN @ CLE	Ty France	hr	u 0.5	'+600	-	'+600	'+600/-900	593/-1147	550/-1000	450	90%	100%	0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0	23rd	14th
-4.8	-	-230 BR	70%	MIN @ CLE	Ty France	h	o 0.5	-240	-	-240/+175	-235/+180	-	-230/170	-244/172	58%	0%	1,0,0,0,2,2,0,1,0,1,1,3,1,3,0,2,0,0,1,0,0,0,1,1,0,0,2,1,2,3,1	24th	2nd
-4.8	-	-225 BR	69%	MIN @ CLE	Trevor Larnach	h	o 0.5	-250	-	-235/+175	-235/+180	-	-225/165	-234/165	63%	0%	2,1,0,1,0,1,1,1,0,1,0,0,2,0,0,1,0,0,1,1,1,1,2,0,2,1,2,1,0,2	24th	2nd
-4.8	-12.8	370 FD	21%	MIN @ CLE	Kyle Manzardo	hr	o 0.5	'+370	-	'+300	'+333/-450	339/-506	320/-455	290	30%	0%	1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0	18th	20th
-4.8	-	-166 CZ	62%	MIN @ CLE	Gabriel Arias	r	u 0.5	'+130	-	'+125/-175	'+125/-175	-	138/-190	120/-166	54%	100%	1,0,1,0,0,0,1,0,0,0,0,1,2,0,1,1,0,2,0,0,0,0,1,1,1,1,0,1	7th	9th
-4.8	-	-324 CZ	76%	MIN @ CLE	Edouard Julien	rbi	u 0.5	'+230	-	'+255/-380	'+260/-375	-	240/-345	219/-324	70%	100%	0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0	21st	2nd
-4.8	-4.7	-1100 MGM	92%	MIN @ CLE	Daniel Schneemann	hr	u 0.5	'+750	-	'+650	'+650/-1100	643/-1305	-	550	90%	100%	0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0	18th	20th
-4.8	-8.4	100 MGM	50%	MIN @ CLE	Carlos Correa	tb	o 1.5	-120	-	'+100/-140	'+100/-140	102/-136	-118/-118	-106/-129	27%	0%	1,1,0,0,0,2,0,1,1,0,3,2,0,1,1,0,1,0,2,1,1,0,2,0,1,2,3,2,1,0	25th	9th
-4.8	-6.5	-120 MGM	55%	MIN @ CLE	Byron Buxton	tb	o 1.5	-135	-	-125/-115	-120/-110	-120/-110	-137/100	-125/-109	32%	0%	0,0,1,0,1,2,2,0,1,0,0,1,0,2,0,2,2,0,3,2,0,1,0,2,1,2,0,1	25th	9th
-4.8	-4.1	-600 MGM	86%	MIN @ CLE	Bo Naylor	hr	u 0.5	'+500	-	'+400	'+425/-600	428/-704	-	360	81%	100%	0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1	18th	20th
-4.8	-13.9	500 FD	17%	MIN @ CLE	Bo Naylor	hr	o 0.5	'+500	-	'+400	'+425/-600	428/-704	-	360	19%	0%	0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1	18th	20th
-4.8	-	-166 DK	62%	MIN @ CLE		f3_total	u 3.5	-	-	'+130/-166	'+130/-175	-	-	-	0%	0%		0	0
-4.8	-	-350 MGM	78%	MIN @ CLE		f3_spread	o 1.5	-	-	-360/+260	-350/+250	-	-360/270	-	0%	0%		0	0
-4.8	-	-115 DK	53%	MIN @ CLE		f5_ml	u  	-106/-118	-	-115/-115	-105/-120	-	-	-115/-115	0%	0%		0	0
-4.8	-	-115 DK	53%	MIN @ CLE		f3_ml	u  	-	-	-115/-115	-110/-118	-	-	-110/-120	0%	0%		0	0
-4.8	-	125 FD	44%	MIL @ CHW	William Contreras	rbi	o 0.5	'+125	-	'+115/-160	'+120/-155	-	123/-165	112/-154	45%	0%	0,0,0,0,0,0,0,0,0,2,2,1,2,1,2,0,1,0,1,0,1,0,2,0,0,0,1,1,1	20th	27th
-4.8	-	-137 CZ	58%	MIL @ CHW	Rhys Hoskins	r	u 0.5	-115	-	'+105/-145	'+105/-145	-	120/-165	100/-137	79%	100%	0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,2,0,0,0,0,0,0,1,0	17th	4th
-4.8	-	-315 BR	76%	MIL @ CHW	Matt Thaiss	tb	u 1.5	-	-	'+235	-	-	210/-315	-	95%	100%	0,2,0,0,1,1,1,1,0,1,1,1,0,0,1,0,0,0,1,1,0	14th	8th
-4.8	-	-105 MGM	51%	MIL @ CHW	Matt Thaiss	h	o 0.5	-	-	-110/-125	-105/-120	-	-114/-114	-109/-125	43%	0%	0,2,0,0,1,0,1,0,0,1,1,1,0,0,1,0,0,0,1,1,0	13th	9th
-4.8	-4.3	-1200 MGM	92%	MIL @ CHW	Caleb Durbin	hr	u 0.5	'+750	-	'+700	'+725/-1200	704/-1515	-	550	92%	100%	0,0,0,1,0,0,0,0,0,0,0,0	21st	27th
-4.8	-7.1	143 BR	41%	MIL @ CHW	Andrew Vaughn	tb	o 1.5	'+120	-	'+130/-185	'+130/-185	136/-186	143/-200	126/-174	11%	0%	0,1,1,1,1,0,1,1,0,0,0,0,0,1,1,1,1,1,0,2,1,1,2,0,0,2,1,1	14th	8th
-4.8	-	148 BR	40%	MIL @ CHW	Andrew Vaughn	r	o 0.5	'+125	-	'+135/-190	'+135/-190	-	148/-210	133/-184	21%	0%	0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0	15th	26th
-4.8	-	-3000 MGM	97%	MIL @ CHW		home_total	u 8.5	-	-	'+1400/-3500	'+950/-3000	-	-	900/-3300	0%	0%		0	0
-4.8	-4.6	-140 ESPN	58%	MIL @ CHW		f5_total	u 5.0	-	-	-	'+110/-145	118/-136	-	-	0%	0%		0	0
-4.8	-	-160 MGM	62%	MIL @ CHW		f5_ml	o  	-164/+130	-	-166/+130	-160/+130	-	-	-160/130	0%	0%		0	0
-4.8	-5.4	-115 MGM	53%	KC @ TB	Shane Baz	k	u 5.5	-102/-126	-	-110/-115	-110/-115	-112/-118	-114/-117	-113/-121	20%	100%	10,6,11,3,6	3rd	29th
-4.8	-	-590 BR	86%	KC @ TB	Junior Caminero	double	u 0.5	'+380	-	'+425/-700	-	-	350/-590	-	55%	100%	1,1,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,2,0,2,0,1,0,1,1,1,0	14th	19th
-4.8	-4.2	-1000 MGM	91%	KC @ TB	Jonathan India	hr	u 0.5	'+600	-	'+650	'+650/-1000	629/-1260	600/-1250	500	100%	100%	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	26th	22nd
-4.8	-	-3500 DK	97%	KC @ TB		away_total	u 9.5	-	-	'+1400/-3500	'+1150/-10000	-	-	-	0%	0%		0	0
-4.8	-	-330 ESPN	77%	KC @ TB		total	o 5.5	-	-	-343/+245	-	-	-435/260	-368/225	0%	0%		0	0
-4.8	-	-220 ESPN	69%	KC @ TB		home_total	u 5.5	'+182/-240	-	'+175/-230	'+170/-225	-	-	163/-225	0%	0%		0	0
