EV	PN EV	EV Book	Imp	Game	Player	Prop	O/U	FD	Bet365	DK	MGM	PN	Kambi	CZ	SZN	LYR	Splits	Opp Rank	LYR Opp Rank
-38.4	-	900 FD	10%	ATH @ TEX	Jonah Heim	tb	o 4.5	'+900	-	-	-	-	-	-	0%	0%	2,0,2,0,0,3,0,1,2,1,1,1,1,0,1,0,1,1,1,1,2,2,1	27th	23rd
-38.5	-	500 FD	17%	MIN @ CLE	Ty France	rbi	o 1.5	'+500	-	'+500	-	-	-	-	13%	0%	0,0,0,0,1,1,0,0,0,0,0,2,1,2,0,1,0,1,1,0,0,0,1,1,0,0,1,2,2,1,0	21st	2nd
-38.5	-	500 FD	17%	KC @ TB	Taylor Walls	h	o 1.5	'+500	-	'+500	-	-	-	-	0%	0%	0,1,1,0,0,0,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0	6th	13th
-38.5	-	500 FD	17%	KC @ TB	Bobby Witt	rbi	o 1.5	'+500	-	'+500	-	-	-	-	0%	0%	0,1,1,1,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1	9th	7th
-38.8	-	750 DK	12%	WSH @ PHI	Jose Tena	sb	o 0.5	'+640	-	'+750/-1400	-	-	-	-	0%	0%		11th	7th
-38.8	-	375 MGM	21%	WSH @ PHI		f5_total	u 2.5	-	-	-	-600/+375	-	-	-	0%	0%		0	0
-38.8	-	750 DK	12%	DET @ LAA	Dillon Dingler	rbi	o 1.5	'+600	-	'+750	-	-	-	-	14%	0%	3,0,2,0,1,0,1,0,1,0,1,0,0,0,0,0,0,2,0,1,0,0	26th	25th
-38.9	-	559 DK	15%	CHC @ PIT		spread	o -4.0	-	-	'+559/-1040	-	-	-	506/-1308	0%	0%		0	0
-39.4	-	1100 MGM	8%	BOS @ TOR	Alejandro Kirk	hr	o 0.5	'+1000	-	'+1100	'+1100/-2500	-	800/-2000	650	9%	0%	0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1	8th	19th
-39.6	-	470 FD	18%	WSH @ PHI		f5_total	o 9.5	'+470/-850	-	-	-	-	-	-	0%	0%		0	0
