EV	EV Book	Game	Player	Prop	O/U	FD	DK	MGM	BV	PB	PN	Kambi	CZ
5.3	dk	MIN @ PHI	Justin Evans	tackles+ast	u 4.5	-	-190/+145	-	-	-	-	-	-154/112
2.0	pb	MIN @ PHI	Tj Hockenson	rec	o 4.5	-186/144	-	-175/130	-190/+145	-150/115	-190/140	-	-204/146
1.6	cz	MIN @ PHI	Justin Evans	tackles+ast	o 4.5	-	-190/+145	-	-	-	-	-	-154/112
1.6	dk	MIN @ PHI	Alexander Mattison	rec_yd	u 14.5	-	-130/+100	-	-	-	-101/-131	-110/-118	-123/-111
0.9	pb	MIN @ PHI		away_total	u 20.5	-	-115/-105	-	-110/-120	-130/100	-103/-114	-	-
0.5	dk	MIN @ PHI	Dandre Swift	rush_yd	u 33.5	-	-140/+110	-115/-115	-	-	-118/-112	-	-148/108
0.3	mgm	MIN @ PHI	Dandre Swift	rush_yd	o 33.5	-	-140/+110	-115/-115	-	-	-118/-112	-	-148/108
0.2	cz	MIN @ PHI	Kirk Cousins	pass_cmp	u 24.5	-102/-130	-115/-115	-	-	-105/-125	-	104/-136	-125/-109
-0.0	dk	MIN @ PHI	Devonta Smith	rec_yd	u 62.5	-	-135/+105	-115/-115	-	-	-117/-113	-	-131/-104
-0.2	dk	MIN @ PHI	Zach Cunningham	tackles+ast	u 5.5	-	-135/+105	-115/-115	-	-	-	-	-129/-106
-0.5	mgm	MIN @ PHI	Zach Cunningham	tackles+ast	o 5.5	-	-135/+105	-115/-115	-	-	-	-	-129/-106
-0.5	dk	MIN @ PHI	Kirk Cousins	int	u 0.5	-	-135/+105	-120/-110	-	-	-124/-107	-120/-108	-
-0.5	mgm	MIN @ PHI		spread	o 6.0	-	-109/-119	100/-120	-110/-110	-110/-110	-108/-105	-108/-113	-117/-117
-0.6	dk	MIN @ PHI		1h_spread	o 3.5	-110/-110	-102/-118	-110/-110	-110/-110	-110/-110	-107/-107	-112/-110	-115/-105
-0.7	dk	MIN @ PHI	Jordan Addison	rec_yd	u 39.5	-	-135/+105	-120/-115	-	-	-132/-100	-122/-107	-117/-117
-0.9	cz	MIN @ PHI		1h_ml	u  	-	'+170/-205	180/-225	'+175/-210	165/-200	178/-205	170/-220	158/-190
-1.1	cz	MIN @ PHI	Dallas Goedert	rec_yd	u 46.5	-	-130/+100	-125/-105	-	-	-136/104	-	-154/112
-1.1	mgm	MIN @ PHI		spread	o 6.5	-125/-102	-115/-105	-110/-110	-125/-105	-125/-105	-116/103	-118/-104	-127/-108
-1.1	pb	MIN @ PHI		total	u 51.0	-	'+113/-146	115/-150	'+110/-145	110/-130	118/-138	116/-143	110/-151
-1.2	mgm	MIN @ PHI	Dallas Goedert	rec	o 4.5	-106/-120	-	105/-135	-115/-115	-110/-120	107/-142	-104/-125	-117/-117
-1.3	mgm	MIN @ PHI	Quez Watkins	rec	u 1.5	-	-	-130/100	-	-	-121/-110	-	-117/-117
-1.4	pb	MIN @ PHI		1h_spread	u 1.5	-	-	-	'+125/-165	120/-145	131/-153	-	-
-1.5	mgm	MIN @ PHI	Quez Watkins	longest_rec	u 11.5	-	-105/-125	-120/-110	-	-	-109/-122	-	-109/-125
-1.5	fd	MIN @ PHI	Jalen Hurts	pass_td	o 1.5	-120/-106	-135/+105	-135/100	-	-	-137/103	-132/102	-135/-101
-1.5	fd	MIN @ PHI		1h_total	u 24.5	-110/-110	-108/-112	100/-120	-105/-115	-110/-120	-102/-114	104/-129	100/-120
-1.5	mgm	MIN @ PHI		spread	o 12.5	-280/210	-257/+191	-225/170	-	-275/200	-	-265/195	-254/178
-1.5	mgm	MIN @ PHI		spread	o 11.5	-265/200	-238/+178	-210/160	-	-250/185	-	-240/180	-234/165
-1.6	mgm	MIN @ PHI		spread	o 13.5	-320/235	-281/+206	-250/190	-	-300/220	-	-295/215	-294/202
-1.6	mgm	MIN @ PHI		spread	o 10.5	-235/180	-208/+158	-190/145	-	-225/165	-	-215/165	-214/152
-1.7	mgm	MIN @ PHI		spread	o 7.5	-162/126	-145/+112	-140/115	-165/+125	-160/120	-153/133	-148/118	-151/110
-1.7	mgm	MIN @ PHI		spread	o 7.0	-	-132/+102	-125/105	-145/+110	-	-136/119	-132/108	-139/102
-1.8	cz	MIN @ PHI		total	o 22.5	-100000/4000	-	-	-	-	-	-	-16004/1500
-1.8	fd	MIN @ PHI		spread	u 10.5	-235/180	-208/+158	-190/145	-	-225/165	-	-215/165	-214/152
-2.0	dk	MIN @ PHI	Quez Watkins	rec_yd	o 14.5	-	-115/-115	-	-	-	-127/-103	-	-129/-106
-2.0	mgm	MIN @ PHI	Aj Brown	longest_rec	o 26.5	-	-125/-105	-110/-120	-120/-110	-	-121/-109	-	-123/-111
-2.0	cz	MIN @ PHI		1h_spread	u 3.5	-110/-110	-102/-118	-110/-110	-110/-110	-110/-110	-107/-107	-112/-110	-115/-105
-2.1	mgm	MIN @ PHI	Dallas Goedert	rec_yd	o 46.5	-	-130/+100	-125/-105	-	-	-136/104	-	-154/112
-2.1	fd	MIN @ PHI		spread	u 11.5	-265/200	-238/+178	-210/160	-	-250/185	-	-240/180	-234/165
-2.2	cz	MIN @ PHI	Kirk Cousins	pass_yd	u 262.5	-113/-113	-110/-120	-	-	-	-116/-114	-	-129/-106
-2.2	dk	MIN @ PHI	Justin Jefferson	rec_yd	o 92.5	-	-105/-125	-115/-115	-	-	-116/-114	-	-117/-117
-2.2	dk	MIN @ PHI	Jalen Hurts	pass_att	u 31.5	-	-145/+114	-130/-105	-	-	-	-136/104	-145/106
-2.2	mgm	MIN @ PHI	Devonta Smith	rec_yd	o 62.5	-	-135/+105	-115/-115	-	-	-117/-113	-	-131/-104
-2.2	mgm	MIN @ PHI		total	o 48.0	-	-129/+100	-120/100	-135/+105	-125/105	-128/110	-127/105	-129/-106
-2.3	bv	MIN @ PHI	Dallas Goedert	rec	u 4.5	-106/-120	-	105/-135	-115/-115	-110/-120	107/-142	-104/-125	-117/-117
-2.4	mgm	MIN @ PHI		spread	o 5.5	-102/-125	-101/-129	105/-130	-105/-125	-105/-125	100/-115	100/-122	-108/-127
-2.4	mgm	MIN @ PHI		spread	o 4.0	-	'+117/-152	125/-160	'+110/-145	-	118/-137	118/-148	110/-151
-2.5	mgm	MIN @ PHI		spread	o 9.5	-188/146	-174/+133	-165/125	-	-190/145	-	-180/140	-184/133
-2.6	dk	MIN @ PHI	Aj Brown	rec_yd	u 73.5	-	-125/-105	-	-	-	-113/-117	-115/-113	-119/-115
-2.6	mgm	MIN @ PHI		spread	o 5.0	-	'+104/-135	110/-145	100/-130	-	105/-122	106/-129	-103/-133
-2.7	cz	MIN @ PHI		1q_total	u 9.5	-	-120/+100	-120/-110	-125/-105	-	-119/102	-130/105	-125/105
-2.7	cz	MIN @ PHI		total	o 24.5	-20000/2500	-	-	-	-	-	-	-9004/1200
-2.7	bv	MIN @ PHI		away_total	o 20.5	-	-115/-105	-	-110/-120	-130/100	-103/-114	-	-
-2.8	cz	MIN @ PHI	Jalen Hurts	rush_att	u 9.5	-	-	100/-135	-	-105/-125	-	106/-137	-113/-121
-2.8	mgm	MIN @ PHI	Jalen Hurts	pass_att	o 31.5	-	-145/+114	-130/-105	-	-	-	-136/104	-145/106
-2.8	cz	MIN @ PHI		total	u 78.5	2500/-20000	-	-	-	-	-	-	1400/-11004
-2.8	pb	MIN @ PHI		total	u 50.5	102/-130	'+104/-134	105/-140	'+105/-135	-105/-125	110/-129	108/-130	102/-139
-2.8	mgm	MIN @ PHI		spread	o 4.5	108/-138	'+109/-141	115/-150	'+105/-135	105/-140	110/-127	110/-136	102/-139
-2.8	cz	MIN @ PHI		home_total	u 27.5	-112/-108	-110/-110	-	-	-	-	-	-115/-105
-2.8	mgm	MIN @ PHI		spread	o 16.5	-480/330	-411/+285	-375/270	-	-	-	-480/310	-454/287
-2.9	fd	MIN @ PHI	Kirk Cousins	pass_td	o 1.5	-113/-113	-125/-105	-120/-110	-	-	-122/-109	-122/-107	-127/-108
-2.9	dk	MIN @ PHI	Alexander Mattison	rush_yd	u 50.5	-	-105/-125	-	'+105/-135	-	123/-163	-110/-118	-103/-133
-2.9	cz	MIN @ PHI		away_total	u 21.5	102/-126	-	-	-	-	-	-	100/-120
-3.0	dk	MIN @ PHI	Kirk Cousins	pass_yd	o 262.5	-113/-113	-110/-120	-	-	-	-116/-114	-	-129/-106
-3.0	cz	MIN @ PHI	Jordan Addison	rec_yd	o 39.5	-	-135/+105	-120/-115	-	-	-132/-100	-122/-107	-117/-117
-3.0	fd	MIN @ PHI		total	u 44.5	-215/164	-201/+152	-190/145	-	-190/145	-	-200/155	-194/139
-3.0	cz	MIN @ PHI		total	o 32.5	-2500/900	-	-	-	-	-	-	-1404/594
-3.0	mgm	MIN @ PHI		1h_total	o 24.5	-110/-110	-108/-112	100/-120	-105/-115	-110/-120	-102/-114	104/-129	100/-120
-3.0	mgm	MIN @ PHI		1h_ml	o  	-	'+170/-205	180/-225	'+175/-210	165/-200	178/-205	170/-220	158/-190
-3.1	mgm	MIN @ PHI		spread	o 8.5	-180/140	-163/+125	-160/125	-180/+135	-175/135	-170/145	-165/132	-169/123
-3.1	dk	MIN @ PHI		home_total	o 27.5	-112/-108	-110/-110	-	-	-	-	-	-115/-105
-3.1	mgm	MIN @ PHI		spread	o 12.0	-	-251/+187	-225/165	-	-	-	-250/190	-254/178
-3.2	fd	MIN @ PHI	Jordan Addison	rec	u 3.5	-120/-104	-	-115/-115	-125/-105	-120/-110	-111/-119	-122/-107	-119/-115
-3.2	pb	MIN @ PHI	Jalen Hurts	pass_cmp	u 22.5	-102/-130	-	-	-	-110/-120	-	-	-
-3.2	fd	MIN @ PHI	Jalen Hurts	pass_cmp	o 22.5	-102/-130	-	-	-	-110/-120	-	-	-
-3.2	mgm	MIN @ PHI	Alexander Mattison	rec	u 2.5	-	-	-175/135	-	-	-	-	-166/120
-3.2	mgm	MIN @ PHI		1q_home_total	o 6.5	-	-	-125/100	-135/+105	-130/100	-127/109	-	-
-3.2	mgm	MIN @ PHI		total	o 48.5	-125/-102	-121/-107	-115/-105	-125/-105	-120/100	-119/102	-118/-103	-121/-113
-3.2	dk	MIN @ PHI		ml	u  	220/-270	'+210/-258	220/-275	'+220/-270	210/-260	223/-262	215/-275	210/-260
-3.3	pb	MIN @ PHI		spread	u 6.0	-	-109/-119	100/-120	-110/-110	-110/-110	-108/-105	-108/-113	-117/-117
-3.3	pb	MIN @ PHI		total	u 49.0	-	-112/-108	-110/-110	-115/-105	-115/-105	-111/-104	-113/-108	-115/-119
-3.3	cz	MIN @ PHI		total	o 34.5	-1200/630	-	-	-	-	-	-	-904/464
-3.3	mgm	MIN @ PHI		spread	o 13.0	-	-273/+202	-250/185	-	-	-	-286/210	-284/196
-3.3	fd	MIN @ PHI		1q_spread	o 1.5	-108/-112	-	-	-	-115/-115	-	-113/-109	-
-3.4	fd	MIN @ PHI	Kirk Cousins	pass_cmp	o 24.5	-102/-130	-115/-115	-	-	-105/-125	-	104/-136	-125/-109
-3.4	mgm	MIN @ PHI		1q_total	o 9.5	-	-120/+100	-120/-110	-125/-105	-	-119/102	-130/105	-125/105
-3.4	mgm	MIN @ PHI		spread	o 9.0	-	-169/+130	-165/125	-	-	-178/151	-175/138	-179/129
-3.4	pb	MIN @ PHI		total	u 48.5	-125/-102	-121/-107	-115/-105	-125/-105	-120/100	-119/102	-118/-103	-121/-113
-3.4	cz	MIN @ PHI		total	o 36.5	-800/480	-	-	-	-	-	-	-654/376
-3.4	fd	MIN @ PHI		2h_total	o 24.5	100/-122	-	-	-	-	-	-105/-120	-
-3.5	fd	MIN @ PHI	Tj Hockenson	rec_yd	o 49.5	-113/-113	-125/-105	-	-	-	-124/-107	-118/-110	-119/-115
-3.5	cz	MIN @ PHI	Quez Watkins	rec	o 1.5	-	-	-130/100	-	-	-121/-110	-	-117/-117
-3.5	mgm	MIN @ PHI		total	o 49.0	-	-112/-108	-110/-110	-115/-105	-115/-105	-111/-104	-113/-108	-115/-119
-3.6	cz	MIN @ PHI		total	o 30.5	-3500/1060	-	-	-	-	-	-	-2004/699
