	vs ECR	PTS	PLAYER	ATTD	REC	REC_YD	INC
WR131	'+13	0.5	Devin Duvernay	0.12	0.15	0.26	,rec,rec_yd,
WR132	'+9	0.5	Steven Sims	0.19	0.1	0.23	,rec,rec_yd,
WR133	'+2	0.5	Anthony Gould	-	0.15	0.35	,rec,rec_yd,
WR134	'+17	0.5	Tyrell Shavers	0.47	-	-	,rec,rec_yd,
WR135	-20	0.5	Jermaine Burton	0.12	0.1	0.24	,rec,rec_yd,
WR136	'+6	0.4	Deonte Harty	0.25	0.05	0.13	,rec,rec_yd,
WR137	-26	0.4	Derius Davis	0.12	0.1	0.2	,rec,rec_yd,
WR138	-	0.4	John Ross	0.36	-	-	,rec,rec_yd,
WR139	'+9	0.3	Bryce Ford Wheaton	-	0.1	0.24	,rec,rec_yd,
WR140	-21	0.3	Malachi Corley	-	0.1	0.2	,rec,rec_yd,
WR141	'+16	0.2	Devontez Walker	0.12	0.05	0.08	,rec,rec_yd,
WR142	'+11	0.2	Casey Washington	0.12	0.05	0.08	,rec,rec_yd,
WR143	0	0.2	Javon Baker	-	0.05	0.17	,rec,rec_yd,
WR144	-10	0.2	Jacob Cowing	-	0.05	0.16	,rec,rec_yd,
WR145	'+11	0.2	Chris Moore	0.21	-	-	,,
WR146	-29	0.2	Trenton Irwin	-	0.05	0.15	,rec,rec_yd,
WR147	-9	0.2	Tim Jones	0.06	0.05	0.08	,rec,rec_yd,
WR148	'+14	0.2	Jhaquan Jackson	-	0.05	0.13	,rec,rec_yd,
WR149	-12	0.2	Tyler Scott	-	0.05	0.11	,rec,rec_yd,
WR150	-11	0.1	Bub Means	-	0.05	0.07	,rec,rec_yd,
WR151	-20	0.1	James Proche	-	0.05	0.05	,rec,rec_yd,
WR152	-16	0.1	Brandon Johnson	0.09	-	-	,rec,rec_yd,
WR153	'+5	0.1	Dareke Young	0.06	-	-	,rec,rec_yd,
WR154	-30	0.1	Ronnie Bell	0.05	-	-	,rec,rec_yd,
WR155	-	0.0	Trent Taylor	0.05	-	-	,rec,rec_yd,
WR156	-11	0.0	Brenden Rice	-	-	0.04	,rec,rec_yd,
WR157	-	0.0	Isaiah Williams	-	-	-	,rec,rec_yd,
WR158	'+3	0.0	Irvin Charles	-	-	-	,rec,rec_yd,
WR159	-	0	Britain Covey	-	-	-	,,
WR160	-8	0.0	Alex Bachman	-	-	-	,rec,rec_yd,
