	vs ECR	PTS	PLAYER	ATTD	REC	REC_YD	INC
TE71	'+2	0.5	Chris Manhertz	0.15	0.1	0.21	,rec,rec_yd,
TE72	-7	0.4	Charlie Woerner	0.19	0.1	0.16	,rec,rec_yd,
TE73	'+18	0.3	John Samuel Shenker	-	0.1	0.25	,rec,rec_yd,
TE74	'+6	0.3	Quintin Morris	-	0.1	0.23	,rec,rec_yd,
TE75	'+2	0.3	Jack Stoll	0.05	0.1	0.17	,rec,rec_yd,
TE76	-	0.3	Colson Yankoff	0.28	-	-	,rec,rec_yd,
TE77	'+16	0.2	Stone Smartt	-	0.05	0.14	,rec,rec_yd,
TE78	-	0.2	Devin Culp	-	0.05	0.14	,rec,rec_yd,
TE79	'+19	0.2	Jaheim Bell	-	0.05	0.13	,rec,rec_yd,
TE80	-10	0.2	Parker Hesse	0.18	-	-	,rec,rec_yd,
TE81	-	0.2	Josiah Deguara	-	0.05	0.1	,rec,rec_yd,
TE82	'+13	0.1	Tanner Mclachlan	-	0.05	0.07	,rec,rec_yd,
TE83	'+4	0.1	Geoff Swaim	0.12	-	-	,rec,rec_yd,
TE84	-	0.1	Feleipe Franks	0.12	-	-	,rec,rec_yd,
TE85	-4	0.1	Jake Tonges	0.08	-	-	,rec,rec_yd,
TE86	-7	0.1	Brenden Bates	0.06	-	-	,rec,rec_yd,
TE87	-13	0.0	Dallin Holker	-	-	0.04	,rec,rec_yd,
TE88	'+11	0.0	Travis Vokolek	-	-	-	,rec,rec_yd,
TE89	'+8	0.0	Thomas Odukoya	-	-	-	,rec,rec_yd,
TE90	-7	0.0	Ross Dwelley	-	-	-	,rec,rec_yd,
TE91	'+5	0.0	Rodney Williams	-	-	-	,rec,rec_yd,
TE92	'+2	0.0	Mycole Pruitt	-	-	-	,rec,rec_yd,
TE93	-21	0.0	Marcedes Lewis	-	-	-	,rec,rec_yd,
TE94	-8	0.0	Luke Musgrave	-	-	-	,rec,rec_yd,
TE95	-20	0.0	Ko Kieft	-	-	-	,rec,rec_yd,
TE96	-	0.0	Justin Shorter	-	-	-	,rec,rec_yd,
TE97	-	0.0	John Stephens	-	-	-	,rec,rec_yd,
TE98	-27	0.0	Eric Tomlinson	-	-	-	,rec,rec_yd,
TE99	-	0.0	David Martin Robinson	-	-	-	,rec,rec_yd,
TE100	-	0	Brayden Willis	-	-	-	,,
TE101	-13	0.0	Brady Russell	-	-	-	,rec,rec_yd,
