Season,Name,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,playerId
2023,"Luke Voit","MIL",5,10,10,1,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0.1,14811
2023,"Mike Yastrzemski","SFG",6,10,10,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.2,14854
2023,"Tony Kemp","OAK",7,11,8,2,1,1,0,0,1,1,3,0,2,0,0,0,0,0,0,0.25,14894
2023,"Ryan McMahon","COL",10,15,14,3,1,1,0,1,2,1,1,0,7,0,0,0,3,0,0,0.21428571,15112
2023,"Tim Anderson","CHW",5,10,10,5,3,2,0,0,3,2,0,0,1,0,0,0,0,2,0,0.5,15172
2023,"Adam Frazier","BAL",6,12,10,2,2,0,0,0,2,0,2,0,0,0,0,0,1,0,0,0.2,15223
2023,"Garrett Cooper","MIA",4,10,8,6,5,0,1,0,0,1,2,0,1,0,0,0,0,0,0,0.75,15279
2023,"Jeff McNeil","NYM",11,26,18,4,2,2,0,0,2,2,7,0,2,1,0,0,2,1,0,0.22222222,15362
2023,"Kris Bryant","COL",5,13,12,1,0,1,0,0,1,0,1,0,4,0,0,0,0,0,0,0.08333333,15429
2023,"Hunter Renfroe","LAA",6,13,11,6,4,0,0,2,5,3,2,0,1,0,0,0,0,0,0,0.54545455,15464
2023,"J.P. Crawford","SEA",6,10,10,2,1,1,0,0,1,0,0,0,4,0,0,0,0,0,0,0.2,15491
2023,"Amed Rosario","CLE",6,15,14,2,1,1,0,0,0,0,1,0,2,0,0,0,1,1,0,0.14285714,15518
2023,"Dominic Smith","WSN",10,21,19,7,7,0,0,0,4,2,2,0,2,0,0,0,0,0,0,0.36842105,15653
2023,"Jose Abreu","HOU",8,14,12,3,2,1,0,0,1,1,2,1,0,0,0,0,0,0,0,0.25,15676
2023,"Tyler O'Neill","STL",6,11,10,1,1,0,0,0,2,0,1,0,3,0,0,0,1,1,0,0.1,15711
2023,"Yonathan Daza","COL",4,11,11,4,3,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0.36363636,15794
2023,"Aledmys Diaz","OAK",8,16,15,2,2,0,0,0,1,0,1,0,4,0,0,0,1,0,0,0.13333333,15937
2023,"Austin Nola","SDP",5,12,11,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0.09090909,15941
2023,"Willy Adames","MIL",6,14,11,2,2,0,0,0,1,0,3,0,6,0,0,0,1,0,1,0.18181818,15986
2023,"Cody Bellinger","CHC",6,11,10,0,0,0,0,0,1,1,1,0,2,0,0,0,0,1,0,0,15998
2023,"J.D. Davis","SFG",6,11,10,3,3,0,0,0,0,1,0,0,4,0,1,0,0,0,0,0.3,16219
2023,"Trea Turner","PHI",10,23,20,5,4,1,0,0,2,0,3,2,3,0,0,0,0,0,0,0.25,16252
2023,"Michael Conforto","SFG",7,12,11,1,0,0,0,1,2,2,0,0,5,1,0,0,0,1,0,0.09090909,16376
2023,"Thairo Estrada","SFG",6,14,13,2,2,0,0,0,1,0,1,0,4,0,0,0,0,0,0,0.15384615,16426
2023,"Christian Arroyo","BOS",8,15,15,2,2,0,0,0,1,0,0,0,5,0,0,0,1,0,0,0.13333333,16434
2023,"Kyle Schwarber","PHI",8,21,20,4,1,1,0,2,3,2,1,0,8,0,0,0,0,0,0,0.2,16478
2023,"Matt Chapman","TOR",8,21,20,11,6,3,0,2,6,8,1,0,5,0,0,0,0,1,1,0.55,16505
2023,"Danny Jansen","TOR",4,11,11,1,1,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0.09090909,16535
2023,"Ozzie Albies","ATL",8,14,14,5,5,0,0,0,1,1,0,0,3,0,0,0,1,0,0,0.35714286,16556
