NAME	TEAM	OPP	PROP	SZN AVG	% OVER	L3 % OVER	LAST GAMES ➡️	LAST YR % OVER	DK	FD
Ezekiel Elliott	DAL	TEN	ATTD	0.8	69%	100%	1,1,1,1,1,2,2,1,0,0,1,0,0	47%	-180	-155
Austin Ekeler	LAC	LAR	ATTD	1.1	67%	100%	2,1,1,0,1,1,0,2,2,1,2,3,0,0,0	81%	-155	-145
Jahan Dotson	WSH	CLE	ATTD	0.7	60%	100%	1,1,1,0,0,0,1,0,1,2	0%	'+220	'+250
Christian Mccaffrey	SF	LV	ATTD	0.7	60%	100%	1,1,2,1,0,0,1,2,0,0,1,1,0,0,1	29%	-170	-165
James Conner	ARI	ATL	ATTD	0.7	58%	100%	1,1,1,1,1,2,0,0,0,0,0,1	73%	-110	-110
Tee Higgins	CIN	BUF	ATTD	0.5	54%	100%	1,1,1,1,0,0,1,0,0,1,0,1,0	36%	'+140	0
Mecole Hardman	KC	DEN	ATTD	0.8	50%	100%	1,3,1,0,0,0,0,1	12%	0	0
Dawson Knox	BUF	CIN	ATTD	0.4	36%	100%	1,1,1,0,0,0,0,0,1,1,0,0,0,0	47%	'+225	0
Aj Dillon	GB	MIN	ATTD	0.4	33%	100%	1,2,1,1,0,0,0,0,0,0,0,0,0,0,1	29%	'+105	'+125
Jerick Mckinnon	KC	DEN	ATTD	0.5	33%	100%	1,2,2,1,0,0,0,0,0,0,0,0,0,1,0	14%	'+140	'+165
Saquon Barkley	NYG	IND	ATTD	0.7	67%	67%	1,1,0,1,1,0,1,1,0,1,1,0,1,0,1	23%	-140	-160
Dalvin Cook	MIN	GB	ATTD	0.7	60%	67%	0,1,1,1,0,0,1,1,1,1,2,0,1,0,0	38%	-125	-115
Jamarr Chase	CIN	BUF	ATTD	0.7	55%	67%	0,1,1,0,2,2,0,0,1,0,1	53%	-110	0
Justin Jefferson	MIN	GB	ATTD	0.6	53%	67%	1,1,0,1,1,0,1,1,0,0,0,1,0,0,2	53%	-110	'+105
Tyler Lockett	SEA	NYJ	ATTD	0.6	50%	67%	0,1,1,1,1,1,1,0,0,2,0,0,0,0	38%	'+170	'+210
Najee Harris	PIT	BAL	ATTD	0.5	47%	67%	0,1,1,0,1,2,0,0,0,1,0,0,1,0,1	53%	'+135	'+150
Isaiah Hodgins	NYG	IND	ATTD	0.4	43%	67%	1,0,1,1,0,0,0	0%	'+205	'+300
Taysom Hill	NO	PHI	ATTD	0.6	43%	67%	1,0,1,0,0,0,0,0,1,0,3,1,0,1	25%	'+205	'+280
Josh Allen	BUF	CIN	ATTD	0.5	40%	67%	1,0,1,0,1,0,0,2,0,0,0,1,0,0,1	29%	'+130	0
Devonta Smith	PHI	NO	ATTD	0.5	40%	67%	2,0,1,1,0,0,1,0,0,1,0,0,1,0,0	24%	'+125	'+170
Marlon Mack	DEN	KC	ATTD	0.4	40%	67%	0,1,1,0,0	0%	'+1000	'+800
Dj Moore	CAR	TB	ATTD	0.4	40%	67%	1,1,0,1,0,0,0,1,1,0,0,0,0,1,0	18%	0	'+230
Jaylen Waddle	MIA	NE	ATTD	0.5	40%	67%	1,1,0,0,0,0,1,2,0,0,0,0,0,2,1	38%	'+160	'+210
Tyreek Hill	MIA	NE	ATTD	0.5	40%	67%	0,1,1,1,0,1,1,0,0,0,0,0,0,2,0	35%	'+155	'+145
Trenton Irwin	CIN	BUF	ATTD	0.5	38%	67%	2,0,1,0,0,1,0,0	0%	'+450	0
George Kittle	SF	LV	ATTD	0.6	38%	67%	2,2,0,0,0,2,0,1,1,0,0,0,0	36%	'+105	'+140
David Montgomery	CHI	DET	ATTD	0.4	36%	67%	0,2,1,0,1,0,0,0,1,0,1,0,0,0	38%	'+115	-110
Adam Thielen	MIN	GB	ATTD	0.3	33%	67%	0,1,1,0,1,0,0,0,0,1,0,0,1,0,0	62%	'+210	'+250
Byron Pringle	CHI	DET	ATTD	0.3	33%	67%	0,1,1,0,0,0	25%	'+450	'+360
Cam Akers	LAR	LAC	ATTD	0.5	31%	67%	3,0,1,2,0,0,0,0,0,0,1,0,0	0%	'+130	'+125
Dallas Goedert	PHI	NO	ATTD	0.3	30%	67%	0,1,1,0,0,0,0,1,0,0	20%	'+225	'+250
Peyton Hendershot	DAL	TEN	ATTD	0.3	30%	67%	1,0,1,0,0,0,1,0,0,0	0%	'+1300	'+1800
Trevor Lawrence	JAX	HOU	ATTD	0.3	27%	67%	1,0,1,0,0,0,0,0,1,2,0,0,0,0,0	12%	'+370	'+400
Terry Mclaurin	WSH	CLE	ATTD	0.3	27%	67%	1,0,1,0,0,0,0,0,1,0,0,0,0,0,1	24%	'+150	'+180
Noah Fant	SEA	NYJ	ATTD	0.3	27%	67%	1,1,0,1,0,0,0,0,0,0,0,1,0,0,0	25%	'+350	'+340
Kj Osborn	MIN	GB	ATTD	0.3	27%	67%	0,1,1,0,0,0,0,0,1,0,0,0,1,0,0	41%	'+290	'+400
Patrick Mahomes	KC	DEN	ATTD	0.3	27%	67%	1,1,0,1,0,0,0,1,0,0,0,0,0,0,0	12%	'+295	'+380
Raheem Blackshear	CAR	TB	ATTD	0.3	27%	67%	1,0,1,0,0,0,1,0,0,0,0	0%	'+500	'+1000
Russell Gage	TB	CAR	ATTD	0.4	27%	67%	0,2,1,0,0,0,0,0,1,0,0	31%	'+390	'+390
Zay Jones	JAX	HOU	ATTD	0.4	21%	67%	0,3,1,0,0,0,0,0,0,0,0,1,0,0	7%	'+220	'+240
James Cook	BUF	CIN	ATTD	0.2	20%	67%	1,1,0,0,0,0,0,0,0,0,1,0,0,0,0	0%	'+205	0
Tyler Higbee	LAR	LAC	ATTD	0.2	14%	67%	2,1,0,0,0,0,0,0,0,0,0,0,0,0	27%	'+200	'+250
Miles Sanders	PHI	NO	ATTD	0.7	53%	33%	0,0,2,1,2,0,0,1,1,1,0,2,0,0,1	0%	-110	-105
Sam Darnold	CAR	TB	ATTD	0.5	50%	33%	1,0,0,1	25%	'+650	'+700
Justin Fields	CHI	DET	ATTD	0.6	50%	33%	0,0,1,1,2,1,1,1,0,0,0,0,1,0	17%	'+105	-105
Aj Brown	PHI	NO	ATTD	0.7	47%	33%	0,0,1,2,1,0,0,1,3,1,0,0,1,0,0	38%	'+105	'+140
Josh Jacobs	LV	SF	ATTD	0.7	47%	33%	0,0,1,1,2,0,1,0,0,3,1,2,0,0,0	53%	'+100	'+155
Cordarrelle Patterson	ATL	ARI	ATTD	0.5	45%	33%	0,1,0,0,0,0,2,1,1,0,1	44%	'+165	'+125
Latavius Murray	DEN	KC	ATTD	0.5	45%	33%	0,1,0,0,0,1,0,1,1,0,1	43%	'+200	'+240
Gabe Davis	BUF	CIN	ATTD	0.5	43%	33%	1,0,0,1,0,0,1,0,0,1,2,0,0,1	33%	'+170	0
Jeff Wilson Jr	MIA	NE	ATTD	0.4	43%	33%	1,0,0,1,1,1,0,0,0,1,1,0,0,0	33%	'+185	'+230
Christian Watson	GB	MIN	ATTD	0.8	42%	33%	0,0,2,1,2,3,0,0,0,1,0,0	0%	'+165	'+150
Deebo Samuel	SF	LV	ATTD	0.4	42%	33%	1,0,0,1,0,0,0,1,1,0,0,1	69%	'+110	0
Dk Metcalf	SEA	NYJ	ATTD	0.4	40%	33%	0,0,1,1,0,0,1,1,0,0,1,0,1,0,0	47%	'+160	'+200
Kadarius Toney	KC	DEN	ATTD	0.4	40%	33%	1,0,0,1,0	0%	'+300	'+280
Ceedee Lamb	DAL	TEN	ATTD	0.5	40%	33%	2,0,0,1,0,0,2,1,0,0,0,1,1,0,0	25%	'+105	'+100
Mycole Pruitt	ATL	ARI	ATTD	0.4	38%	33%	0,0,1,1,0,0,0,1	30%	'+700	'+900
Van Jefferson	LAR	LAC	ATTD	0.4	38%	33%	0,0,1,0,1,0,1,0	35%	'+260	'+370
Mike Williams	LAC	LAR	ATTD	0.4	36%	33%	0,0,1,0,1,0,0,0,1,1,0	44%	'+175	'+180
Juwan Johnson	NO	PHI	ATTD	0.5	36%	33%	0,2,0,1,1,1,0,2,0,0,0,0,0,0	25%	'+255	'+370
James Robinson	NYJ	SEA	ATTD	0.5	36%	33%	0,0,1,0,0,0,0,0,1,1,2	50%	'+1200	0
Tyler Boyd	CIN	BUF	ATTD	0.3	33%	33%	0,1,0,0,0,0,0,1,1,0,0,0,1,0,1	31%	'+330	0
Devin Singletary	BUF	CIN	ATTD	0.4	33%	33%	1,0,0,1,0,1,2,0,0,0,0,0,1,0,0	35%	'+135	0
Teagan Quitoriano	HOU	JAX	ATTD	0.3	33%	33%	0,1,0,0,0,1	0%	'+475	'+500
Amari Rodgers	HOU	JAX	ATTD	0.3	33%	33%	0,0,1	0%	'+550	'+500
Curtis Samuel	WSH	CLE	ATTD	0.3	33%	33%	1,0,0,0,1,0,1,0,0,0,0,0,0,1,1	0%	'+235	'+320
Mike White	NYJ	SEA	ATTD	0.3	33%	33%	0,1,0	0%	'+650	'+600
Marcedes Lewis	GB	MIN	ATTD	0.3	33%	33%	1,0,0,0,0,1	0%	'+850	'+650
Aaron Jones	GB	MIN	ATTD	0.5	33%	33%	0,1,0,1,0,1,0,0,2,0,0,0,0,2,0	40%	-115	-105
Brandon Aiyuk	SF	LV	ATTD	0.5	33%	33%	0,0,1,0,0,2,0,1,0,2,0,0,1,0,0	31%	'+145	'+130
Darren Waller	LV	SF	ATTD	0.3	33%	33%	0,1,0,0,1,0	18%	'+350	'+500
Shane Zylstra	DET	CHI	ATTD	0.7	33%	33%	3,0,0,0,0,1	0%	'+500	'+500
Dj Chark	DET	CHI	ATTD	0.3	33%	33%	0,0,1,0,1,0,0,0,1	67%	'+180	'+170
Jakobi Meyers	NE	MIA	ATTD	0.3	33%	33%	1,0,0,0,0,0,1,1,0,1,0,0	12%	'+175	'+180
Rhamondre Stevenson	NE	MIA	ATTD	0.4	33%	33%	0,1,0,0,0,0,1,0,1,2,0,0,1,0,0	25%	-120	'+105
Jerry Jeudy	DEN	KC	ATTD	0.5	31%	33%	0,0,3,0,0,1,0,0,0,1,0,0,1	0%	'+255	'+270
Rashid Shaheed	NO	PHI	ATTD	0.3	30%	33%	0,1,0,0,0,0,0,0,1,1	0%	'+425	'+270
Josh Reynolds	DET	CHI	ATTD	0.3	30%	33%	0,1,0,0,0,0,1,0,1,0	20%	'+400	'+420
Amon Ra St Brown	DET	CHI	ATTD	0.4	30%	33%	1,0,0,0,0,0,0,0,2,1	31%	-110	-115
Jk Dobbins	BAL	PIT	ATTD	0.4	29%	33%	0,0,1,0,0,2,0	0%	'+180	'+200
Daniel Jones	NYG	IND	ATTD	0.3	27%	33%	0,0,1,0,0,1,0,0,1,0,0,2,0,0,0	18%	'+225	'+210
Samaje Perine	CIN	BUF	ATTD	0.4	27%	33%	0,0,1,0,1,3,0,0,0,0,0,0,1,0,0	13%	'+380	0
Tj Hockenson	MIN	GB	ATTD	0.4	27%	33%	2,0,0,0,1,0,0,0,0,0,0,2,1,0,0	33%	'+195	'+230
Mack Hollins	LV	SF	ATTD	0.3	27%	33%	0,1,0,0,1,0,0,0,0,1,0,0,1,0,0	31%	'+600	'+470
George Pickens	PIT	BAL	ATTD	0.3	27%	33%	1,0,0,0,0,1,1,0,1,0,0,0,0,0,0	0%	'+250	'+390
Lawrence Cager	NYG	IND	ATTD	0.2	25%	33%	0,0,1,0	0%	'+2000	'+1600
Gardner Minshew	PHI	NO	ATTD	0.2	25%	33%	1,0,0,0	0%	'+500	'+370
David Njoku	CLE	WSH	ATTD	0.2	25%	33%	0,0,1,1,0,0,0,0,0,1,0,0	27%	'+280	'+330
Deshaun Watson	CLE	WSH	ATTD	0.2	25%	33%	1,0,0,0	0%	'+475	'+440
Marquise Goodwin	SEA	NYJ	ATTD	0.3	25%	33%	0,0,1,0,0,1,0,2,0,0,0,0	7%	0	0
Samori Toure	GB	MIN	ATTD	0.2	25%	33%	0,0,1,0	0%	'+700	'+1100
Brandon Johnson	DEN	KC	ATTD	0.2	25%	33%	0,0,1,0	0%	'+1300	0
Nkeal Harry	CHI	DET	ATTD	0.2	25%	33%	0,0,1,0	0%	'+900	'+1000
Jameson Williams	DET	CHI	ATTD	0.2	25%	33%	0,0,1,0	0%	'+370	'+650
Salvon Ahmed	MIA	NE	ATTD	0.2	25%	33%	1,0,0,0	0%	'+1300	'+440
Michael Gallup	DAL	TEN	ATTD	0.3	25%	33%	1,0,0,2,0,0,0,0,0,0,0,1	22%	'+245	'+270
Malik Davis	DAL	TEN	ATTD	0.2	25%	33%	1,0,0,0	0%	'+220	0
Jordan Akins	HOU	JAX	ATTD	0.2	23%	33%	0,1,0,0,1,0,0,0,0,0,0,0,1	0%	'+370	'+410
Chris Godwin	TB	CAR	ATTD	0.2	23%	33%	0,1,0,0,1,1,0,0,0,0,0,0,0	43%	'+165	'+150
Dante Pettis	CHI	DET	ATTD	0.2	23%	33%	1,0,0,0,0,0,0,0,1,0,0,0,1	33%	'+550	'+500
Tyler Allgeier	ATL	ARI	ATTD	0.2	21%	33%	0,1,0,0,0,0,0,1,1,0,0,0,0,0	0%	'+100	'+110
Richie James	NYG	IND	ATTD	0.2	21%	33%	0,0,1,0,1,1,0,0,0,0,0,0,0,0	0%	'+310	'+360
Marvin Jones Jr	JAX	HOU	ATTD	0.2	21%	33%	0,1,0,0,1,0,0,0,0,0,0,1,0,0	24%	'+300	'+490
Donta Foreman	CAR	TB	ATTD	0.4	21%	33%	1,0,0,0,0,1,0,3,0,0,0,0,0,0	33%	'+125	'+150
Deon Jackson	IND	NYG	ATTD	0.2	20%	33%	0,1,0,0,0,0,0,1,0,0	33%	'+380	'+350
Evan Engram	JAX	HOU	ATTD	0.3	20%	33%	0,0,2,1,0,0,0,1,0,0,0,0,0,0,0	20%	'+185	'+210
Joshua Kelley	LAC	LAR	ATTD	0.2	20%	33%	0,1,0,0,0,1,0,0,0,0	0%	'+150	'+130
Zonovan Knight	NYJ	SEA	ATTD	0.2	20%	33%	0,0,1,0,0	0%	'+135	'+125
Cj Ham	MIN	GB	ATTD	0.2	20%	33%	0,1,0,0,1,0,0,0,0,0	0%	'+1500	'+1600
Greg Dulcich	DEN	KC	ATTD	0.2	20%	33%	1,0,0,0,0,0,0,0,0,1	0%	0	0
Rachaad White	TB	CAR	ATTD	0.2	20%	33%	1,0,0,1,0,0,0,0,0,0,0,1,0,0,0	0%	'+225	'+250
Kevin Harris	NE	MIA	ATTD	0.2	20%	33%	0,0,1,0,0	0%	'+1500	'+1500
Josh Oliver	BAL	PIT	ATTD	0.2	20%	33%	0,0,1,0,0,0,0,0,0,1	0%	'+950	'+1000
Brandin Cooks	HOU	JAX	ATTD	0.2	18%	33%	1,0,0,0,0,0,0,1,0,0,0	31%	'+180	'+165
Kyle Juszczyk	SF	LV	ATTD	0.2	18%	33%	0,1,0,0,0,0,0,0,0,1,0	13%	'+1000	0
Brock Wright	DET	CHI	ATTD	0.2	18%	33%	0,1,0,0,0,0,1,0,0,0,0	29%	'+370	'+650
Chuba Hubbard	CAR	TB	ATTD	0.2	17%	33%	0,0,1,0,0,0,1,0,0,0,0,0	38%	'+225	'+260
Davis Mills	HOU	JAX	ATTD	0.2	15%	33%	0,1,0,1,0,0,0,0,0,0,0,0,0	0%	'+500	'+1000
Boston Scott	PHI	NO	ATTD	0.2	15%	33%	0,0,1,0,0,0,0,0,0,0,0,0,1	56%	'+800	'+700
