NAME	OVER	POS	R/L	Batting #	B. AVG	TEAM	A/H	OPP	OPP RANK	OPP RANK LYR	PROP	LINE	LAST (old ➡️ new)	AVG	% OVER	L10 % OVER	CAREER % OVER	% OVER VS TEAM	VS TEAM	PITCHER	THROWS	VS PITCHER	UNDER
Marcell Ozuna	'+105	DH	R	3	.316	ATL	@	BAL	12th	8th	bb	0.5	0,0,1,1,0,0,0,0,0,1	0.45	39%	30%	29%	40%	.231 3-13, 1 HR, 1 RBI, 4 BB, 2 SO	Povich	L		-140
Spencer Steer	'+255	LF	R	4	.239	CIN	v	CLE	8th	16th	bb	0.5	0,0,0,0,0,0,0,0,1,0	0.49	38%	10%	38%	20%	.200 4-20, 0 HR, 3 RBI, 1 BB, 6 SO	Bibee	R		-370
Brandon Lowe	'+175	2B	L	2	.205	TB	v	CHC	22nd	15th	bb	0.5	1,1,0,0,1,0,0,0,2,0	0.42	38%	40%	36%	43%	.200 3-15, 2 HR, 5 RBI, 1 BB, 6 SO	Assad	R		-240
David Fry	'+150	LF	R	5	.326	CLE	@	CIN	18th	27th	bb	0.5	0,0,1,1,0,0,0,0,0,0	0.51	38%	20%	16%	0%	.000 0-3, 0 HR, 0 RBI, 0 BB, 0 SO	Lodolo	L		-200
Corey Julks	'+230	RF	R	1	.263	CHW	@	SEA	1st	2nd	bb	0.5	0,0,0,0,1,0,1,0,0,0	0.38	38%	20%	0%	0%	.100 1-10, 1 HR, 1 RBI, 0 BB, 4 SO	Miller	R	.000 0-2, 0 HR, 0 RBI, 0 BB, 1 SO	-330
Paul Goldschmidt	'+130	1B	R	3	.225	STL	v	PIT	19th	25th	bb	0.5	0,0,0,1,0,0,0,0,1,0	0.4	37%	20%	42%	49%	.231 12-52, 0 HR, 3 RBI, 8 BB, 10 SO	Falter	L	.500 2-4, 0 HR, 0 RBI, 0 BB, 0 SO	-170
Christian Yelich	'+115	LF	L	3	.314	MIL	v	TOR	14th	9th	bb	0.5	2,0,0,0,0,1,0,0,0,0	0.46	37%	20%	41%	45%	.176 3-17, 0 HR, 0 RBI, 4 BB, 5 SO	Bassitt	R	.167 1-6, 0 HR, 0 RBI, 0 BB, 4 SO	-150
Shohei Ohtani	-105	DH	L	2	.315	LAD	v	TEX	25th	10th	bb	0.5	1,1,1,0,0,0,0,1,0,2	0.46	37%	50%	38%	32%	.378 14-37, 6 HR, 12 RBI, 11 BB, 6 SO	Gray	R	.400 4-10, 2 HR, 5 RBI, 0 BB, 2 SO	-125
Nolan Gorman	'+185	2B	L	-	.231	STL	v	PIT	19th	25th	bb	0.5	0,1,1,0,0,1,1,0,0,0	0.43	37%	40%	33%	38%	.250 11-44, 2 HR, 10 RBI, 4 BB, 16 SO	Falter	L	.000 0-2, 0 HR, 0 RBI, 0 BB, 0 SO	-255
Randy Arozarena	'+135	LF	R	3	.175	TB	v	CHC	22nd	15th	bb	0.5	0,1,1,2,2,0,0,0,0,0	0.48	37%	40%	32%	27%	.200 2-10, 0 HR, 1 RBI, 2 BB, 3 SO	Assad	R		-180
