NAME	OVER	POS	R/L	Batting #	B. AVG	TEAM	A/H	OPP	OPP RANK	OPP RANK LYR	PROP	LINE	LAST (old ➡️ new)	AVG	% OVER	L10 % OVER	CAREER % OVER	% OVER VS TEAM	VS TEAM	PITCHER	THROWS	VS PITCHER	UNDER
Gary Sanchez	'+225	C	R	-	.152	MIL	@	STL	12th	6th	rbi	0.5	0,0,0,0,2,0,0,0,0,0	0.18	9%	10%	32%	0%	.267 4-15, 0 HR, 0 RBI, 0 BB, 2 SO	Gray	R	.000 1-1, 0 HR, 0 RBI, 2 BB, 0 SO	-320
Luis Arraez	'+215	2B	L	1	.270	MIA	@	CHC	15th	16th	rbi	0.5	1,0,0,0,0,2,0,0,0,0	0.14	9%	20%	26%	8%	.371 13-35, 0 HR, 2 RBI, 3 BB, 4 SO	Hendricks	R	.000 0-3, 0 HR, 0 RBI, 0 BB, 0 SO	-300
Lenyn Sosa	'+260	3B	R	5	.143	CHW	@	PHI	7th	23rd	rbi	0.5	0,1,0,0,0,0,0,0,0,0	0.09	9%	10%	17%	0%	.077 1-13, 0 HR, 0 RBI, 0 BB, 3 SO	Nola	R		-380
David Hamilton	'+255	SS	L	-	.182	BOS	@	PIT	15th	9th	rbi	0.5	0,0,0,0,0,0,0,0,0,0	0.09	9%	0%	0%	0%		Perez	L		-370
Bobby Dalbec	'+165	3B	R	5	.038	BOS	@	PIT	15th	9th	rbi	0.5	0,0,0,0,0,0,0,0,0,1	0.08	8%	10%	29%	33%	.200 2-10, 0 HR, 1 RBI, 1 BB, 4 SO	Perez	L	.000 0-2, 0 HR, 0 RBI, 0 BB, 1 SO	-225
Emmanuel Rivera	'+210	3B	R	8	.242	MIA	@	CHC	15th	16th	rbi	0.5	0,1,0,0,0,0,0,0,0,0	0.07	7%	10%	26%	30%	.333 6-18, 0 HR, 2 RBI, 2 BB, 4 SO	Hendricks	R	.500 1-2, 0 HR, 0 RBI, 0 BB, 0 SO	-295
Jose Abreu	'+145	1B	R	7	.085	HOU	@	WSH	13th	4th	rbi	0.5	0,0,0,1,0,0,0,0,0,0	0.06	6%	10%	41%	33%	.263 5-19, 1 HR, 4 RBI, 1 BB, 3 SO	Parker	L		-195
Nick Fortes	'+275	C	R	9	.083	MIA	@	CHC	15th	16th	rbi	0.5	0,1,0,0,0,0,0,0,0,0	0.06	6%	10%	23%	9%	.143 2-14, 0 HR, 0 RBI, 1 BB, 1 SO	Hendricks	R		-400
Garrett Hampson	'+235	CF	R	9	.200	KC	v	BAL	17th	24th	rbi	0.5	0,0,0,1,0,0,0,0,0,0	0.06	6%	10%	18%	0%	.000 0-4, 0 HR, 0 RBI, 1 BB, 3 SO	Irvin	L	.333 1-3, 0 HR, 0 RBI, 1 BB, 0 SO	-330
Parker Meadows	'+205	CF	L	7	.087	DET	@	MIN	21st	27th	rbi	0.5	0,0,0,0,0,0,0,1,0,0	0.05	5%	10%	25%	0%	.067 1-15, 0 HR, 0 RBI, 1 BB, 7 SO	Varland	R		-290
Nathaniel Lowe	'+205	1B	L	5	.000	TEX	@	ATL	11th	15th	rbi	0.5	0	0.0	0%	20%	34%	14%	.143 2-14, 0 HR, 1 RBI, 2 BB, 5 SO	Vines	R		-285
Sean Bouchard	'+190	LF	R	-	.400	COL	v	SEA	5th	28th	rbi	0.5	0,0	0.0	0%	40%	32%	0%	.500 1-2, 0 HR, 0 RBI, 1 BB, 1 SO	Kirby	R		-260
Danny Jansen	'+215	C	R	6	.286	TOR	@	SD	22nd	30th	rbi	0.5	0,0	0.0	0%	30%	29%	0%	.200 2-10, 0 HR, 0 RBI, 1 BB, 1 SO	Musgrove	R	.000 0-2, 0 HR, 0 RBI, 0 BB, 0 SO	-300
Nick Senzel	'+255	3B	R	6	.200	WSH	v	HOU	27th	20th	rbi	0.5	0,0,0,0,0	0.0	0%	20%	25%	25%	.071 1-14, 0 HR, 0 RBI, 0 BB, 6 SO	Javier	R		-370
Alan Trejo	'+210	2B	R	-	.111	COL	v	SEA	5th	28th	rbi	0.5	0,0,0,0,0,0,0	0.0	0%	20%	25%	0%	.125 1-8, 0 HR, 0 RBI, 0 BB, 1 SO	Kirby	R		-300
Martin Maldonado	'+425	C	R	9	.057	CHW	@	PHI	7th	23rd	rbi	0.5	0,0,0,0,0,0,0,0,0,0	0.0	0%	0%	21%	17%	.200 2-10, 0 HR, 1 RBI, 1 BB, 3 SO	Nola	R	.000 0-5, 0 HR, 0 RBI, 0 BB, 3 SO	-750
Seby Zavala	'+200	C	R	-	.000	SEA	@	COL	30th	1st	rbi	0.5	0,0,0,0	0.0	0%	10%	19%	0%	.333 2-6, 0 HR, 0 RBI, 1 BB, 1 SO	Quantrill	R	.000 0-3, 0 HR, 0 RBI, 1 BB, 1 SO	-280
Nicky Lopez	'+330	2B	L	8	.170	CHW	@	PHI	7th	23rd	rbi	0.5	0,0,0,0,0,0,0,0,0,0	0.0	0%	0%	18%	25%	.364 4-11, 0 HR, 1 RBI, 3 BB, 2 SO	Nola	R	.500 1-2, 0 HR, 1 RBI, 0 BB, 0 SO	-500
Andy Pages	'+215	RF	R	8	.143	LAD	v	NYM	8th	13th	rbi	0.5	0,0,0,0	0.0	0%	0%	0%	0%	.143 1-7, 0 HR, 0 RBI, 0 BB, 4 SO	Houser	R		-310
Tomas Nido	'+400	C	R	9	0	NYM	@	LAD	23rd	18th	rbi	0.5	0	0.0	0%	0%	0%	0%		Glasnow	R		-700
