NAME	OVER	POS	R/L	Batting #	B. AVG	TEAM	A/H	OPP	OPP RANK	OPP RANK LYR	PROP	LINE	LAST (old ➡️ new)	AVG	% OVER	L10 % OVER	CAREER % OVER	% OVER VS TEAM	VS TEAM	PITCHER	THROWS	VS PITCHER	UNDER
Christopher Morel	'+105	3B	R	4	.237	CHC	@	ARI	2nd	3rd	so	1.5	1,0,2,0,1,0,2,2,0,2	0.73	27%	40%	37%	25%	.286 6-21, 2 HR, 2 RBI, 1 BB, 6 SO	Kelly	R		-140
Shea Langeliers	'+175	C	R	6	.200	OAK	v	STL	15th	8th	so	1.5	0,4,0,0,1,2,0,1,2,0	0.93	27%	30%	33%	0%	.286 2-7, 0 HR, 1 RBI, 1 BB, 2 SO	Gray	R	.000 0-2, 0 HR, 0 RBI, 0 BB, 1 SO	-240
Randy Arozarena	'+180	LF	R	3	.196	TB	v	LAA	21st	26th	so	1.5	0,0,3,3,1,1,2,0,1,0	1.0	27%	30%	28%	43%	.211 8-38, 2 HR, 4 RBI, 5 BB, 17 SO	Sandoval	L	.143 1-7, 0 HR, 0 RBI, 2 BB, 1 SO	-250
Dansby Swanson	'+150	SS	R	6	.245	CHC	@	ARI	2nd	3rd	so	1.5	1,0,2,1,1,1,0,0,3,1	1.0	27%	20%	27%	16%	.233 7-30, 1 HR, 3 RBI, 0 BB, 7 SO	Kelly	R	.111 1-9, 0 HR, 0 RBI, 0 BB, 2 SO	-205
Taylor Ward	'+200	LF	R	3	.306	LAA	@	TB	15th	17th	so	1.5	0,1,2,1,0,2,0,0,0,1	0.87	27%	20%	24%	14%	.288 15-52, 2 HR, 7 RBI, 3 BB, 9 SO	Eflin	R	.667 4-6, 0 HR, 3 RBI, 0 BB, 1 SO	-280
Austin Martin	-160	CF	R	8	.240	MIN	@	BAL	11th	11th	so	0.5	0,0,0,0,0,0,0,2,1,1	0.36	27%	30%	0%	0%		Irvin	L		'+120
Ryan Ohearn	-195	1B	L	3	.314	BAL	v	MIN	29th	29th	so	0.5	0,1,0,0,0,0,0,0,2,0	0.33	25%	20%	57%	65%	.125 2-16, 0 HR, 0 RBI, 1 BB, 6 SO	Varland	R		'+145
Aaron Judge	'+120	CF	R	3	.207	NYY	@	TOR	7th	6th	so	1.5	1,1,1,1,0,0,2,0,0,2	0.94	25%	20%	37%	37%	.300 15-50, 7 HR, 14 RBI, 16 BB, 20 SO	Bassitt	R	.333 1-3, 0 HR, 0 RBI, 0 BB, 1 SO	-155
Matt Chapman	'+170	3B	R	5	.200	SF	@	MIA	13th	4th	so	1.5	2,1,1,0,1,0,0,3,1,1	1.0	25%	20%	31%	0%	.400 4-10, 1 HR, 1 RBI, 2 BB, 3 SO	Cabrera	R		-230
Trent Grisham	'+140	CF	L	9	.000	NYY	@	TOR	7th	6th	so	1.5	2,1,0,1	1.0	25%	20%	26%	33%	.250 2-8, 1 HR, 1 RBI, 3 BB, 4 SO	Bassitt	R	.000 0-4, 0 HR, 0 RBI, 1 BB, 1 SO	-190
Maikel Garcia	'+180	3B	R	1	.182	KC	@	CHW	18th	18th	so	1.5	2,1,0,0,1,1,1,1,1,3	1.12	25%	20%	26%	29%	.196 11-56, 0 HR, 6 RBI, 7 BB, 17 SO	Nastrini	R		-250
Seth Brown	'+205	LF	L	5	.208	OAK	v	STL	15th	8th	so	1.5	2,0,1,0,2,1,1,1,0,3	1.06	25%	30%	22%	0%	.222 2-9, 0 HR, 3 RBI, 0 BB, 1 SO	Gray	R	.400 2-5, 0 HR, 1 RBI, 0 BB, 1 SO	-285
Cj Abrams	'+125	SS	L	1	.286	WSH	@	LAD	23rd	10th	so	1.5	1,1,1,2,0,1,0,3,1,0	1.08	25%	20%	12%	20%	.333 6-18, 2 HR, 4 RBI, 3 BB, 4 SO	Glasnow	R		-165
Amed Rosario	-125	RF	R	5	.318	TB	v	LAA	21st	26th	so	0.5	0,0,0,1,2,0,0,0,2,0	0.38	23%	30%	57%	28%	.364 8-22, 0 HR, 1 RBI, 0 BB, 0 SO	Sandoval	L	.091 1-11, 0 HR, 0 RBI, 0 BB, 0 SO	-105
Freddy Fermin	-220	C	R	8	.192	KC	@	CHW	18th	18th	so	0.5	0,1,1,0,0,0,0,0,0	0.22	22%	20%	54%	50%	.261 6-23, 0 HR, 1 RBI, 2 BB, 4 SO	Nastrini	R		'+160
Travis Jankowski	-150	CF	L	2	.333	TEX	@	DET	22nd	21st	so	0.5	0,0,1,0,0,1,0,0,0	0.22	22%	20%	43%	12%	.400 4-10, 0 HR, 3 RBI, 4 BB, 1 SO	Olson	R	.000 0-1, 0 HR, 0 RBI, 0 BB, 0 SO	'+115
Estevan Florial	'+140	CF	L	7	.190	CLE	@	BOS	27th	12th	so	1.5	2,1,1,1,1,1,1,2,0	1.11	22%	20%	31%	38%	.200 3-15, 0 HR, 1 RBI, 1 BB, 4 SO	Crawford	R	.500 1-2, 0 HR, 1 RBI, 1 BB, 1 SO	-190
Willy Adames	'+195	SS	R	4	.310	MIL	v	SD	5th	7th	so	1.5	0,0,1,2,1,2,3,1,0,1	0.86	21%	30%	31%	14%	.240 6-25, 0 HR, 2 RBI, 7 BB, 4 SO	Musgrove	R	.000 0-2, 0 HR, 0 RBI, 0 BB, 1 SO	-275
Cavan Biggio	'+165	2B	L	5	.310	TOR	v	NYY	6th	19th	so	1.5	1,0,0,0,2,1,1,1,2,1	1.0	21%	20%	28%	40%	.175 7-40, 0 HR, 3 RBI, 4 BB, 10 SO	Gil	R	.000 0-2, 0 HR, 0 RBI, 0 BB, 1 SO	-220
Brandon Drury	'+155	2B	R	6	.196	LAA	@	TB	15th	17th	so	1.5	0,0,2,0,2,0,1,1,1,0	0.86	21%	20%	21%	27%	.316 12-38, 4 HR, 10 RBI, 0 BB, 9 SO	Eflin	R	.250 2-8, 0 HR, 0 RBI, 0 BB, 3 SO	-210
Nick Fortes	-110	C	R	8	.115	MIA	v	SF	8th	23rd	so	0.5	0,0,0,0,1,0,0,0,0,1	0.2	20%	20%	49%	83%	.154 2-13, 1 HR, 1 RBI, 0 BB, 4 SO	Harrison	L		-120
Riley Greene	'+170	LF	L	1	.236	DET	v	TEX	3rd	16th	so	1.5	0,1,1,1,1,0,1,1,3,1	1.0	20%	10%	34%	14%	.400 2-5, 0 HR, 0 RBI, 0 BB, 1 SO	Lorenzen	R		-235
Mike Trout	'+115	CF	R	2	.281	LAA	@	TB	15th	17th	so	1.5	0,1,1,0,0,0,0,2,1,2	0.87	20%	20%	25%	33%	.315 69-219, 22 HR, 44 RBI, 43 BB, 74 SO	Eflin	R	.286 2-7, 1 HR, 2 RBI, 0 BB, 1 SO	-155
Lane Thomas	-105	RF	R	2	.213	WSH	@	LAD	23rd	10th	so	1.5	1,1,0,0,0,1,1,1,2,1	0.93	20%	10%	23%	12%	.182 4-22, 1 HR, 3 RBI, 1 BB, 4 SO	Glasnow	R		-130
Eddie Rosario	'+135	CF	L	7	.121	WSH	@	LAD	23rd	10th	so	1.5	0,1,3,1,2,1,0,0,1,1	1.0	20%	20%	18%	13%	.130 3-23, 1 HR, 4 RBI, 3 BB, 7 SO	Glasnow	R	.000 0-1, 0 HR, 0 RBI, 1 BB, 0 SO	-180
Ezequiel Tovar	'+130	SS	R	2	.317	COL	@	PHI	20th	22nd	so	1.5	3,1,0,3,1,0,1,1,3,1	1.19	19%	30%	33%	50%	.200 4-20, 0 HR, 3 RBI, 0 BB, 8 SO	Nola	R	.000 0-3, 0 HR, 0 RBI, 0 BB, 2 SO	-175
Jorge Soler	'+150	DH	R	3	.228	SF	@	MIA	13th	4th	so	1.5	1,2,0,0,0,2,1,1,1,1	0.88	19%	20%	29%	9%	.190 8-42, 1 HR, 6 RBI, 5 BB, 7 SO	Cabrera	R		-205
Ryan Jeffers	'+185	C	R	2	.225	MIN	@	BAL	11th	11th	so	1.5	1,2,0,1,2,1,0,0,0,1	0.82	18%	20%	29%	12%	.077 1-13, 0 HR, 0 RBI, 0 BB, 5 SO	Irvin	L	.333 1-3, 0 HR, 0 RBI, 0 BB, 1 SO	-255
Nick Loftin	-270	2B	R	6	.238	KC	@	CHW	18th	18th	so	0.5	0,2,0,0,0,0,0,0,1,0	0.27	18%	20%	0%	25%	.263 5-19, 0 HR, 4 RBI, 5 BB, 2 SO	Nastrini	R		'+195
Travis Darnaud	'+190	C	R	8	.222	ATL	@	HOU	1st	2nd	so	1.5	0,0,0,1,1,3,0,0,2,1	0.75	17%	20%	18%	43%	.333 8-24, 1 HR, 7 RBI, 3 BB, 7 SO	Arrighetti	R		-265
Mauricio Dubon	'+100	CF	R	9	.257	HOU	v	ATL	17th	5th	so	0.5	0,1,0,0,0,0,1,0,0,0	0.15	15%	20%	41%	38%	.357 5-14, 0 HR, 1 RBI, 0 BB, 1 SO	Vines	R		-135
Chas Mccormick	'+195	LF	R	6	.244	HOU	v	ATL	17th	5th	so	1.5	1,0,0,0,1,1,1,2,0,1	0.85	15%	10%	25%	0%	.300 3-10, 0 HR, 0 RBI, 2 BB, 3 SO	Vines	R		-270
Logan Ohoppe	'+210	C	R	-	.364	LAA	@	TB	15th	17th	so	1.5	0,2,0,1,1,2,0,1,0,0	0.64	14%	20%	23%	43%	.103 3-29, 1 HR, 2 RBI, 1 BB, 10 SO	Eflin	R	.000 0-2, 0 HR, 0 RBI, 0 BB, 1 SO	-290
Marcell Ozuna	'+150	DH	R	5	.373	ATL	@	HOU	1st	2nd	so	1.5	1,0,1,1,2,1,0,1,0,0	0.79	14%	10%	23%	38%	.000 0-3, 0 HR, 0 RBI, 0 BB, 0 SO	Arrighetti	R		-205
Anthony Volpe	'+160	SS	R	1	.382	NYY	@	TOR	7th	6th	so	1.5	1,0,1,0,2,0,0,0,0,0	0.6	13%	10%	25%	33%	.226 12-53, 2 HR, 3 RBI, 2 BB, 18 SO	Bassitt	R	.000 0-3, 0 HR, 0 RBI, 0 BB, 2 SO	-215
Lawrence Butler	'+205	RF	L	8	.217	OAK	v	STL	15th	8th	so	1.5	1,0,1,0,0,1,1,1,3,0	0.87	13%	10%	20%	0%	.375 3-8, 1 HR, 2 RBI, 0 BB, 1 SO	Gray	R	.000 0-1, 0 HR, 0 RBI, 0 BB, 0 SO	-285
Jj Bleday	'+185	CF	L	3	.262	OAK	v	STL	15th	8th	so	1.5	0,2,1,1,2,1,1,1,1,1	0.88	12%	20%	30%	0%		Gray	R	.000 1-1, 0 HR, 0 RBI, 1 BB, 0 SO	-260
Bryan De La Cruz	'+170	LF	R	2	.284	MIA	v	SF	8th	23rd	so	1.5	2,1,1,1,0,1,3,0,1,1	1.06	12%	20%	20%	12%	.240 6-25, 1 HR, 3 RBI, 0 BB, 7 SO	Harrison	L		-235
Anthony Rizzo	'+190	1B	L	4	.274	NYY	@	TOR	7th	6th	so	1.5	1,1,1,1,1,1,0,2,0,1	0.88	12%	10%	14%	11%	.147 5-34, 2 HR, 5 RBI, 3 BB, 10 SO	Bassitt	R	.333 1-3, 0 HR, 0 RBI, 0 BB, 0 SO	-265
Luke Raley	'+120	RF	L	7	.130	SEA	v	CIN	24th	25th	so	1.5	1,2,1,0,1,1,1,0,0,0	0.73	9%	10%	27%	60%	.000 0-6, 0 HR, 0 RBI, 1 BB, 2 SO	Montas	R		-160
Martin Maldonado	'+165	C	R	8	.069	CHW	v	KC	8th	14th	so	1.5	1,1,0,1,0,0,2,1,1,1	0.82	9%	10%	22%	14%	.200 3-15, 0 HR, 0 RBI, 2 BB, 5 SO	Lugo	R	.000 0-2, 0 HR, 0 RBI, 0 BB, 1 SO	-225
Elehuris Montero	'+140	1B	R	7	.225	COL	@	PHI	20th	22nd	so	1.5	0,1,0,0,0,1,2,0,1,0	0.58	8%	10%	39%	50%	.000 0-5, 0 HR, 0 RBI, 0 BB, 4 SO	Nola	R		-185
Avisail Garcia	'+125	RF	R	6	.194	MIA	v	SF	8th	23rd	so	1.5	2,0,0,0,1,0,1,1,1,1	0.69	8%	10%	24%	29%	.125 1-8, 0 HR, 0 RBI, 0 BB, 6 SO	Harrison	L		-165
Elias Diaz	'+210	C	R	4	.311	COL	@	PHI	20th	22nd	so	1.5	1,1,1,1,0,1,1,0,1,2	0.77	8%	10%	12%	8%	.273 6-22, 0 HR, 1 RBI, 0 BB, 4 SO	Nola	R	.333 2-6, 0 HR, 0 RBI, 1 BB, 1 SO	-295
Mj Melendez	'+175	LF	L	5	.277	KC	@	CHW	18th	18th	so	1.5	1,0,1,1,1,1,0,0,3,1	0.86	7%	10%	31%	30%	.254 15-59, 5 HR, 14 RBI, 7 BB, 18 SO	Nastrini	R		-240
Jesse Winker	'+135	LF	L	3	.341	WSH	@	LAD	23rd	10th	so	1.5	1,0,1,0,0,1,1,0,1,1	0.64	7%	0%	13%	13%	.000 0-5, 0 HR, 0 RBI, 2 BB, 3 SO	Glasnow	R	.000 0-1, 0 HR, 0 RBI, 0 BB, 0 SO	-180
Trey Lipscomb	'+150	3B	R	8	.224	WSH	@	LAD	23rd	10th	so	1.5	1,2,1,0,1,0,1,1,1,0	0.79	7%	10%	0%	0%		Glasnow	R		-205
Joc Pederson	-160	DH	L	5	.346	ARI	v	CHC	12th	13th	so	0.5	0,0,0,0,0,0,0,0,0,0	0.0	0%	0%	57%	50%	.733 11-15, 2 HR, 6 RBI, 2 BB, 0 SO	Brown	R		'+120
Kevin Newman	'+110	SS	R	-	.250	ARI	v	CHC	12th	13th	so	0.5	0,0,0,0,0	0.0	0%	30%	38%	39%	.333 7-21, 0 HR, 4 RBI, 5 BB, 5 SO	Brown	R		-150
Jo Adell	-120	RF	R	8	.211	LAA	@	TB	15th	17th	so	1.5	1,0,1,0,0,0,0,0,1,1	0.4	0%	0%	36%	44%	.294 5-17, 2 HR, 3 RBI, 1 BB, 5 SO	Eflin	R	.000 1-1, 0 HR, 0 RBI, 1 BB, 0 SO	-110
Gabriel Arias	'+165	3B	R	8	.227	CLE	@	BOS	27th	12th	so	1.5	1,0,1,1,1,0	0.67	0%	10%	26%	33%	.125 1-8, 0 HR, 0 RBI, 0 BB, 5 SO	Crawford	R		-225
Riley Adams	'+120	C	R	-	.346	WSH	@	LAD	23rd	10th	so	1.5	1,1,1,1,1,0,1	0.86	0%	0%	25%	100%	.000 0-3, 0 HR, 0 RBI, 0 BB, 2 SO	Glasnow	R		-155
Bo Bichette	'+205	SS	R	3	.214	TOR	v	NYY	6th	19th	so	1.5	1,1,1,1,1,1,1,0,1,0	0.71	0%	0%	22%	27%	.297 19-64, 2 HR, 8 RBI, 7 BB, 14 SO	Gil	R	.000 0-2, 0 HR, 0 RBI, 2 BB, 0 SO	-285
Otto Lopez	-115	SS	R	9	0	MIA	v	SF	8th	23rd	so	0.5		0	0%	0%	0%	0%		Harrison	L		-115
