NAME	POS	R/L	Batting #	TEAM	A/H	OPP	OPP RANK	OPP RANK VAL	PITCHER	THROWS	VS PITCHER	PROP	LINE	LAST ➡️	% OVER	LYR AVG	LYR % OVER	LYR # MATCHUPS	LYR MATCHUPS	OVER	UNDER
Rafael Devers	3B	L	2	BOS	v	PIT	18th	4.67	Oviedo	R		1b	0.5	0,2,3,2	75%	0.67	49%	3	0%	-105	-125
Gunnar Henderson	SS	L	5	BAL	@	TEX	3rd	8.33	Gray	R		1b	0.5	1,0,0,0	25%	0.53	47%	0	0%	'+160	-215
Ryan Mountcastle	1B	R	4	BAL	@	TEX	3rd	8.33	Gray	R	.000 0-1, 0 HR, 0 RBI, 0 BB, 1 SO	1b	0.5	0,1,1,1	75%	0.61	47%	5	20%	'+130	-175
Gio Urshela	SS	R	7	LAA	@	SEA	28th	3.5	Kirby	R		1b	0.5	0,0,3,2	50%	0.7	48%	6	67%	-105	-125
Jake Cronenworth	1B	L	5	SD	v	ARI	24th	4.0	Nelson	R	.000 0-5, 0 HR, 0 RBI, 0 BB, 1 SO	1b	0.5	0,0,1,0,0	20%	0.56	48%	19	32%	'+125	-165
Justin Turner	1B	R	3	BOS	v	PIT	18th	4.67	Oviedo	R		1b	0.5	0,1,2,2	75%	0.63	46%	6	33%	-110	-120
Austin Hays	CF	R	-	BAL	@	TEX	3rd	8.33	Gray	R		1b	0.5	0,1,4,0	50%	0.56	46%	3	0%	'+115	-150
Luis Rengifo	2B	S	8	LAA	@	SEA	28th	3.5	Kirby	R	.091 1-11, 0 HR, 1 RBI, 0 BB, 2 SO	1b	0.5	2,0,0,0	25%	0.68	57%	19	42%	'+120	-155
Mike Trout	CF	R	2	LAA	@	SEA	28th	3.5	Kirby	R	.400 2-5, 1 HR, 2 RBI, 1 BB, 2 SO	1b	0.5	1,2,1,0	75%	0.45	38%	11	27%	'+145	-195
Kris Bryant	RF	R	2	COL	@	LAD	23rd	4.25	Grove	R		1b	0.5	1,1,1,1,3	100%	0.76	52%	13	54%	'+120	-160
Austin Nola	C	R	-	SD	v	ARI	24th	4.0	Nelson	R	.000 0-4, 0 HR, 0 RBI, 0 BB, 0 SO	1b	0.5	1,0,1	67%	0.62	48%	15	60%	'+105	-140
Jake Mccarthy	RF	L	9	ARI	@	SD	27th	3.75	Weathers	L	.000 0-1, 0 HR, 0 RBI, 0 BB, 1 SO	1b	0.5	0,1,0,0	25%	0.66	48%	9	67%	'+110	-145
