EV	EV Book	Imp	Game	Player	Prop	O/U	FD	DK	Bet365	CZ	Kambi	ESPN	L10% Over	% Over	Splits		Minutes
69.8	460 BR	18%	cardiff	Callum Odowda	shots_on_target	o 0.5	'+190	-	-	-	460/-1430	-	30%	21%	0,0,0,0,0,1,2,1,0,0	-	58,90,90,90,90
67.8	420 FD	19%	valladolid	Darwin Machis	shots	o 3.5	'+420	-	'+175	-	-	-	0%	0%	3,0,0,2,1,1,0,0,2,1		16,20,13,45,45
67.4	410 FD	20%	las palmas	Fabio Silva	shots	o 4.5	'+410	-	'+162	180	-	-	0%	0%	0,2,2,2,1,1,2,3,3,3		75,79,68,90,90
65.7	425 DK	19%	valladolid	Javi Munoz	tackles	o 2.5	-	'+425	-	180	-	-	-%	-%			
65.1	195 DK	34%	valladolid	Florian Grillitsch	tackles	o 2.5	-	'+195	-	-150	-	-	0%	13%	2,2,1,1,2,0,2,0,0,0	🟡	90,1,25,45,30
64.8	255 DK	28%	reims	Oumar Diakite	tackles	o 1.5	-	'+255	-	100	-	'+100	-%	-%		🟡	
64.5	410 FD	20%	las palmas	Sandro Ramirez	shots	o 4.5	'+410	-	'+175	-	-	-	10%	5%	2,1,3,3,2,1,1,7,2,4	🟡	79,79,90,84,90
64.1	140 BR	42%	aston villa	Alex Robertson	shots	o 0.5	-270	-	-	-	140/-240	-	-%	-%		-	
63.9	205 BR	33%	monaco	Kassoum Ouattara	shots_on_target	o 0.5	-135	-	-	-	205	-	-%	-%			
63.5	333 365	23%	cardiff	Cian Ashford	shots	o 1.5	'+140	-	'+333	-	-	-	30%	15%	3,2,1,0,2,0,1,0,0,0	-	67,81,10,15,84
63.1	700 FD	12%	monaco	Lamine Camara	shots	o 3.5	'+700	-	'+300	-	-	-	-%	-%		🟡	
62.4	340 BR	23%	aston villa	Lamare Bogarde	shots_on_target	o 0.5	'+145	-	-	-	340/-835	-	-%	-%		-	
62.3	190 CZ	34%	fiorentina	Nicolo Fagioli	shots	o 1.5	-150	-	-	190	-	-	10%	19%	2,0,0,0,0,0,0,0,0,0	🟡	4,8,25,90,24
62.0	525 CZ	16%	stuttgart	Nick Woltemade	shots_on_target	o 1.5	'+230	-	-	525	-	-	20%	14%	1,2,0,1,1,1,0,0,1,3	🟡	90,90,5,21,90
61.9	800 365	11%	aston villa	Donyell Malen	shots	o 5.5	'+340	-	'+800	-	-	-	-%	-%		-	
61.7	185 DK	35%	fiorentina	Nicolo Zaniolo	tackles	o 1.5	-	'+185	-	-155	-	-	0%	0%	0,0,0,0,0,0,0,0,0,1	🟡	14,14,24,54,83
60.7	430 FD	19%	reims	Amadou Kone	shots	o 1.5	'+430	-	-	190	-	'+190	-%	-%		🟡	
60.1	155 CZ	39%	las palmas	Sandro Ramirez	shots	o 2.5	-145	-	-300	155	-	-	40%	25%	2,1,3,3,2,1,1,7,2,4	🟡	79,79,90,84,90
59.9	900 365	10%	reims	Joseph Okumu	shots	o 1.5	'+380	-	'+900	-	-	-	-%	-%		🟡	
58.9	110 DK	48%	lecce	Santiago Pierotti	tackles	o 1.5	-	'+110	-	-425	-	-	40%	24%	2,1,0,1,2,3,3,1,0,1		90,90,88,88,45
58.0	1200 365	8%	cardiff	Cian Ashford	shots	o 2.5	'+480	-	'+1200	-	-	-	10%	5%	3,2,1,0,2,0,1,0,0,0	-	67,81,10,15,84
57.9	480 FD	17%	reims	Keito Nakamura	shots	o 3.5	'+480	-	'+300	185	-	'+190	-%	-%		🟡	
57.4	430 BR	19%	aston villa	Alex Robertson	shots_on_target	o 0.5	'+195	-	-	-	430/-1250	-	-%	-%		-	
57.2	440 FD	19%	monaco	Thilo Kehrer	shots	o 1.5	'+440	-	'+200	-	-	-	-%	-%			
57.2	800 365	11%	cardiff	Perry Ng	shots	o 1.5	'+350	-	'+800	-	-	-	10%	18%	1,0,2,0,1,0,0,0,0,1	-	23,9,90,90,90
56.9	170 CZ	37%	valladolid	Selim Amallah	shots_on_target	o 0.5	-165	-	-	170	-	-	30%	29%	0,0,1,0,0,1,0,0,1,0	🟡	60,34,90,90,45
55.1	135 DK	43%	stuttgart	Atakan Karazor	tackles	o 2.5	-	'+135	-	-240	-	-	40%	36%	0,1,1,1,1,4,6,0,4,3	🟡	90,90,90,87,81
55.1	350 365	22%	aston villa	Donyell Malen	shots	o 4.5	'+160	-	'+350	-	-	-	-%	-%		-	
54.2	270 FD	27%	las palmas	Fabio Silva	shots_on_target	o 1.5	'+270	-	-	120	-	-	10%	16%	0,0,2,1,0,0,0,1,1,1		75,79,68,90,90
53.9	175 DK	36%	valladolid	Juanma Herzog	tackles	o 1.5	-	'+175	-	-150	-	-	-%	-%			
53.7	2100 FD	5%	las palmas	Jaime Mata	shots	o 4.5	'+2100	-	'+700	-	-	-	0%	0%	0,1,1,0,1,0,1,0,1,0		11,35,9,20,25
53.5	320 DK	24%	reims	Junya Ito	tackles	o 2.5	-	'+320	-	145	-	'+150	-%	-%		🟡	
53.1	190 BR	34%	lecce	Ylber Ramadani	shots	o 0.5	-130	-	-	-	190/-375	-	20%	30%	0,0,0,0,0,0,1,0,0,2		28,45,55,69,22
52.3	1600 365	6%	las palmas	Alex Munoz	shots	o 2.5	'+600	-	'+1600	-	-	-	0%	0%	0,2,2,0,0,0,0,1,0,0	🟡	60,6,67,57,90
52.3	1600 FD	6%	fiorentina	Lucas Beltran	shots	o 4.5	'+1600	-	'+600	-	-	-	0%	0%	1,2,1,1,1,0,0,0,0,0	🟡	70,89,66,90,90
52.3	1600 365	6%	aston villa	Lucas Digne	shots	o 2.5	'+600	-	'+1600	-	-	-	-%	-%		-	
51.7	200 ESPN	33%	monaco	Krepin Diatta	shots	o 1.5	-280	-	-	190	-	'+200	-%	-%		🟡	
51.6	140 BR	42%	stuttgart	Jacob Bruun Larsen	shots_on_target	o 0.5	-210	-	-	-	140/-230	-	30%	31%	0,1,0,0,1,0,1,0,0,0		30,71,78,69,18
50.3	1800 365	5%	aston villa	Jacob Ramsey	shots	o 4.5	'+650	-	'+1800	-	-	-	-%	-%		-	
47.9	115 DK	47%	bayern munich	Jamal Musiala	tackles	o 1.5	-	'+115	-	-280	-	-	30%	40%	0,2,1,1,1,1,0,2,0,3	🟡	90,86,85,89,84
47.9	550 FD	15%	fiorentina	Lucas Beltran	shots	o 3.5	'+550	-	'+275	260	-	-	0%	0%	1,2,1,1,1,0,0,0,0,0	🟡	70,89,66,90,90
47.4	105 BR	49%	aston villa	Donyell Malen	shots	o 2.5	-330	-	-	-	105/-177	-	-%	-%		-	
47.0	700 FD	12%	bayern munich	Thomas Muller	shots	o 4.5	'+700	-	'+333	-	-	-	0%	0%	0,2,1,0,0,2,1,0,0,3		61,33,4,1,63
45.2	175 BR	36%	monaco	Breel Embolo	shots	o 3.5	-130	-	-	-	175	-	-%	-%			
44.8	1000 FD	9%	valladolid	Eray Comert	shots	o 1.5	'+1000	-	'+450	-	-	-	0%	5%	0,1,0,0,1,1,0,0,0,0	🟡	85,90,90,9,26
44.8	200 365	33%	reims	Mamadou Diakhon	shots	o 1.5	-105	-	'+200	-	-110	-	-%	-%			
43.9	123 BR	45%	aston villa	Lamare Bogarde	shots	o 0.5	-220	-	-	-	123/-215	-	-%	-%		-	
43.8	140 CZ	42%	valladolid	Selim Amallah	shots	o 1.5	-180	-	-	140	-	-	20%	29%	2,1,2,0,0,1,1,0,1,0	🟡	60,34,90,90,45
43.8	390 FD	20%	reims	Amadou Kone	shots_on_target	o 0.5	'+390	-	-	190	215	'+190	-%	-%		🟡	
43.3	162 365	38%	aston villa	Donyell Malen	shots	o 3.5	-140	-	'+162	-	-	-	-%	-%		-	
43.0	-105 DK	51%	stuttgart	Finn Jeltsch	tackles	o 1.5	-	-105	-	-360	-	-	50%	50%	0,2	🟡	79,90,75,3,90
42.6	450 365	18%	aston villa	Lamare Bogarde	shots	o 1.5	'+230	-	'+450	-	-	-	-%	-%		-	
41.6	145 BR	41%	reims	Sergio Akieme	shots	o 0.5	-160	-	-	-	145	-	-%	-%		🟡	
41.6	175 DK	36%	cardiff	Sivert Mannsverk	tackles	o 2.5	-	'+175	-125/-110	-	-	-	40%	40%	3,3,1,2,0	-	62,72,80,90,90
41.5	-115 DK	53%	monaco	Vanderson	tackles	o 2.5	-	-115	-	-400	-	-450	-%	-%		🟡	
41.4	175 FD	36%	reims	Keito Nakamura	shots	o 2.5	'+175	-	-	-125	-	-120	-%	-%		🟡	
41.3	155 DK	39%	valladolid	Eray Comert	tackles	o 1.5	-	'+155	-	-145	-	-	20%	24%	1,1,1,3,0,0,2,0,0,0	🟡	85,90,90,9,26
41.1	230 BR	30%	cardiff	Andy Rinomhota	shots	o 0.5	'+115	-	-	-	230/-455	-	10%	15%	0,0,0,1,0,0,0,0,0,0	-	120,81,62,90,90
41.0	115 DK	47%	lecce	Tete Morente	tackles	o 1.5	-	'+115	-	-230	-	-	20%	23%	1,0,0,0,0,1,1,3,0,3	🟡	82,35,69,90,81
40.9	145 FD	41%	las palmas	Alberto Moleiro	shots	o 2.5	'+145	-	-225	-115	-	-	-%	-%		🟡	
40.9	2500 FD	4%	fiorentina	Rolando Mandragora	shots	o 4.5	'+2500	-	'+800	-	-	-	0%	0%	0,0,3,1,0,0,0,0,0,1	🟡	90,75,79,69,66
40.5	170 DK	37%	stuttgart	Angelo Stiller	tackles	o 2.5	-	'+170	-	-125	-	-	30%	23%	3,0,2,2,0,2,3,1,1,6	🟡	90,90,90,90,90
40.5	155 DK	39%	reims	Teddy Teuma	tackles	o 2.5	-	'+155	-	-145	-	-140	-%	-%		🟡	
40.5	125 DK	44%	fiorentina	Pietro Comuzzo	tackles	o 1.5	-	'+125	-	-200	-	-	40%	45%	4,0,2,5,1,1,2,0,0,0	🟡	90,28,35,90,90
40.5	125 DK	44%	lecce	Frederic Guilbert	tackles	o 2.5	-	'+125	-	-200	-	-	60%	52%	0,3,4,4,2,3,3,2,0,3	🟡	90,90,90,75,88
40.0	180 FD	36%	las palmas	Fabio Silva	shots	o 3.5	'+180	-	-	-115	-	-	0%	5%	0,2,2,2,1,1,2,3,3,3		75,79,68,90,90
40.0	400 FD	20%	las palmas	Alberto Moleiro	shots	o 3.5	'+400	-	-	210	-	-	-%	-%		🟡	
40.0	460 FD	18%	fiorentina	Lucas Beltran	shots_on_target	o 1.5	'+460	-	-	240	-	-	0%	3%	0,0,0,0,1,0,0,0,0,0	🟡	70,89,66,90,90
39.8	-110 DK	52%	bayern munich	Dayot Upamecano	tackles	o 1.5	-	-110	-	-360	-	-	70%	61%	2,3,2,1,2,1,2,2,5,0		90,90,90,90,90
39.5	140 BR	42%	sheffield wednesday	Callum Paterson	shots_on_target	o 0.5	-165	-	-	-	140/-230	-	30%	26%	0,0,1,0,0,0,1,0,1,0	-	1,90,45,5,57
39.3	200 FD	33%	fiorentina	Lucas Beltran	shots	o 2.5	'+200	-	-	100	-	-	0%	0%	1,2,1,1,1,0,0,0,0,0	🟡	70,89,66,90,90
37.3	410 BR	20%	sheffield wednesday	Michael Ihiekwe	shots_on_target	o 0.5	'+220	-	-	-	410/-1115	-	40%	27%	1,0,0,0,1,0,0,0,1,1	-	90,90,90,90,90
37.3	-110 DK	52%	monaco	Lamine Camara	tackles	o 2.5	-	-110	-	-320	-	-350	-%	-%		🟡	
35.9	800 FD	11%	fiorentina	Pietro Comuzzo	shots	o 1.5	'+800	-	'+400	-	-	-	0%	0%	1,1,0,0,0,1,0,0,0,1	🟡	90,28,35,90,90
35.5	550 CZ	15%	bayern munich	Aleksandar Pavlovic	shots	o 1.5	'+260	-	'+333	550	-	-	10%	8%	0,0,0,0,0,0,2,1,0,0	🟡	90,57,80,67,90
35.4	300 CZ	25%	fiorentina	Danilo Cataldi	shots	o 1.5	'+135	-	'+200	300	-	-	0%	10%	0,1,1,1,0,0,0,0,0,1	🟡	12,,29,54,90
34.7	155 BR	39%	sheffield wednesday	Patrick Roberts	shots_on_target	o 0.5	-130	-	-	-	155/-278	-	-%	-%		-	
34.7	240 BR	29%	aston villa	Donyell Malen	shots_on_target	o 1.5	'+130	-	-	-	240/-455	-	-%	-%		-	
34.0	600 FD	14%	valladolid	Javi Sanchez	shots_on_target	o 0.5	'+600	-	-	320	-	-	20%	16%	0,0,0,0,0,1,0,0,1,0	🟡	90,90,90,57,90
34.0	600 365	14%	reims	Mamadou Diakhon	shots	o 2.5	'+320	-	'+600	-	-	-	-%	-%			
33.9	-130 DK	57%	stuttgart	Maximilian Mittelstadt	tackles	o 2.5	-	-130	-	-425	-	-	50%	41%	4,2,1,2,1,6,0,8,3,5	🟡	32,90,90,90,90
33.7	130 DK	43%	valladolid	Javi Munoz	tackles	o 1.5	-	'+130	-	-165	-	-	-%	-%			
32.9	180 BR	36%	monaco	Krepin Diatta	shots_on_target	o 0.5	-320	-	-	155	180	'+165	-%	-%		🟡	
32.0	100 FD	50%	fiorentina	Dodo	shots	o 0.5	'+100	-	-	-240	-	-	50%	50%	1,2,1,0,0,2,2,0,0,0	🟡	90,90,90,90,90
31.0	280 BR	26%	sheffield wednesday	Wilson Isidor	shots_on_target	o 1.5	'+160	-	-	-	280/-560	-	-%	-%		-	
31.0	350 DK	22%	cardiff	Rubin Colwill	tackles	o 2.5	-	'+350	'+200	-	-	-	10%	10%	1,0,1,1,1,3,1,2,2,0	-	120,31,90,75,6
30.9	250 DK	29%	monaco	Maghnes Akliouche	tackles	o 2.5	-	'+250	-	140	-	'+145	-%	-%		🟡	
30.5	155 BR	39%	bayern munich	Dayot Upamecano	shots	o 0.5	-120	-	-	-	155/-278	-	50%	49%	0,2,0,0,3,1,1,1,0,0		90,90,90,90,90
30.2	135 DK	43%	bayern munich	Aleksandar Pavlovic	tackles	o 2.5	-	'+135	-	-145	-	-	40%	32%	0,1,1,1,5,4,1,5,1,3	🟡	90,57,80,67,90
29.9	118 BR	46%	sheffield wednesday	Eliezer Mayenda	shots_on_target	o 0.5	-175	-	-	-	118/-195	-	-%	-%		-	
29.8	280 FD	26%	bayern munich	Thomas Muller	shots	o 3.5	'+280	-	'+162	-	-	-	0%	3%	0,2,1,0,0,2,1,0,0,3		61,33,4,1,63
29.8	320 FD	24%	fiorentina	Rolando Mandragora	shots	o 2.5	'+320	-	-	185	-	-	10%	9%	0,0,3,1,0,0,0,0,0,1	🟡	90,75,79,69,66
29.7	340 ESPN	23%	monaco	Takumi Minamino	shots_on_target	o 1.5	'+130	-	-	320	-	'+340	-%	-%		🟡	
29.5	105 DK	49%	reims	Junya Ito	tackles	o 1.5	-	'+105	-	-210	-	-210	-%	-%		🟡	
29.2	275 365	27%	las palmas	Benito Ramirez	shots	o 2.5	'+160	-	'+275	-	-	-	0%	0%	0,0,0,1,1,0,0,1,0,0		19,18,6,51,5
29.0	148 BR	40%	monaco	Thilo Kehrer	shots	o 0.5	-125	-	-	-	148	-	-%	-%			
29.0	148 BR	40%	aston villa	Youri Tielemans	shots	o 1.5	-125	-	-	-	148/-265	-	-%	-%		-	
28.8	-140 DK	58%	fiorentina	Fabiano Parisi	tackles	o 1.5	-	-140	-	-400	-	-	30%	35%	0,3,2,0,0,1,0,0,0,2	🟡	20,75,61,21,90
28.7	185 BR	35%	monaco	Breel Embolo	shots_on_target	o 1.5	'+105	-	-	-	185	-	-%	-%			
28.6	333 365	23%	aston villa	Morgan Rogers	shots	o 3.5	'+195	-	'+333	-	-	-	-%	-%		-	
28.4	240 CZ	29%	lecce	Lassana Coulibaly	tackles	o 2.5	-	'+140	-	240	-	-	10%	8%	3,2,2,2,0,0,0,2,2,1	🟡	45,35,90,90,90
28.1	-155 DK	61%	valladolid	Florian Grillitsch	tackles	o 1.5	-	-155	-	-500	-	-	40%	47%	2,2,1,1,2,0,2,0,0,0	🟡	90,1,25,45,30
28.1	450 365	18%	aston villa	Youri Tielemans	shots	o 2.5	'+260	-	'+450	-	-	-	-%	-%		-	
28.0	280 DK	26%	fiorentina	Dodo	tackles	o 2.5	-	'+280	-	165	-	-	10%	8%	2,1,5,2,2,2,2,2,1,2	🟡	90,90,90,90,90
27.6	125 BR	44%	monaco	Mohammed Salisu	shots	o 0.5	-155	-	-	-	125	-	-%	-%			
27.1	160 DK	38%	bayern munich	Alphonso Davies	tackles	o 2.5	-	'+160	-	-110	-	-	30%	25%	4,0,1,2,1,1,3,1,0,4	🟡	90,90,44,27,28
26.3	300 365	25%	valladolid	Tamas Nikitscher	shots	o 1.5	'+180	-	'+300	-	-	-	0%	19%	1,0,1,0,0,0,0,0,0,0		90,20,90,90,23
26.3	500 365	17%	aston villa	John Mcginn	shots	o 2.5	'+290	-	'+500	-	-	-	-%	-%		-	
26.1	333 365	23%	cardiff	Yakou Meite	shots	o 2.5	'+200	-	'+333	-	-	-	10%	15%	2,1,0,3,0,0,0,2,0,1	-	12,7,69,7,15
25.5	240 CZ	29%	stuttgart	Chris Fuhrich	shots	o 1.5	'+145	-	-	240	-	-	60%	30%	2,0,2,0,2,2,3,1,0,3	🟡	32,69,69,83,90
25.4	105 DK	49%	bayern munich	Konrad Laimer	tackles	o 2.5	-	'+105	-	-190	-	-	20%	15%	5,3,1,1,2,1,2,0,2,0	🟡	90,18,90,90,90
25.1	-127 BR	56%	aston villa	Lucas Digne	shots	o 0.5	-290	-	-	-	-127/-134	-	-%	-%		-	
25.0	200 365	33%	lecce	Santiago Pierotti	shots	o 1.5	'+120	-	'+200	-105	105/-177	-	50%	30%	2,1,0,1,1,2,2,0,4,2		90,90,88,88,45
24.6	155 BR	39%	stuttgart	Ramon Hendriks	shots	o 0.5	-110	-	-	-	155/-295	-	10%	15%	0,0,0,0,0,0,0,0,0,3		29,90,90,90,90
24.6	155 BR	39%	cardiff	Calum Chambers	shots	o 0.5	-110	-	-	-	155/-278	-	70%	48%	1,2,2,2,1,1,0,0,2,0	-	90,90,64,90,77
24.1	175 DK	36%	lecce	Antonino Gallo	tackles	o 2.5	-	'+175	-	105	-	-	50%	32%	6,0,3,0,0,3,1,1,3,4	🟡	72,90,90,90,90
23.9	2900 FD	3%	valladolid	Darwin Machis	shots	o 5.5	'+2900	-	'+900	-	-	-	0%	0%	3,0,0,2,1,1,0,0,2,1		16,20,13,45,45
23.9	-132 BR	57%	monaco	Breel Embolo	shots	o 2.5	-300	-	-300	-	-132	-	-%	-%			
23.6	130 CZ	43%	valladolid	Javi Sanchez	shots	o 0.5	-135	-	-	130	-	-	30%	26%	0,0,0,0,0,1,0,1,1,0	🟡	90,90,90,57,90
23.0	-195 BR	66%	monaco	Eliesse Ben Seghir	shots	o 1.5	-650	-	-	-	-195	-	-%	-%		🟡	
22.8	-106 BR	51%	aston villa v cardiff	Marco Asensio	shots	o 2.5	-210	-	-	-	-106/-155	-	-%	-%		-	
22.6	115 CZ	47%	monaco	Takumi Minamino	shots	o 2.5	-175	-	-250	115	-	'+110	-%	-%		🟡	
22.3	130 CZ	43%	monaco	Lamine Camara	shots	o 1.5	-135	-	-225	130	-	'+130	-%	-%		🟡	
22.2	-190 CZ	66%	las palmas	Sandro Ramirez	shots	o 1.5	-410	-	-1000	-190	-	-	70%	55%	2,1,3,3,2,1,1,7,2,4	🟡	79,79,90,84,90
22.2	600 FD	14%	bayern munich	Jamal Musiala	shots	o 4.5	'+600	-	'+350	-	-	-	20%	13%	1,5,1,2,5,2,0,0,3,3	🟡	90,86,85,89,84
21.8	230 BR	30%	aston villa v cardiff	Marcus Rashford	shots_on_target	o 1.5	'+145	-	-	-	230/-435	-	-%	-%		-	
21.7	800 365	11%	las palmas	Benito Ramirez	shots	o 3.5	'+440	-	'+800	-	-	-	0%	0%	0,0,0,1,1,0,0,1,0,0		19,18,6,51,5
21.5	-157 BR	61%	monaco	Kassoum Ouattara	shots	o 0.5	-380	-	-	-	-157	-	-%	-%			
21.4	750 CZ	12%	valladolid	Javi Sanchez	shots	o 1.5	'+420	-	-	750	-	-	0%	5%	0,0,0,0,0,1,0,1,1,0	🟡	90,90,90,57,90
21.4	600 365	14%	lecce	Santiago Pierotti	shots	o 2.5	'+420	-	'+600	300	-	-	10%	7%	2,1,0,1,1,2,2,0,4,2		90,90,88,88,45
21.4	-143 BR	59%	aston villa	Leon Bailey	shots	o 1.5	-390	-	-275	-	-143/-117	-	-%	-%		-	
21.2	150 FD	40%	stuttgart	Justin Diehl	shots_on_target	o 0.5	'+150	-	-	-	-120/-136	-	11%	11%	0,0,0,0,1,0,0,0,0		11,32,2,21,45
21.2	350 365	22%	cardiff	Sivert Mannsverk	shots	o 1.5	'+220	-	'+350	-	-	-	20%	18%	2,0,1,1,0,0,0,1,3,0	-	62,72,80,90,90
21.1	-137 BR	58%	aston villa	Jacob Ramsey	shots	o 1.5	-290	-	-	-	-137/-121	-	-%	-%		-	
20.9	-225 DK	69%	stuttgart	Atakan Karazor	tackles	o 1.5	-	-225	-	-800	-	-	40%	46%	0,1,1,1,1,4,6,0,4,3	🟡	90,90,90,87,81
20.7	500 365	17%	fiorentina	Fabiano Parisi	shots	o 1.5	'+260	-	'+500	360	-	-	0%	8%	0,0,0,0,0,0,1,0,1,0	🟡	20,75,61,21,90
20.5	165 BR	38%	stuttgart	Maximilian Mittelstadt	shots	o 0.5	-120	-	-	130	165/-315	-	40%	47%	1,0,1,0,1,0,1,0,0,0	🟡	32,90,90,90,90
20.5	-121 BR	55%	monaco	John Patrick	shots	o 0.5	-240	-	-	-	-121	-	-%	-%			
20.3	500 365	17%	fiorentina	Luca Ranieri	shots	o 1.5	'+220	-	'+500	450	-	-	0%	0%	0,1,0,1,0,0,1,0,0,0	🟡	90,90,90,90,72
