EV	PN EV	EV Book	Game	Prop	O/U	FD	DK	MGM	BV	PB	PN	Kambi
-0.8	-	-150 PB	england @ italy	home_corners	o 2.5	-205/150	-	-	-	-150/105	-	-159/108	-	-
-0.9	-	-8000 FD	northern ireland @ slovenia	1h_total	u 3.5	4600/-8000	-	-	-	4500/-29412	-	-	-	-
-0.9	-	114 FD	malta @ ukraine	away_corners	u 2.5	-152/114	-135/+100	-155/100	-	-130/-110	-	-130/-103	-	-
-0.9	-	280 DK	haverfordwest @ penybont	home_total	u 0.5	-	-425/+280	-	-325/+230	-	-	-	1.0 - 2.7 - 3.7	1.3 - 1.4 - 2.8
-1.0	-	-100000 FD	northern ireland @ slovenia	total	u 6.5	5000/-100000	-	-	-	9000/-142857	-	-	-	-
-1.0	-	-180 PB	northern ireland @ slovenia	total	o 1.5	-225/162	-195/+155	-210/145	-	-180/145	-	-215/170	-	-
-1.0	-1.0	210 BV	haverfordwest @ penybont	total	o 3.0	-	-	-	'+210/-290	-	179/-242	-	1.0 - 2.7 - 3.7	1.3 - 1.4 - 2.8
-1.1	-	116 FD	venezuela @ chile	away_corners	o 4.5	116/-154	-	-105/-145	-	-	-	-	-	-
-1.1	-	-100000 FD	serbia @ montenegro	total	u 7.5	8000/-100000	-	-	-	8000/-100000	-	-	-	-
-1.1	-	-190 MGM	san marino @ denmark	home_total	u 5.5	-	'+175/-230	135/-190	-	-	-	160/-215	-	-
-1.1	-	-83333 PB	malta @ ukraine	total	u 7.5	8000/-100000	-	-	-	7000/-83333	-	-	-	-
-1.1	-	-6000 FD	england @ italy	home_corners	u 7.5	1500/-6000	-	-	-	3500/-29412	-	-	-	-
-1.2	-	114 FD	sporting sj @ municipal grecia	1h_away_total	u 0.5	-146/114	-	-	-132/+102	-	-	-	-	-
-1.2	-	-165 MGM	serbia @ montenegro	1h_home_corners	u 1.5	-	-	110/-165	-	140/-200	-	-	-	-
-1.2	-	-230 FD	malta @ ukraine	home_corners	o 4.5	-230/170	-	-	-	-280/185	-	-295/210	-	-
-1.2	-	-8000 FD	malta @ ukraine	1h_away_total	u 1.5	3600/-8000	-	-	-	4000/-25000	-	-	-	-
-1.3	-1.3	120 MGM	venezuela @ chile	1h_corners	u 3.5	-	-	-185/120	-	-	-137/109	-	-	-
-1.3	-	150 MGM	serbia @ montenegro	corners	u 7.5	-186/136	-	-225/150	-	-160/115	-	-186/138	-	-
-1.3	-	-300 MGM	san marino @ denmark	total	o 3.5	-400/250	-350/+265	-300/220	-	-	-	-360/270	-	-
-1.3	-	-260 FD	san marino @ denmark	corners	o 9.5	-260/182	-	-375/230	-	-	-	-305/215	-	-
-1.3	-	-325 BV	haverfordwest @ penybont	home_total	o 0.5	-	-425/+280	-	-325/+230	-	-	-	1.0 - 2.7 - 3.7	1.3 - 1.4 - 2.8
-1.4	-	-20000 FD	northern ireland @ slovenia	1h_home_total	u 2.5	4900/-20000	-	-	-	5000/-40000	-	-	-	-
-1.4	-	-50000 FD	england @ italy	total	u 6.5	4000/-50000	-	-	-	6000/-76923	-	-	-	-
-1.5	-1.9	118 FD	uruguay @ brazil	corners	o 8.5	118/-158	-	100/-145	-	-	109/-136	-	-	-
-1.5	-	-8000 FD	serbia @ montenegro	corners	u 15.5	1800/-8000	-	-	-	3500/-29412	-	-	-	-
-1.5	-	-120 DK	san marino @ denmark	home_total	o 4.5	-	-120/-110	-140/100	-	-	-	-134/102	-	-
-1.5	-	-8000 FD	northern ireland @ slovenia	away_corners	u 9.5	2000/-8000	-	-	-	3500/-29412	-	-	-	-
-1.5	-	146 FD	malta @ ukraine	home_corners	o 6.5	146/-200	'+115/-160	-	-	125/-175	-	138/-186	-	-
-1.5	-	110 MGM	malta @ ukraine	home_corners	u 5.5	-120/-110	-	-165/110	-	-135/-105	-	-139/105	-	-
-1.5	-	-8000 FD	malta @ ukraine	1h_home_total	u 3.5	4600/-8000	-	-	-	3500/-20000	-	-	-	-
-1.6	-	-125 DK	serbia @ montenegro	2h_corners	u 4.5	-	-110/-125	-110/-135	-	115/-160	-	-	-	-
-1.6	-	-650 MGM	san marino @ denmark	total	u 7.5	-	'+550/-900	380/-650	-	-	-	540/-910	-	-
-1.6	-	-105 DK	san marino @ denmark	home_corners	u 10.5	-106/-126	-125/-105	-	-	-	-	-121/-109	-	-
-1.6	-	-160 DK	malta @ ukraine	home_corners	u 6.5	146/-200	'+115/-160	-	-	125/-175	-	138/-186	-	-
-1.6	-	105 DK	malta @ ukraine	corners	u 8.5	-122/-110	-145/+105	-145/100	-	-120/-120	-	-125/-106	-	-
-1.6	-	-230 BV	haverfordwest @ penybont	away_total	o 0.5	-	-285/+195	-	-230/+171	-	-	-	1.0 - 2.7 - 3.7	1.3 - 1.4 - 2.8
-1.6	-	-650 MGM	guyana @ puerto rico	total	u 4.5	540/-950	-	360/-650	-	-	-	-	-	-
-1.7	-	-132 BV	sporting sj @ municipal grecia	1h_away_total	o 0.5	-146/114	-	-	-132/+102	-	-	-	-	-
-1.7	-	-125 PB	malta @ ukraine	total	o 2.5	-150/110	-135/+110	-140/100	-	-125/100	-	-132/107	-	-
-1.7	-0.4	113 BV	haverfordwest @ penybont	total	o 2.5	100/-140	-105/-130	100/-145	'+113/-148	-	103/-125	-	1.0 - 2.7 - 3.7	1.3 - 1.4 - 2.8
-1.8	-	-450 MGM	san marino @ denmark	1h_total	u 3.5	-	-	280/-450	-	-	-	375/-625	-	-
-1.8	-0.7	-205 BV	haverfordwest @ penybont	1h_total	o 0.5	-230/176	-	-250/165	-205/+152	-	-246/182	-	0.0 - 0.7 - 0.7	0.4 - 0.6 - 1.0
-1.9	-	-3500 FD	serbia @ montenegro	home_corners	u 6.5	980/-3500	-	-	-	2000/-8929	-	-	-	-
-1.9	-	-750 MGM	san marino @ denmark	total	o 2.5	-1400/600	-1000/+600	-750/475	-	-	-	-1115/600	-	-
-1.9	-	138 MGM	san marino @ denmark	corners	u 10.5	-152/114	-	-210/138	-	-	-	-175/130	-	-
-1.9	-	120 FD	peru @ argentina	1h_home_total	u 0.5	-154/120	-	-145/105	-	-	-	-	-	-
-1.9	-	158 FD	paraguay @ bolivia	away_total	o 2.5	158/-205	-	135/-190	-	-	-	-	-	-
-1.9	-	-400 MGM	cayman islands @ virgin islands	total	u 4.5	330/-550	-	270/-400	-	-	-	-	-	-
-2.0	-	-2000 MGM	paraguay @ bolivia	total	u 5.5	1340/-3000	-	900/-2000	-	-	-	-	-	-
-2.0	-	-155 PB	northern ireland @ slovenia	1h_away_corners	o 1.5	-	-	-190/125	-	-155/110	-	-	-	-
-2.0	-	110 MGM	lithuania @ hungary	away_corners	o 2.5	108/-142	-115/-115	110/-165	-	-105/-135	-	104/-137	-	-
-2.1	-	108 FD	sporting sj @ municipal grecia	away_total	u 1.5	-138/108	-	-	-128/-102	-	-	-	-	-
-2.1	-	-165 MGM	san marino @ denmark	1h_total	u 2.5	-	-	120/-165	-	-	-	138/-190	-	-
-2.1	-	-550 MGM	paraguay @ bolivia	away_total	u 3.5	450/-720	-	340/-550	-	-	-	-	-	-
-2.1	-	-8000 FD	northern ireland @ slovenia	corners	u 15.5	1900/-8000	-	-	-	2800/-14925	-	-	-	-
-2.1	-	-400 MGM	malta @ ukraine	home_total	u 3.5	360/-530	'+310/-450	275/-400	-	330/-500	-	335/-530	-	-
-2.1	-	-180 PB	lithuania @ hungary	2h_away_corners	u 1.5	-	-	145/-225	-	130/-180	-	-	-	-
