EV	PN EV	EV Book	Game	Player	Prop	O/U	FD	DK	MGM	Bet365	CZ	PN	Kambi	ESPN
13.2	-	650 FD	salzburg v paris st germain	amar dedic	score_or_assist	o 0.5	'+650	'+400	-	-	-	-	-	-
13.2	-	650 FD	leipzig v aston villa	willi orban	score_or_assist	o 0.5	'+650	'+400	-	-	-	-	-	-
13.1	-	750 MGM	club brugge v sporting lisbon	geny catamo	atgs	o 0.5	'+350	'+350	750	-	450	-	700	'+380
13.0	-	255 BR	plymouth v swansea	zan vipotnik	atgs	o 0.5	-	-	155	-	200	-	255	-
12.8	-	190 DK	salzburg v paris st germain	marco asensio	atgs	o 0.5	'+115	'+190	165	-	120	-	165	'+105
12.7	-	230 BR	leeds v middlesbrough	joel piroe	atgs	o 0.5	-	-	160	-	165	-	230	-
12.5	-	350 MGM	sheffield wednesday v blackburn	callum paterson	atgs	o 0.5	-	-	350	-	240	-	-	-
11.8	-	380 BR	sheffield wednesday v blackburn	josh windass	atgs	o 0.5	-	-	260	-	260	-	380	-
11.7	-	1000 MGM	luton v stoke	tom krauss	atgs	o 0.5	-	-	1000	-	525	-	575	-
11.7	-	480 BR	atalanta v real madrid	lazar samardzic	atgs	o 0.5	'+310	'+350	340	-	300	-	480	'+290
11.6	-	270 DK	brest v psv	hirving lozano	atgs	o 0.5	'+190	'+270	-	-	175	-	255	'+145
11.0	-	360 BR	leeds v middlesbrough	manor solomon	atgs	o 0.5	-	-	260	-	240	-	360	-
10.6	-	280 FD	leipzig v aston villa	john mcginn	score_or_assist	o 0.5	'+280	'+200	-	-	-	-	-	-
10.4	-	165 BR	shakhtar v bayern munich	leroy sane	atgs	o 0.5	'+130	'+120	115	-	120	-	165	'+115
10.1	-	550 FD	club brugge v sporting lisbon	mauro couto	atgs	o 0.5	'+550	'+220	500	-	-	-	-	-
9.7	-	240 BR	luton v stoke	carlton morris	atgs	o 0.5	-	-	170	-	180	-	240	-
9.7	-	300 FD	club brugge v sporting lisbon	conrad harder	atgs	o 0.5	'+300	'+170	270	-	220	-	-	'+200
9.5	-	130 FD	salzburg v paris st germain	bradley barcola	atgs	o 0.5	'+130	-120	-145	-	110	-	112	'+100
9.5	-	380 BR	leverkusen v inter	martin terrier	atgs	o 0.5	'+310	'+240	280	-	260	-	380	'+240
8.7	-	335 BR	leeds v middlesbrough	daniel james	atgs	o 0.5	-	-	220	-	260	-	335	-
8.6	-	350 FD	atalanta v real madrid	federico valverde	score_or_assist	o 0.5	'+350	'+250	-	-	-	-	-	-
8.3	-	440 BR	portsmouth v norwich	christian saydee	atgs	o 0.5	-	-	290	-	320	-	440	-
8.0	-	200 FD	leipzig v aston villa	antonio nusa	score_or_assist	o 0.5	'+200	'+150	-	-	-	-	-	-
7.7	-	300 FD	club brugge v sporting lisbon	trincao	atgs	o 0.5	'+300	'+220	-	-	-	-	-	-
7.5	-	600 BR	salzburg v paris st germain	moussa kounfolo yeo	atgs	o 0.5	-	'+370	400	-	425	-	600	'+380
7.5	-	480 BR	luton v stoke	lewis koumas	atgs	o 0.5	-	-	320	-	340	-	480	-
7.5	-	480 BR	brest v psv	ibrahim salah	atgs	o 0.5	'+380	'+320	-	-	320	-	480	'+300
7.4	-	850 FD	atalanta v real madrid	marco brescianini	atgs	o 0.5	'+850	'+800	775	-	280	-	410	'+275
7.2	-	225 DK	shakhtar v bayern munich	aleksandar pavlovic	score_or_assist	o 0.5	'+170	'+225	-	-	-	-	-	-
7.2	-	115 FD	leipzig v aston villa	lois openda	score_or_assist	o 0.5	'+115	-115	-	-	-	-	-	-
7.2	-	460 BR	burnley v derby	jaidon anthony	atgs	o 0.5	-	-	320	-	320	-	460	-
7.1	-	125 DK	salzburg v paris st germain	achraf hakimi	score_or_assist	o 0.5	-105	'+125	-	-	-	-	-	-
6.5	-	130 DK	salzburg v paris st germain	randal kolo muani	atgs	o 0.5	'+105	'+130	115	-	-105	-	-	-120
6.5	-	525 BR	salzburg v paris st germain	joao neves	atgs	o 0.5	'+370	'+370	333	-	-	-	525	-
6.5	-	510 BR	portsmouth v norwich	oscar schwartau	atgs	o 0.5	-	-	380	-	320	-	510	-
6.4	-	330 DK	brest v psv	johan bakayoko	atgs	o 0.5	'+270	'+330	-	-	260	-	220	'+220
6.3	-	310 MGM	atalanta v real madrid	endrick	atgs	o 0.5	'+180	'+300	310	-	-	-	-	'+210
6.2	-	195 FD	leipzig v aston villa	christoph baumgartner	score_or_assist	o 0.5	'+195	'+150	-	-	-	-	-	-
6.2	-	460 BR	leipzig v aston villa	christoph baumgartner	atgs	o 0.5	'+300	'+340	400	-	300	-	460	'+275
5.9	-	430 BR	atalanta v real madrid	arda guler	atgs	o 0.5	'+300	'+320	333	-	300	-	430	'+275
5.8	-	180 BR	salzburg v paris st germain	kang in lee	atgs	o 0.5	-	'+140	-	-	-	-	180	-
5.8	-	340 BR	leipzig v aston villa	morgan rogers	atgs	o 0.5	'+290	'+225	240	-	260	-	340	'+240
5.8	-	180 FD	atalanta v real madrid	jude bellingham	score_or_assist	o 0.5	'+180	'+140	-	-	-	-	-	-
5.7	-	360 CZ	salzburg v paris st germain	vitinha	atgs	o 0.5	'+310	'+225	200	-	360	-	295	'+290
5.5	-	-135 DK	salzburg v paris st germain	marco asensio	score_or_assist	o 0.5	-185	-135	-	-	-	-	-	-
5.1	-	250 MGM	portsmouth v norwich	ante crnac	atgs	o 0.5	-	-	250	-	220	-	163	-
5.0	-	290 BR	portsmouth v norwich	colby bishop	atgs	o 0.5	-	-	240	-	200	-	290	-
5.0	-	320 CZ	plymouth v swansea	azeem abdulai	atgs	o 0.5	-	-	240	-	320	-	-	-
5.0	-	275 DK	atalanta v real madrid	luka modric	score_or_assist	o 0.5	'+210	'+275	-	-	-	-	-	-
4.8	-	260 FD	salzburg v paris st germain	oscar gloukh	score_or_assist	o 0.5	'+260	'+200	-	-	-	-	-	-
4.8	-	460 BR	club brugge v sporting lisbon	chemsdine talbi	atgs	o 0.5	'+360	'+300	333	-	340	-	460	'+300
4.7	-	1600 BR	atalanta v real madrid	luka modric	atgs	o 0.5	'+650	'+850	900	-	750	-	1600	'+600
4.6	-	410 BR	leverkusen v inter	nathan tella	atgs	o 0.5	'+320	'+320	240	-	320	-	410	'+290
4.4	2.4	265 BR	leverkusen v inter	lautaro martinez	atgs	o 0.5	'+220	'+180	210	-	220	223/-282	265	'+200
4.3	-	360 BR	salzburg v paris st germain	achraf hakimi	atgs	o 0.5	'+300	'+330	290	-	220	-	360	'+200
4.3	-	360 BR	club brugge v sporting lisbon	andreas skov olsen	atgs	o 0.5	'+310	'+250	240	-	280	-	360	'+260
4.0	-	410 BR	sunderland v bristol city	nahki wells	atgs	o 0.5	-	-	-	-	300	-	410	-
4.0	-	-155 DK	shakhtar v bayern munich	leroy sane	score_or_assist	o 0.5	-210	-155	-	-	-	-	-	-
4.0	-	370 FD	leipzig v aston villa	youri tielemans	score_or_assist	o 0.5	'+370	'+275	-	-	-	-	-	-
3.9	-	550 MGM	sheffield wednesday v blackburn	todd cantwell	atgs	o 0.5	-	-	550	-	380	-	-	-
3.9	-	550 MGM	sheffield wednesday v blackburn	lewis baker	atgs	o 0.5	-	-	550	-	-	-	380	-
3.9	-	240 BR	salzburg v paris st germain	desire doue	atgs	o 0.5	'+175	'+225	200	-	180	-	240	'+160
3.9	-	550 MGM	portsmouth v norwich	tony springett	atgs	o 0.5	-	-	550	-	380	-	-	-
3.9	-	700 FD	leverkusen v inter	alex grimaldo	atgs	o 0.5	'+700	-	-	-	525	-	390	'+450
3.8	-	115 DK	salzburg v paris st germain	goncalo ramos	atgs	o 0.5	'+100	'+115	100	-	-110	-	-	-125
3.3	-	440 BR	luton v stoke	emre tezgel	atgs	o 0.5	-	-	-	-	320	-	440	-
3.3	-	180 DK	atalanta v real madrid	brahim diaz	score_or_assist	o 0.5	'+145	'+180	-	-	-	-	-	-
3.2	-	340 MGM	leverkusen v inter	marko arnautovic	atgs	o 0.5	'+270	'+260	340	-	260	-	-	'+240
3.0	-	490 FD	shakhtar v bayern munich	oleksandr zubkov	score_or_assist	o 0.5	'+490	'+350	-	-	-	-	-	-
3.0	-	350 DK	salzburg v paris st germain	senny mayulu	atgs	o 0.5	-	'+350	-	-	-	-	265	-
3.0	-	1800 BR	portsmouth v norwich	kenny mclean	atgs	o 0.5	-	-	950	-	650	-	1800	-
2.9	-	410 BR	brest v psv	abdallah sima	atgs	o 0.5	'+280	'+230	-	-	360	-	410	'+340
2.6	0.7	160 FD	atalanta v real madrid	kylian mbappe	atgs	o 0.5	'+160	'+115	125	-	145	142/-173	132	'+140
2.4	0.3	290 BR	leverkusen v inter	florian wirtz	atgs	o 0.5	'+250	'+270	195	-	220	249/-318	290	'+210
2.0	-	170 DK	leverkusen v inter	mehdi taremi	score_or_assist	o 0.5	'+140	'+170	-	-	-	-	-	-
2.0	-	170 FD	leverkusen v inter	marcus thuram	score_or_assist	o 0.5	'+170	'+140	-	-	-	-	-	-
2.0	-	230 ESPN	leipzig v aston villa	jhon duran	atgs	o 0.5	'+200	'+175	180	-	-	-	-	'+230
1.7	-	500 MGM	portsmouth v norwich	marcelino nunez	atgs	o 0.5	-	-	500	-	360	-	-	-
1.6	-	950 MGM	club brugge v sporting lisbon	geovany quenda	atgs	o 0.5	'+700	'+350	950	-	-	-	750	'+475
1.6	-	150 FD	atalanta v real madrid	rodrygo	score_or_assist	o 0.5	'+150	'+125	-	-	-	-	-	-
1.3	-	480 BR	brest v psv	romain del castillo	atgs	o 0.5	'+380	'+320	-	-	360	-	480	'+340
1.2	-	-135 DK	shakhtar v bayern munich	thomas muller	score_or_assist	o 0.5	-165	-135	-	-	-	-	-	-
1.2	-	-135 DK	shakhtar v bayern munich	michael olise	score_or_assist	o 0.5	-165	-135	-	-	-	-	-	-
0.7	-	-155 DK	shakhtar v bayern munich	jamal musiala	score_or_assist	o 0.5	-190	-155	-	-	-	-	-	-
0.6	-	155 FD	shakhtar v bayern munich	thomas muller	atgs	o 0.5	'+155	'+120	115	-	145	-	-	'+145
0.5	-	360 CZ	leverkusen v inter	mehdi taremi	atgs	o 0.5	'+240	'+260	260	-	360	-	335	'+300
0.5	-	2200 BR	leipzig v aston villa	lutsharel geertruida	atgs	o 0.5	'+1000	'+850	950	-	900	-	2200	'+700
0.4	-	280 BR	luton v stoke	cauley woodrow	atgs	o 0.5	-	-	240	-	210	-	280	-
0.3	-	725 MGM	sheffield wednesday v blackburn	shea charles	atgs	o 0.5	-	-	725	-	-	-	480	-
0.2	-	155 CZ	salzburg v paris st germain	lee kang in	atgs	o 0.5	'+140	-	120	-	155	-	-	'+135
0.0	-	140 DK	salzburg v paris st germain	joao neves	score_or_assist	o 0.5	'+120	'+140	-	-	-	-	-	-
0.0	-	140 FD	leipzig v aston villa	jhon duran	score_or_assist	o 0.5	'+140	'+120	-	-	-	-	-	-
-0.2	-	550 FD	salzburg v paris st germain	oscar gloukh	atgs	o 0.5	'+550	'+320	350	-	425	-	480	-
-0.2	-	360 BR	club brugge v sporting lisbon	christos tzolis	atgs	o 0.5	'+270	'+300	260	-	300	-	360	'+275
-0.4	-	135 FD	shakhtar v bayern munich	mathys tel	atgs	o 0.5	'+135	'+110	110	-	115	-	-	'+135
-0.4	-	310 BR	leipzig v aston villa	andre silva	atgs	o 0.5	'+260	'+220	260	-	260	-	310	'+240
-0.4	-	135 CZ	club brugge v sporting lisbon	viktor gyokeres	atgs	o 0.5	'+130	'+110	110	-	135	-	117	'+120
-0.5	-	430 BR	atalanta v real madrid	mario pasalic	atgs	o 0.5	'+370	'+300	300	-	340	-	430	'+320
-0.7	-	290 BR	brest v psv	malik tillman	atgs	o 0.5	'+250	'+290	-	-	220	-	290	'+180
-0.9	-	800 DK	shakhtar v bayern munich	konrad laimer	atgs	o 0.5	'+500	'+800	775	-	475	-	440	'+400
-0.9	-4.9	115 FD	shakhtar v bayern munich	jamal musiala	atgs	o 0.5	'+115	-110	-145	-	105	114/-138	107	'+100
-0.9	-	150 DK	salzburg v paris st germain	vitinha	score_or_assist	o 0.5	'+130	'+150	-	-	-	-	-	-
-1.0	-	240 FD	club brugge v sporting lisbon	gustaf nilsson	atgs	o 0.5	'+240	'+200	230	-	190	-	-	'+180
-1.1	-	200 BR	shakhtar v bayern munich	arijon ibrahimovic	atgs	o 0.5	'+195	'+190	190	-	140	-	200	'+135
-1.1	-	220 DK	leverkusen v inter	patrik schick	atgs	o 0.5	'+185	'+220	160	-	190	-	215	'+175
-1.3	-	165 BR	shakhtar v bayern munich	michael olise	atgs	o 0.5	'+145	'+140	135	-	150	-	165	'+145
-1.4	-	600 CZ	plymouth v swansea	jay fulton	atgs	o 0.5	-	-	425	-	600	-	-	-
-1.5	-	380 DK	brest v psv	guus til	atgs	o 0.5	'+340	'+380	-	-	280	-	340	'+230
-1.6	-	-140 DK	salzburg v paris st germain	goncalo ramos	score_or_assist	o 0.5	-160	-140	-	-	-	-	-	-
-1.6	-	850 BR	leipzig v aston villa	viggo gebel	atgs	o 0.5	'+600	'+475	550	-	-	-	850	-
-1.8	-2.8	180 BR	atalanta v real madrid	mateo retegui	atgs	o 0.5	'+180	'+160	160	-	155	167/-206	180	'+145
-1.9	-	550 BR	sunderland v bristol city	anis mehmeti	atgs	o 0.5	-	-	-	-	400	-	550	-
-1.9	-	460 BR	salzburg v paris st germain	petar ratkov	atgs	o 0.5	'+390	'+340	375	-	340	-	460	'+300
-1.9	-	195 MGM	leipzig v aston villa	lois openda	atgs	o 0.5	'+175	'+160	195	-	165	-	190	'+150
-1.9	-	550 FD	club brugge v sporting lisbon	michal skoras	atgs	o 0.5	'+550	'+300	500	-	-	-	-	-
-2.0	-	250 MGM	portsmouth v norwich	ashley barnes	atgs	o 0.5	-	-	250	-	210	-	-	-
-2.2	-	460 FD	atalanta v real madrid	marten de roon	score_or_assist	o 0.5	'+460	'+350	-	-	-	-	-	-
-2.6	-	280 BR	luton v stoke	jacob brown	atgs	o 0.5	-	-	225	-	240	-	280	-
-2.9	-	163 BR	brest v psv	luuk de jong	atgs	o 0.5	'+130	'+160	-	-	160	-	163	'+130
-3.0	-	215 BR	atalanta v real madrid	ademola lookman	atgs	o 0.5	'+195	'+175	170	-	200	-	215	'+190
-3.2	-	900 FD	leipzig v aston villa	amadou onana	atgs	o 0.5	'+900	'+475	500	-	-	-	700	'+600
-3.3	-	150 DK	atalanta v real madrid	arda guler	score_or_assist	o 0.5	'+135	'+150	-	-	-	-	-	-
-3.4	-	120 FD	leipzig v aston villa	benjamin sesko	score_or_assist	o 0.5	'+120	'+110	-	-	-	-	-	-
-3.5	-	180 DK	shakhtar v bayern munich	joshua kimmich	score_or_assist	o 0.5	'+160	'+180	-	-	-	-	-	-
-4.1	-	500 CZ	luton v stoke	andy moran	atgs	o 0.5	-	-	380	-	500	-	-	-
-4.3	-	400 MGM	burnley v derby	mike tresor ndayishimiye	atgs	o 0.5	-	-	400	-	320	-	-	-
-4.4	-	-155 DK	salzburg v paris st germain	bradley barcola	score_or_assist	o 0.5	-165	-155	-	-	-	-	-	-
-4.4	-	175 CZ	portsmouth v norwich	borja sainz	atgs	o 0.5	-	-	145	-	175	-	170	-
-4.5	-	310 BR	leeds v middlesbrough	brenden aaronson	atgs	o 0.5	-	-	260	-	260	-	310	-
-4.5	-	310 BR	atalanta v real madrid	charles de ketelaere	atgs	o 0.5	'+260	'+250	250	-	280	-	310	'+260
-4.7	-	250 DK	salzburg v paris st germain	ibrahim mbaye	atgs	o 0.5	'+240	'+250	220	-	190	-	-	-
-4.7	-	510 BR	luton v stoke	million manhoef	atgs	o 0.5	-	-	375	-	400	-	510	-
-4.8	-	260 FD	salzburg v paris st germain	petar ratkov	score_or_assist	o 0.5	'+260	'+225	-	-	-	-	-	-
-4.8	-	260 CZ	luton v stoke	thomas cannon	atgs	o 0.5	-	-	220	-	260	-	230	-
-4.8	-	330 FD	leverkusen v inter	denzel dumfries	score_or_assist	o 0.5	'+330	'+275	-	-	-	-	-	-
-4.8	-	240 CZ	burnley v derby	zian flemming	atgs	o 0.5	-	-	210	-	240	-	-	-
-4.9	-	170 BR	brest v psv	ricardo pepi	atgs	o 0.5	'+155	'+160	-	-	165	-	170	'+140
-5.0	-	280 CZ	leeds v middlesbrough	largie ramazani	atgs	o 0.5	-	-	250	-	280	-	230	-
-5.1	-	460 BR	sunderland v bristol city	jobe bellingham	atgs	o 0.5	-	-	-	-	360	-	460	-
-5.4	-	225 DK	leverkusen v inter	hakan calhanoglu	score_or_assist	o 0.5	'+200	'+225	-	-	-	-	-	-
-5.5	-	850 FD	shakhtar v bayern munich	pedrinho	atgs	o 0.5	'+850	-	675	-	550	-	-	'+450
-5.5	-	425 MGM	portsmouth v norwich	onel hernandez	atgs	o 0.5	-	-	425	-	340	-	-	-
-5.5	-	410 FD	atalanta v real madrid	nicolo zaniolo	atgs	o 0.5	'+410	'+320	320	-	360	-	-	'+320
-5.6	-	115 FD	leipzig v aston villa	ollie watkins	score_or_assist	o 0.5	'+115	'+110	-	-	-	-	-	-
-5.6	-	190 CZ	leipzig v aston villa	ollie watkins	atgs	o 0.5	'+180	'+160	165	-	190	-	185	'+175
-5.6	-	525 CZ	burnley v derby	josh laurent	atgs	o 0.5	-	-	400	-	525	-	-	-
-5.7	-	333 MGM	luton v stoke	niall ennis	atgs	o 0.5	-	-	333	-	280	-	-	-
-5.7	-	500 FD	club brugge v sporting lisbon	casper nielsen	atgs	o 0.5	'+500	'+350	450	-	380	-	410	'+340
-5.7	-	440 FD	atalanta v real madrid	lucas vazquez	score_or_assist	o 0.5	'+440	'+350	-	-	-	-	-	-
-5.8	-	250 DK	leverkusen v inter	piotr zielinski	score_or_assist	o 0.5	'+220	'+250	-	-	-	-	-	-
-5.8	-	1300 FD	atalanta v real madrid	marten de roon	atgs	o 0.5	'+1300	'+800	775	-	750	-	600	'+650
-5.9	-	600 FD	leipzig v aston villa	ross barkley	atgs	o 0.5	'+600	'+400	425	-	475	-	510	'+400
-5.9	-	120 DK	atalanta v real madrid	ademola lookman	score_or_assist	o 0.5	'+115	'+120	-	-	-	-	-	-
-6.4	-	160 FD	leverkusen v inter	martin terrier	score_or_assist	o 0.5	'+160	'+150	-	-	-	-	-	-
-6.4	-	160 FD	leverkusen v inter	lautaro martinez	score_or_assist	o 0.5	'+160	'+150	-	-	-	-	-	-
-6.4	-	370 FD	club brugge v sporting lisbon	marcus edwards	atgs	o 0.5	'+370	'+250	333	-	340	-	335	'+275
-6.5	-	310 BR	atalanta v real madrid	rodrygo	atgs	o 0.5	'+280	'+250	300	-	260	-	310	'+240
-6.6	-	-140 FD	shakhtar v bayern munich	mathys tel	score_or_assist	o 0.5	-140	-140	-	-	-	-	-	-
-6.8	-	450 DK	leverkusen v inter	alejandro grimaldo	atgs	o 0.5	-	'+450	360	-	-	-	-	-
-6.9	-	195 MGM	plymouth v swansea	florian bianchini	atgs	o 0.5	-	-	195	-	180	-	-	-
-7.0	-	425 MGM	luton v stoke	jordan clark	atgs	o 0.5	-	-	425	-	380	-	310	-
-7.3	-	200 DK	leverkusen v inter	jeremie frimpong	score_or_assist	o 0.5	'+185	'+200	-	-	-	-	-	-
-7.3	-	230 MGM	leipzig v aston villa	benjamin sesko	atgs	o 0.5	'+210	'+200	230	-	220	-	205	'+210
-7.4	-	340 CZ	salzburg v paris st germain	joao pedro goncalves neves	atgs	o 0.5	-	-	-	-	340	-	-	'+290
-7.4	-	340 BR	plymouth v swansea	michael obafemi	atgs	o 0.5	-	-	300	-	280	-	340	-
-7.4	-	340 CZ	burnley v derby	jeremy sarmiento	atgs	o 0.5	-	-	290	-	340	-	290	-
-7.4	-	390 BR	atalanta v real madrid	jude bellingham	atgs	o 0.5	'+330	'+300	350	-	340	-	390	'+300
-7.5	-	205 BR	luton v stoke	elijah adebayo	atgs	o 0.5	-	-	-	-	190	-	205	-
-7.5	-	1500 FD	brest v psv	edimilson fernandes	atgs	o 0.5	'+1500	'+900	-	-	450	-	1300	'+450
-7.5	-11.2	220 MGM	atalanta v real madrid	vinicius junior	atgs	o 0.5	'+220	'+210	220	-	160	226/-286	215	'+160
-7.6	-	290 FD	leverkusen v inter	artem stepanov	atgs	o 0.5	'+290	'+240	270	-	-	-	-	-
-7.7	-	350 FD	shakhtar v bayern munich	leon goretzka	atgs	o 0.5	'+350	'+290	280	-	320	-	310	'+290
-7.7	-	280 BR	leverkusen v inter	marcus thuram	atgs	o 0.5	'+280	'+200	260	-	260	-	280	'+240
-7.8	-	110 FD	atalanta v real madrid	vinicius junior	score_or_assist	o 0.5	'+110	'+110	-	-	-	-	-	-
-7.9	-	700 FD	leipzig v aston villa	john mcginn	atgs	o 0.5	'+700	'+475	500	-	550	-	480	'+500
-8.0	-	295 BR	plymouth v swansea	ronald pereira martins	atgs	o 0.5	-	-	-	-	260	-	295	-
-8.2	-	410 BR	sunderland v bristol city	sinclair armstrong	atgs	o 0.5	-	-	-	-	340	-	410	-
-8.2	-	155 FD	atalanta v real madrid	charles de ketelaere	score_or_assist	o 0.5	'+155	'+150	-	-	-	-	-	-
-8.3	-	350 FD	shakhtar v bayern munich	danylo sikan	score_or_assist	o 0.5	'+350	'+300	-	-	-	-	-	-
-8.3	-	280 CZ	salzburg v paris st germain	goncalo ramos	team_fgs	o 0.5	-	-	-	-	280	-	-	'+250
-8.3	-	350 FD	leverkusen v inter	aleix garcia	score_or_assist	o 0.5	'+350	'+300	-	-	-	-	-	-
-8.3	-	120 FD	atalanta v real madrid	mateo retegui	score_or_assist	o 0.5	'+120	'+120	-	-	-	-	-	-
-8.5	-	410 BR	leipzig v aston villa	leon bailey	atgs	o 0.5	'+370	'+320	333	-	-	-	410	-
-8.5	-	550 MGM	burnley v derby	james collins	atgs	o 0.5	-	-	550	-	425	-	-	-
-8.6	-	125 FD	leverkusen v inter	florian wirtz	score_or_assist	o 0.5	'+125	'+125	-	-	-	-	-	-
-8.6	-	800 DK	leverkusen v inter	henrikh mkhitaryan	atgs	o 0.5	'+600	'+800	400	-	650	-	600	'+500
-8.6	-	800 FD	club brugge v sporting lisbon	joao simoes	atgs	o 0.5	'+800	'+400	700	-	-	-	-	-
-8.7	-	575 BR	shakhtar v bayern munich	lassina franck traore	atgs	o 0.5	-	-	-	-	500	-	575	'+380
-9.0	-	225 MGM	sheffield wednesday v blackburn	michael smith	atgs	o 0.5	-	-	225	-	210	-	-	-
-9.0	-	225 MGM	luton v stoke	joe taylor	atgs	o 0.5	-	-	225	-	210	-	-	-
-9.1	-	700 MGM	leverkusen v inter	tajon buchanan	atgs	o 0.5	'+700	'+400	700	-	525	-	-	'+400
-9.2	-	1200 CZ	sunderland v bristol city	daniel ballard	atgs	o 0.5	-	-	-	-	1200	-	700	-
-9.3	-	175 FD	leipzig v aston villa	morgan rogers	score_or_assist	o 0.5	'+175	'+170	-	-	-	-	-	-
-9.7	-	430 BR	sheffield wednesday v blackburn	djeidi gassama	atgs	o 0.5	-	-	375	-	340	-	430	-
-9.7	-	360 BR	brest v psv	mama balde	atgs	o 0.5	'+330	'+300	-	-	320	-	360	'+300
-9.7	-	390 BR	atalanta v real madrid	brahim diaz	atgs	o 0.5	'+320	'+300	320	-	380	-	390	'+340
-9.9	-	380 BR	salzburg v paris st germain	fabian ruiz	atgs	o 0.5	'+340	'+350	310	-	340	-	380	'+290
-10.0	-	260 MGM	sheffield wednesday v blackburn	jamal lowe	atgs	o 0.5	-	-	260	-	240	-	-	-
-10.0	-	150 FD	salzburg v paris st germain	warren zaire emery	score_or_assist	o 0.5	'+150	'+150	-	-	-	-	-	-
-10.0	-	300 DK	leverkusen v inter	exequiel palacios	score_or_assist	o 0.5	'+270	'+300	-	-	-	-	-	-
